;20;50;100;500;1000;5000;10000;50000
RLS;9805;9457;8975;5994;3941;325;24;0
RLS-R (2);8936;5357;1396;0;0;0;0;0
(1+1) EA (1/n);4192;1022;327;12;6;0;0;0
(1+1) EA (2/n);1165;53;6;0;0;0;0;0
pmut (3.25);2285;481;146;0;0;0;0;0
pmut (3.0);1712;334;94;0;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS;32;79;153;579;950;1859;1922;1797
RLS-R (2);391;2124;5005;4218;3530;2362;2160;2229
(1+1) EA (1/n);22471;18343;12834;8342;6511;3815;3458;3371
(1+1) EA (2/n);16360;9243;6452;4503;4020;3171;3141;3133
pmut (3.25);23440;15929;9658;5644;4406;2434;2162;2172
pmut (3.0);21901;14696;9186;5222;4150;2510;2208;2213

;20;50;100;500;1000;5000;10000;50000
RLS;98050;94574;89765;60172;39985;15639;4128;1797
RLS-R (2);89401;54556;18266;4218;3530;2362;2160;2229
(1+1) EA (1/n);54971;26688;15684;8452;6567;3815;3458;3371
(1+1) EA (2/n);26104;9724;6508;4503;4020;3171;3141;3133
pmut (3.25);40934;19972;10977;5644;4406;2434;2162;2172
pmut (3.0);35272;17545;10040;5222;4150;2510;2208;2213

