;20;50;100;500;1000;5000;10000;50000
RLS-N (2);971;581;91;0;0;0;0;0
RLS-N (4);756;89;55;0;0;0;0;0
(1+1) EA (3/n);590;123;32;0;0;0;0;0
(1+1) EA (4/n);500;86;23;0;0;0;0;0
pmut (-2.25);633;213;61;0;0;0;0;0
pmut (-2.5);683;240;64;0;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);342;1512;2066;1316;1258;1239;1232;1341
RLS-N (4);7067;23808;23023;26011;27235;24647;25956;24930
(1+1) EA (3/n);23308;13434;6114;1338;1207;1185;1187;1262
(1+1) EA (4/n);24654;12511;6466;2058;1883;1852;1881;1941
pmut (-2.25);28572;14362;6949;804;703;669;697;786
pmut (-2.5);26956;13663;7474;936;644;640;640;711

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);97109;58733;10978;1316;1258;1239;1232;1341
RLS-N (4);77324;30589;27257;26011;27235;24647;25956;24930
(1+1) EA (3/n);68556;24082;9119;1338;1207;1185;1187;1262
(1+1) EA (4/n);62327;20035;8617;2058;1883;1852;1881;1941
pmut (-2.25);73786;32603;12625;804;703;669;697;786
pmut (-2.5);76845;34383;13395;936;644;640;640;711

