;20;50;100;500;1000;5000;10000;50000
RLS;9947;9345;7432;308;7;0;0;0
RLS-R (2);9629;6237;1641;0;0;0;0;0
(1+1) EA (1/n);8662;4391;1265;2;0;0;0;0
(1+1) EA (2/n);7356;2549;659;2;0;0;0;0
pmut (3.25);7812;3840;1122;2;0;0;0;0
pmut (3.0);7598;3587;1070;2;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS;64;149;255;407;377;389;421;555
RLS-R (2);419;1910;3534;815;589;565;595;699
(1+1) EA (1/n);21110;16004;9721;1391;869;850;875;1046
(1+1) EA (2/n);22856;15735;8047;1282;992;942;957;1055
pmut (3.25);27908;16239;7953;910;542;526;546;642
pmut (3.0);27036;16242;7978;897;576;548;573;668

;20;50;100;500;1000;5000;10000;50000
RLS;99470;93459;74385;3474;447;389;421;555
RLS-R (2);96305;63088;19364;815;589;565;595;699
(1+1) EA (1/n);89444;52886;21141;1410;869;850;875;1046
(1+1) EA (2/n);79603;37214;14107;1302;992;942;957;1055
pmut (3.25);84226;48403;18280;930;542;526;546;642
pmut (3.0);82474;46286;17825;917;576;548;573;668

