;20;50;100;500;1000;5000;10000;50000
RLS-N (2);994;981;899;374;340;21;2;0
RLS-N (3);976;767;467;426;423;51;4;0
(1+1) EA (3/n);807;605;578;493;503;62;2;0
(1+1) EA (4/n);705;550;499;484;468;68;4;0
pmut (-1.75);788;684;657;544;540;115;18;0
pmut (-2.0);844;734;697;559;546;104;12;0

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);314;2471;7496;36412;38128;84780;88098;85872
RLS-N (3);2324;23611;39185;41354;41587;106181;120997;124832
(1+1) EA (3/n);35981;40501;42587;42726;41801;112273;145284;151792
(1+1) EA (4/n);38418;39769;41415;43110;42387;107131;152592;154707
pmut (-1.75);42421;44267;39775;41363;42002;121456;162158;184272
pmut (-2.0);39690;41358;35831;42948;43160;126116;169246;181876

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);99401;98146;90657;60194;59164;91942;89764;85872
RLS-N (3);97655;82201;67585;66337;66295;122484;124197;124832
(1+1) EA (3/n);87644;76498;75771;70962;71075;131716;146835;151792
(1+1) EA (4/n);81833;72896;70649;70644;69350;128804;155665;154707
pmut (-1.75);87793;82388;79342;73261;73321;156462;175817;184272
pmut (-2.0);90591;84401;80556;74840;74194;157289;178268;181876

