;20;50;100;500;1000;5000;10000;50000
RLS-N (2);996;982;923;504;461;41;2;0
RLS-N (4);957;641;594;603;597;161;23;0
(1+1) EA (3/n);868;778;730;654;624;196;35;0
(1+1) EA (4/n);823;707;676;644;640;192;36;0
pmut (-2.0);904;850;772;663;696;217;53;0
pmut (-2.25);912;874;784;702;684;246;49;0

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);172;1247;7598;38282;36214;105152;117792;125415
RLS-N (4);8626;40966;43921;41924;42289;138187;201183;214170
(1+1) EA (3/n);36470;42555;42439;43801;45530;145209;212281;252713
(1+1) EA (4/n);37212;43144;44340;47246;46689;143697;220208;265620
pmut (-2.0);40368;42601;39603;47443;46591;148390;232398;311606
pmut (-2.25);39476;42113;40325;40548;43691;157816;226129;292367

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);99600;98222;92885;69387;65619;118301;119398;125415
RLS-N (4);96070;78806;77231;76943;76742;184503;217740;214170
(1+1) EA (3/n);91614;87247;84458;80555;79519;200216;237087;252713
(1+1) EA (4/n);88886;83341;81966;81219;80808;197872;245438;265620
pmut (-2.0);94275;91390;86229;82288;83763;208601;268896;311606
pmut (-2.25);94673;92706;87110;82283;82206;223755;260179;292367

