;20;50;100;500;1000;5000;10000;50000
RLS-R (4);7873;3943;685;0;0;0;0;0
RLS-N (3);7985;4058;706;0;0;0;0;0
(1+1) EA (4/n);7801;3661;456;0;0;0;0;0
(1+1) EA (3/n);7805;3719;522;0;0;0;0;0
pmut (1.5);7800;3603;372;0;0;0;0;0
pmut (1.75);7803;3608;371;0;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS-R (4);663;1909;1310;137;147;201;243;421
RLS-N (3);283;1158;1270;187;197;242;278;429
(1+1) EA (4/n);613;1150;842;173;179;214;243;365
(1+1) EA (3/n);768;1573;991;151;158;206;242;397
pmut (1.5);890;440;185;141;145;160;170;200
pmut (1.75);868;590;246;128;134;154;169;233

;20;50;100;500;1000;5000;10000;50000
RLS-R (4);78871;40586;8071;137;147;201;243;421
RLS-N (3);79907;41268;8240;187;197;242;278;429
(1+1) EA (4/n);78144;37339;5364;173;179;214;243;365
(1+1) EA (3/n);78218;38178;6159;151;158;206;242;397
pmut (1.5);78196;36312;3898;141;145;160;170;200
pmut (1.75);78220;36457;3947;128;134;154;169;233

