;20;50;100;500;1000;5000;10000;50000
RLS-N (2);9968;9698;8967;3362;2771;69;0;0
RLS-R (3);9733;7570;6196;4307;4242;385;22;0
RLS-R (4);8975;6341;5279;4228;4036;338;14;0
(1+1) EA (4/n);6731;4915;4441;3969;3920;361;7;0
(1+1) EA (3/n);7743;5714;5067;4172;4064;358;15;0
pmut (2.0);8111;6859;6253;5004;4760;582;44;0
pmut (2.25);8321;7214;6548;5062;4878;680;56;0

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);260;1875;6572;35798;37550;72436;75307;75126
RLS-R (3);4314;34518;36531;40001;40001;96379;107429;94308
RLS-R (4);19231;39005;39755;40011;40693;94726;105722;96892
(1+1) EA (4/n);36909;40016;40210;41477;41432;97262;110025;108893
(1+1) EA (3/n);36532;39907;39927;40507;40280;95037;108079;104834
pmut (2.0);40468;40768;39431;42058;40498;106805;125448;109674
pmut (2.25);39735;40412;38898;42199;40798;107024;126929;108445

;20;50;100;500;1000;5000;10000;50000
RLS-N (2);99680;97036;90348;57383;54855;74874;75307;75126
RLS-R (3);97445;84088;75856;65842;65452;109064;109219;94308
RLS-R (4);91721;77682;71558;65374;64629;105918;106864;96892
(1+1) EA (4/n);79375;69498;66763;64704;64390;109125;110592;108893
(1+1) EA (3/n);85675;74244;70366;65327;64550;106881;109299;104834
pmut (2.0);88754;81395;77305;71052;68821;125374;128948;109674
pmut (2.25);89881;83398;78907;71457;69676;128705;131376;108445

