0;2978;7774;361;5409;120;2875;5084;4472;797
1;fail;5696;511;507;1117;78;6945;1537;1835
2;fail;3629;22;540;5354;4766;894;8040;2688
3;fail;15640;2756;9336;9349;5333;7143;20120;10715
4;fail;68095;2003;300;7995;1286;6192;1356;6568
5;1509;fail;6759;1859;1729;8167;218;40309;1770
6;966;2746;3549;1476;4166;1774;4292;8460;6761
7;fail;16822;638;6336;3106;805;150;16740;29884
8;412;176;3025;2124;8972;18863;455;1903;17195
9;3387;176;7092;1085;98;1306;312;42079;126
10;fail;4036;2743;8144;20246;840;17906;10153;5246
11;213;24359;2278;25827;7467;364;6855;779;1108
12;fail;1201;27149;34022;7893;14315;7072;18230;8935
13;fail;1472;2585;1583;497;1260;3470;9774;7010
14;331;425;193;61;961;2214;4959;6724;23232
15;3381;2997;2117;17989;4449;11506;8731;2719;3601
16;121;1199;2367;9893;1827;2117;6159;252;25725
17;885;37563;5867;1883;7012;714;2686;1460;13393
18;1985;1107;870;8043;66;4302;8642;11201;12285
19;fail;32545;3332;693;3534;2335;6324;fail;7002
20;fail;9075;1766;2740;1034;141;2352;8564;55031
21;282;28429;6365;993;495;4708;3002;10478;1192
22;793;156;9479;1265;10469;1357;6622;8175;5752
23;3623;2103;2134;2435;4438;4219;1419;6789;11409
24;fail;5483;1704;1717;5452;3142;2126;2765;33653
25;355;376;1624;722;2117;4034;7218;38268;4533
26;1859;29560;1005;927;866;4448;4135;3020;4757
27;95;9919;4480;1139;10152;961;1822;6940;5293
28;1079;3718;2042;1129;9948;1439;1779;2043;13679
29;1175;458;1295;633;1057;487;8299;460;9615
30;2204;669;5703;2363;60426;8095;1459;5869;32284
31;5011;12525;3377;1107;252;252;1499;9660;3905
32;443;50775;1267;772;1570;2105;2215;1487;7948
33;904;5042;5598;324;2883;5704;10194;5712;10901
34;1554;11303;3666;2134;521;15471;13434;63011;5646
35;55;132;496;671;401;3340;1063;3039;27658
36;3419;9424;3212;139;821;2480;855;7590;4306
37;1399;4276;4239;599;914;1399;5106;29924;10467
38;1466;528;9282;2878;116;1098;1168;27;7426
39;579;2037;1926;1303;333;1711;58;6425;2081
40;2834;578;15392;3686;89;8248;6291;15493;8222
41;56;45190;8702;13648;4933;4767;259;27713;8921
42;1105;371;1613;235;652;1092;2576;22135;6335
43;fail;750;2093;9691;1515;3389;5237;13398;17593
