0;1613;1556;2665;1378;322;16;1139;36;34
1;267;396;498;2065;299;66;36;20;25
2;1984;0;1196;759;803;1572;34;17;41
3;846;3286;2186;2095;47;825;60;42;120
4;418;112;119;2094;800;1592;57;147;40
5;2017;1004;1288;53;1663;628;275;167;69
6;2128;7437;4120;1881;1121;54;551;167;27
7;2002;7570;72;1630;1881;29;442;12;24
8;1041;443;508;185;67;898;644;90;87
9;41;878;557;12;1149;859;162;19;141
10;2054;441;78;1426;43;528;29;23;19
11;1951;3218;2454;292;1817;216;213;148;86
12;2194;90;1240;266;8;753;460;37;65
13;2122;50;2371;18;1816;225;519;12;95
14;117;204;64;96;799;1245;266;70;94
15;2050;349;2516;52;1088;1484;48;5;106
16;1839;1079;18;32;1750;11;1043;74;64
17;4473;2099;2646;148;1329;1504;253;21;32
18;2099;0;136;1972;97;57;544;150;26
19;56;7021;1103;1402;386;1473;622;60;43
20;4365;1035;114;30;32;323;1191;81;51
21;2269;2802;2535;263;1136;588;82;11;20
22;1918;971;942;514;39;39;64;102;123
23;16;55;111;209;360;14;271;297;83
24;5656;3391;118;219;1682;743;30;235;119
25;4361;2824;242;2036;61;1462;109;154;79
26;12;199;2965;991;1123;677;654;91;67
27;553;2814;2396;225;38;1425;596;10;79
28;65;151;121;2153;250;792;34;13;140
29;55;728;50;2214;76;10;11;87;9
30;530;1126;1108;612;56;26;54;49;34
31;1935;1634;2437;2204;688;1678;660;97;16
32;7;87;30;693;1219;392;497;118;65
33;2016;229;2352;1481;90;21;15;126;125
34;2093;2530;4191;930;7;355;82;43;3
35;17;3272;2521;475;1283;1470;56;118;189
36;3584;264;2345;1058;39;61;342;78;30
37;1967;2890;2685;739;1166;81;564;47;45
38;2264;5;2215;459;519;10;81;227;47
39;176;3911;154;38;1213;97;74;54;46
40;14;3035;2532;1389;793;40;18;49;77
41;1825;967;1313;2122;1564;272;29;160;44
42;1790;3196;82;335;1639;1610;704;25;184
43;1862;5343;800;939;585;449;25;85;46
44;51;88;77;2025;7;1004;55;48;60
45;1755;876;240;2067;176;30;51;96;34
46;139;2809;239;12;684;1596;429;97;23
47;1994;1378;2207;2045;1789;1597;574;193;142
48;2058;15;2236;175;2130;28;157;43;29
49;4433;91;2281;1500;1736;37;247;130;16
50;94;3082;2482;1907;1;493;308;50;97
51;1913;2912;2605;32;1146;309;32;34;24
52;1008;3359;1099;1369;124;718;72;69;43
53;1967;127;19;1245;129;428;546;42;56
54;295;3085;1384;223;1917;947;126;122;158
55;55;3005;144;96;92;372;546;11;102
56;173;1252;2551;2023;303;995;422;35;109
57;720;3336;1755;2202;1820;1572;573;21;92
58;78;3124;5707;2138;31;11;617;30;12
59;84;3161;2161;970;7;13;1128;173;67
60;283;731;2545;66;1160;1507;34;133;151
61;2037;2749;1946;2205;1761;477;42;51;138
62;1949;198;2322;78;128;74;211;20;49
63;1597;72;497;1992;1680;22;38;144;104
64;1433;3298;6205;2371;925;847;622;105;32
65;57;3280;750;996;815;16;181;29;0
66;31;91;5934;2114;85;1509;329;36;145
67;2;233;1879;888;1857;107;69;77;61
68;2059;239;2055;2022;1774;429;5;111;90
69;148;496;2537;17;1713;969;633;25;11
70;53;3305;2328;51;1602;1321;1182;35;11
71;2091;3093;2422;2109;935;662;418;332;138
72;1910;2955;2214;1963;133;102;1117;53;25
73;106;201;180;2051;1647;1464;206;111;47
74;1977;7735;2372;56;123;48;340;60;88
75;270;140;220;115;1313;509;379;135;25
76;41;2564;130;63;1715;202;400;45;155
77;186;1016;1694;61;1623;1603;623;48;27
78;33;3229;2249;1564;1642;986;57;98;35
79;2040;3100;1378;314;1643;21;246;33;71
80;57;2988;2544;1710;169;1650;32;243;146
81;520;120;1642;2033;1789;1132;55;85;98
82;386;2374;2242;1234;1309;84;1181;138;22
83;121;2893;73;2078;1649;977;1135;107;96
84;112;2972;1846;1904;56;464;141;98;163
85;2025;1782;2476;154;707;462;79;126;74
86;4556;3036;41;7;263;1423;95;98;77
87;1861;373;2540;2097;1737;295;69;26;73
88;4574;31;166;71;39;599;219;21;38
89;1528;183;2225;49;1598;1470;310;61;20
90;2055;281;67;1907;1822;1070;10;182;61
91;4464;3118;2527;1156;1655;66;336;64;59
92;92;3048;2210;2343;1699;956;678;144;26
