0;fail;145411;207720;29951;73096;48599
1;fail;383800;17845;135182;433194;41654
2;fail;108046;1338;258472;80819;2960
3;fail;34543;122296;24757;31967;75134
4;fail;55254;17874;223328;287438;8415
5;12466;288221;84352;61452;77545;46927
6;fail;42018;32701;128986;124901;12319
7;fail;309285;212303;222530;16609;180284
8;fail;21985;35247;298810;fail;75312
9;fail;8937;24298;86145;169982;210734
10;fail;20839;15426;43236;88107;182723
11;fail;54079;13284;229075;316761;108263
12;fail;400006;86319;143807;22195;64040
13;6089;20269;81206;97565;282118;54421
14;fail;192662;190857;83125;22471;3606
15;fail;14070;156844;23122;4939;33787
16;fail;592564;29806;60968;74785;100567
17;11125;46482;35604;154932;13242;5358
18;11021;656076;13940;11872;371245;52285
19;fail;26618;116795;38870;40643;294366
20;fail;258936;318391;3267;147409;18247
21;fail;98108;15696;65835;107390;46315
22;12416;136998;356607;82059;1954;201496
23;fail;fail;79002;28646;41035;87537
24;fail;351970;294457;169772;618;70628
25;fail;53073;9793;27836;26935;152015
26;fail;299270;72309;90032;118950;44160
27;10859;242790;850438;4449;149096;72639
28;fail;fail;79540;129373;304145;63300
29;fail;11708;10582;237889;86427;28489
30;fail;63948;137012;122170;296281;54923
31;fail;536593;516242;39706;319697;43343
32;fail;100863;466888;19447;95704;123836
33;fail;305519;148302;68606;295863;124373
34;fail;42635;78167;338399;10040;82962
35;fail;81395;132201;487972;173956;75354
36;fail;8628;167772;5281;170572;6448
37;10009;19502;23107;30983;7978;156696
38;fail;14501;159550;106326;91212;238787
39;fail;1561;571028;91049;243082;20081
40;fail;74279;411358;2397;77520;774464
41;fail;fail;12058;16896;19356;571587
42;fail;652389;685331;21221;149661;65464
43;fail;37075;79339;116449;67975;13558
44;fail;fail;30017;213152;8234;266673
45;5686;fail;69710;191738;103661;224485
46;fail;427169;192787;128030;403740;114425
47;fail;376677;585626;46947;282775;35420
48;fail;406854;774060;37926;62536;81009
49;22059;135978;11798;169290;36943;206042
50;fail;27189;11590;406040;61659;103815
51;fail;124195;90393;133062;99782;170400
52;fail;239760;58743;91838;60440;25876
53;fail;148342;4025;3734;16533;54707
54;fail;1171;4640;6986;206020;157913
55;fail;11668;9428;25509;10538;143757
56;fail;560185;4893;176875;153035;143256
57;fail;36706;94318;36846;120148;180565
58;fail;243487;274681;81167;109287;135151
59;fail;467283;137359;148198;22388;313198
60;fail;26433;20766;43705;77235;54773
61;91;135714;258712;159247;83846;87104
62;fail;49482;5380;5451;173165;101115
63;fail;7139;109421;19497;43464;300398
64;fail;405826;739;130783;146212;388898
65;4461;80180;11132;179743;24663;91736
66;fail;307902;fail;313264;9452;79681
67;fail;10903;127458;88075;69787;264024
68;fail;161990;41279;84686;168456;244034
69;fail;80102;79518;492503;480257;75316
70;fail;259721;499469;276060;305560;121249
71;fail;204278;475270;31252;189339;210701
72;fail;36786;9578;99974;65062;56394
73;fail;140246;fail;83631;194036;113242
74;fail;35331;118613;59528;19240;45680
75;fail;14301;79315;785537;48580;179431
76;fail;104515;106001;12529;235036;18160
77;fail;37578;262609;176152;21124;13183
78;fail;53405;176945;238228;336854;84810
79;fail;43413;103560;56597;9551;5058
80;fail;153242;520901;443647;336447;135376
81;fail;100507;158855;59833;295129;268244
82;fail;521790;175633;137162;137701;273765
83;fail;76109;264912;120246;186589;8167
84;fail;76989;16487;190106;11458;104413
85;6054;549252;343834;584587;43738;12523
86;11034;32975;87256;2864;24273;23629
87;fail;53039;112097;61434;56882;87822
88;fail;327772;162413;237847;693337;76380
89;11444;16323;493323;17065;7349;24201
90;fail;48296;11042;111220;55317;26955
91;fail;711716;524374;95637;39560;103697
92;fail;605868;171907;22578;14516;12237
93;fail;53367;102510;11878;34503;66917
94;fail;55837;13683;106674;36980;53780
95;fail;103055;268396;4044;208323;197276
96;fail;377784;22965;329627;361154;115610
97;fail;205249;4651;115267;12854;186724
98;322;709873;68078;37222;6929;2295
99;fail;14955;32407;368038;231158;69316
100;170;30154;13702;208415;4267;78435
101;fail;391682;92542;62218;108899;40853
102;3573;4401;146841;57602;63265;237707
103;fail;435708;378902;2295;fail;82383
104;fail;93867;7798;22960;29874;13473
105;fail;1997;63314;129376;19592;229175
106;1583;23709;115780;102444;68564;34512
107;1855;65360;5029;13252;9482;182857
108;fail;54797;734767;858209;218273;282257
109;fail;374500;267037;9586;33721;76593
110;fail;352448;256581;9083;61962;47702
111;fail;125179;66928;26146;2787;66590
112;8416;498917;59039;84755;96302;17544
113;fail;327796;353734;224893;204069;591182
114;fail;fail;38486;117126;97485;113334
115;fail;298770;48733;80245;46823;50037
116;fail;286832;427511;73799;245277;139255
117;26470;347367;58862;1828;242887;230513
118;fail;151177;475810;18309;148613;239569
119;fail;120130;81126;68792;158129;39982
120;fail;332463;59835;195221;130260;15181
121;fail;45652;fail;127897;65298;640299
122;fail;158513;555395;82775;57458;117917
123;6464;322045;348839;fail;27014;30499
124;fail;155276;103953;253848;10106;106300
125;fail;150413;263601;295973;187694;318476
126;11250;98938;311347;12977;5100;88947
127;8032;fail;531551;52943;106600;104046
128;fail;364502;241541;160195;14184;17412
129;fail;424448;96529;124732;210380;106339
130;1960;562470;19852;448630;234571;110772
131;fail;fail;432283;288262;639551;172940
132;fail;51890;22497;89997;16604;10947
133;fail;428907;65244;39908;339174;504188
134;5858;467422;52964;345253;134803;93569
135;29149;357568;264890;9182;72240;16751
136;fail;133177;286465;174653;98639;134962
137;fail;485550;1964;180121;294864;11603
138;fail;296216;199201;111272;14546;102169
139;fail;25333;95361;746864;38832;25643
140;3876;127018;37440;708115;130411;125361
141;23173;13858;32420;65366;13812;34345
142;fail;fail;125619;159947;37327;64395
143;20145;612928;258513;23691;109932;137825
144;fail;171122;fail;144284;240852;3477
145;fail;554167;78898;45450;411179;378339
146;fail;22444;126115;134912;61232;60517
