0;fail;258472;181986;769390;22769;339209;44267
1;fail;630831;1083;12688;1022;15570;125867
2;fail;90746;50651;24257;120135;54505;479721
3;fail;75309;8109;375453;66915;51000;103033
4;fail;621691;540158;1942;5779;181637;219489
5;fail;292440;93987;9169;25780;62030;fail
6;fail;659477;43367;61418;20746;39726;40920
7;fail;48571;199500;177810;321287;65364;107960
8;10688;21067;39903;400455;475793;297367;21323
9;fail;79921;49663;155795;112034;353428;131723
10;fail;82394;201000;59905;47607;52319;40399
11;fail;80884;431275;197925;7186;334413;828120
12;fail;555930;225564;208009;68503;251887;456486
13;7110;64399;2601;7957;47470;222703;458512
14;fail;30780;406606;6693;55928;73432;74578
15;fail;180327;fail;23764;28239;164462;303000
16;1453;111455;32367;190977;272733;91147;108167
17;fail;38924;424746;17489;259822;55356;6081
18;fail;105453;10330;58914;22197;121697;478829
19;fail;24250;285551;236444;3650;117788;57585
20;fail;33499;16966;31326;40061;65898;149070
21;fail;335844;270647;427085;163345;60000;25732
22;fail;54224;106959;32033;114242;24635;254904
23;6022;247560;116418;211726;83398;35671;76373
24;fail;7055;56852;483917;224183;87517;37409
25;fail;69010;545766;125251;216327;22875;23216
26;fail;fail;17444;201521;178539;69630;20993
27;fail;782737;280720;380560;283454;156873;125824
28;17730;76128;17370;145082;56417;33462;53639
29;fail;228073;146828;356251;384650;2025;270430
30;fail;83033;41244;112065;42829;119823;265343
31;fail;229727;488566;134644;52829;202476;210700
32;8428;2563;18912;33912;154284;9484;124997
33;fail;65919;6403;48993;107422;343175;47778
34;fail;fail;28719;18065;215980;18256;81151
35;fail;375717;43188;271185;17958;102124;737243
36;fail;fail;52351;248297;279016;47174;84991
37;fail;190711;493728;181261;215045;401880;205304
38;fail;12651;1748;23524;52986;18017;157946
39;fail;673350;25162;245024;28903;39336;22806
40;5583;230996;81991;fail;172730;124992;25967
41;fail;fail;522858;72653;56324;96364;357060
42;fail;154470;160271;141426;88776;146813;552032
43;fail;155888;279099;64618;115158;213029;587100
44;fail;21636;201707;209458;77722;47370;66021
45;fail;41980;10777;178724;13594;48602;126644
46;fail;66163;159633;8827;93873;107821;534946
47;fail;378876;14646;106698;24468;105616;68091
48;fail;fail;351802;119924;121258;184151;135279
49;fail;12215;157081;38202;539475;140523;5427
50;fail;1901;22216;65060;379240;229796;94735
51;9201;796371;62189;24195;206413;6959;208709
52;fail;341542;281353;32879;55717;82202;32136
53;fail;564969;458273;65676;151684;98417;235340
54;fail;4775;34898;35368;11494;109416;26137
55;fail;11835;101520;13488;106182;132130;8206
56;fail;18876;46750;75118;146697;184742;282827
57;fail;fail;494839;106668;390905;69116;262383
58;fail;147421;47109;204531;68140;402747;564011
59;fail;2079;29219;49087;94722;9536;36621
60;fail;31863;216140;13062;156096;110635;444968
61;fail;2502;33920;219738;19816;16823;14444
62;fail;37563;2658;36971;19223;35622;85008
63;fail;26282;56537;636807;28529;12030;320631
64;fail;fail;767826;137243;5645;5897;74597
65;fail;261218;257578;75943;226493;51724;167036
66;fail;95478;39171;21141;16113;178189;499472
67;fail;893506;212365;136273;73255;97088;25462
68;fail;34403;28233;63375;182203;13215;74528
69;2178;31049;119661;375191;79464;17643;576578
70;14859;29978;75714;36712;214012;68973;417985
71;fail;18002;73027;55501;242011;438494;665406
72;94;428133;31497;23919;254932;10682;66444
73;fail;24743;11053;14423;54105;92789;302302
74;fail;18912;54547;124852;20136;39571;326205
75;5381;141879;887754;51673;69490;61001;28465
76;fail;fail;422591;112679;228961;92053;45088
77;fail;fail;100734;136702;144194;18262;85993
78;fail;325723;171941;107489;47261;2296;291899
79;fail;528;26808;61640;13396;415267;368667
80;fail;622842;10279;86553;20140;495121;93212
81;fail;365326;37002;100926;213450;93900;104773
82;fail;2997;17823;268894;879;111212;98123
83;2648;88104;493420;44300;28893;55994;19162
84;fail;260149;280035;fail;88438;67511;64701
85;fail;17258;28180;110543;15324;9318;70974
86;fail;29702;160899;343775;126636;106617;259312
87;17854;208901;50427;79597;560690;93581;202155
88;fail;412635;31535;18118;13105;72797;46282
89;fail;2412;83949;101807;44301;16895;17473
90;fail;fail;89866;24739;704581;98933;504374
91;fail;236467;44525;357625;123028;196850;158598
92;fail;549324;110912;611678;232956;20439;6726
93;fail;597294;7981;66279;133374;677386;233748
94;2555;119363;11192;32163;142408;6125;142241
95;fail;233325;313145;72536;11426;4984;fail
96;fail;fail;99590;112514;178261;12008;404575
97;fail;60531;201189;10639;404600;132509;184847
98;fail;581253;116490;46056;244464;49846;355000
99;fail;873409;9733;2952;85175;349964;17943
100;6103;539;57324;2159;78840;9540;105408
101;fail;147803;46517;721183;113766;11381;187877
102;23750;111491;13766;41778;17502;65359;34965
103;4924;76987;43060;324394;12611;20213;514246
104;fail;317;278513;10414;186662;39526;345676
105;fail;291148;559591;111962;49090;72122;7966
106;fail;139014;333656;291534;114329;290832;170983
107;fail;699897;77469;584258;163890;102782;53117
108;fail;fail;161002;fail;18586;120033;645875
109;8316;15645;132918;326048;204277;283770;556181
110;fail;77655;877377;25643;43453;144740;503889
111;fail;78299;89403;151035;43818;247415;8998
112;fail;fail;27739;19565;92006;32383;89863
113;fail;89136;170675;34278;650919;68374;83556
114;fail;743933;2657;48526;93206;12103;236453
115;fail;519508;455746;59553;94225;14197;42300
116;fail;211259;187740;91311;633047;657851;198984
117;fail;58095;592291;18501;308440;27081;46073
118;fail;26542;18520;1104;42064;16513;4123
119;fail;133112;132463;141191;381892;18149;236013
120;fail;171708;528614;169903;83313;180449;62795
121;fail;707106;78154;30992;754154;1358;279653
122;fail;105068;1926;33004;340064;363826;349080
123;fail;58523;52038;205733;169894;19262;200644
124;4215;23923;31413;194965;62934;227461;98827
125;fail;27224;40692;32054;128159;57881;132280
126;fail;83456;370936;464657;5319;557678;418397
127;fail;51714;65451;120559;113607;201165;142061
128;fail;142119;99359;48080;382088;41057;34009
129;6381;30972;6897;488923;30253;37062;123046
130;15194;14610;92076;36854;21922;479826;411869
131;9180;29126;115119;17941;26337;180305;106271
132;26469;2180;408169;215514;37183;995;199211
133;fail;301948;22335;52794;192315;30621;70620
134;5031;fail;25341;268819;17487;11589;36054
135;fail;fail;8044;517102;42265;149967;90569
136;fail;464634;132519;262884;267605;154407;370147
137;fail;fail;60279;216;35476;181628;19270
138;fail;fail;513644;110043;103825;175717;255662
139;fail;142892;863238;90163;269397;179100;852092
140;fail;5220;fail;257423;9315;7186;29645
141;fail;146863;132210;169700;25578;32398;225964
