RLS-R2;EA2;pmut3.25
10000;10000;10000
921030;921030;921030
0;338;526;690
1;862;1525;809
2;674;4958;3272
3;1458;3646;312
4;624;3996;868
5;80;1678;325
6;2752;1545;3184
7;2950;10877;706
8;1929;1698;352
9;931;133;1898
10;6117;2709;909
11;204;1032;1959
12;790;1320;668
13;2693;338;3532
14;709;313;308
15;415;1045;718
16;4027;2138;2501
17;1816;1804;3800
18;332;3578;359
19;4005;5151;2576
20;795;2650;1068
21;2893;2068;3065
22;701;4461;1287
23;2156;742;2391
24;710;10614;2040
25;1525;872;495
26;1374;597;1053
27;805;878;1194
28;218;141;354
29;522;4580;710
30;4991;3224;114
31;356;2283;264
32;6700;3429;3953
33;8552;3393;1655
34;9201;587;674
35;1363;3147;825
36;636;82;554
37;921;806;1344
38;1120;10351;884
39;320;2199;757
40;1161;1611;10519
41;444;1191;1119
42;1179;1401;773
43;5437;580;439
44;3631;181;5920
45;1284;5393;520
46;641;431;1235
47;1625;145;442
48;4339;4354;6292
49;786;2141;2734
50;6475;15957;5503
51;182;2481;1066
52;5102;11304;3684
53;513;1303;791
54;525;1963;802
55;2225;817;406
56;9638;1210;4553
57;138;1082;1512
58;3520;353;3515
59;4213;2278;4674
60;742;495;625
61;811;397;137
62;651;98;3502
63;7798;2729;230
64;291;1103;553
65;1034;1778;3001
66;1509;2641;2343
67;2496;2289;5078
68;2160;5729;404
69;1302;6119;3634
70;1238;697;918
71;6496;2581;1702
72;401;158;85
73;1918;4349;226
74;546;4911;1009
75;638;1815;12790
76;186;1189;1610
77;382;7006;240
78;1446;1353;3117
79;1115;671;293
80;72;7414;353
81;5276;7820;2360
82;2120;893;5490
83;170;1276;460
84;538;341;363
85;1986;3942;6582
86;6940;1555;1351
87;100;860;1560
88;820;6448;3263
89;615;2762;1016
90;392;723;2022
91;1229;821;1194
92;237;1203;1708
93;218;261;521
94;3682;2926;7210
95;3331;233;1013
96;631;249;332
97;3288;4081;2528
98;1070;4363;9171
99;2875;942;1143
100;2841;2536;2233
101;662;1357;1700
102;2977;3616;534
103;212;557;961
104;2454;261;175
105;1503;434;555
106;4611;626;6290
107;3494;3306;2871
108;6503;1266;3646
109;2044;2347;2051
110;269;3021;1371
111;979;235;74
112;1162;2016;651
113;9501;11456;1379
114;2413;4770;3100
115;166;1560;79
116;178;4004;1740
117;1688;1472;2434
118;1669;911;522
119;919;827;940
120;2112;2503;213
121;1417;2525;922
122;1070;2821;2199
123;812;7935;3309
124;969;1291;3658
125;104;848;1387
126;814;864;323
127;2606;1635;1301
128;2027;400;318
129;40;4009;1963
130;531;12865;1828
131;627;3333;7676
132;1525;4254;905
133;1831;99;323
134;502;1932;6565
135;303;468;686
136;1544;1103;1936
137;1542;3845;21060
138;602;1955;1146
139;140;929;1215
140;2519;2993;6561
141;2206;168;1172
142;468;1439;181
143;100;513;99
144;678;2152;503
145;776;5162;11743
146;1278;954;276
147;586;3016;222
148;1866;3227;5500
149;774;2090;2777
150;62;61;245
151;1871;297;2008
152;2485;2083;8645
153;2879;913;1891
154;9790;352;5769
155;359;825;1363
156;2932;423;1460
157;710;1189;1540
158;573;1924;926
159;2083;3830;5958
160;8277;7550;796
161;106;1227;947
162;487;7529;880
163;701;1605;563
164;1549;3279;1972
165;1049;3035;1353
166;403;4200;206
167;563;1757;657
168;3563;843;183
169;1592;337;231
170;280;1392;488
171;1357;655;2002
172;730;1416;633
173;566;8935;1171
174;96;1236;324
175;1150;261;833
176;2499;2518;1198
177;494;1319;428
178;55;905;460
179;1402;3146;1012
180;1267;125;1055
181;332;4232;2221
182;2130;2526;954
183;1149;286;180
184;1628;2825;4263
185;11971;2839;26377
186;1533;4032;2240
187;453;960;216
188;2499;501;2395
