;RLS-N2;EA4;pmut2.0
;50000;50000;50000
;5409890;5409890;5409890
0;41586;70384;9732
1;32249;46829;488905
2;58286;14710;7429
3;284323;47112;14506
4;182764;206944;371803
5;12927;80560;37558
6;122678;358923;52039
7;4160;13771;241737
8;38828;112556;51915
9;26948;142229;306
10;50877;118332;13429
11;19123;101840;30157
12;5913;203992;54507
13;914;180704;196472
14;9178;44658;53126
15;27304;264216;176066
16;137159;216123;55651
17;18537;68203;77534
18;16306;240221;10480
19;222546;133320;35620
20;64288;223786;274449
21;93997;19567;103569
22;20573;24950;180822
23;90439;180944;136208
24;77733;229302;5472
25;107462;178347;5860
26;79281;5432;93482
27;4524;18385;66894
28;27324;73497;38950
29;70424;15615;13863
30;112756;86811;24809
31;77987;13153;60438
32;3681;151363;122925
33;136999;14930;55320
34;24369;16871;266912
35;5251;33336;20582
36;171760;133312;146411
37;27901;6896;130165
38;361062;40594;568853
39;4821;39921;189365
40;38105;182025;17318
41;21398;49838;11773
42;66865;23414;145757
43;17547;44684;15655
44;27082;37231;527674
45;114152;46857;459141
46;28481;8330;172643
47;877538;18695;81496
48;292493;27941;146366
49;60143;80982;61975
50;46845;168970;214180
51;219261;18328;71187
52;122107;82177;19961
53;11738;25917;119332
54;921;89138;106980
55;36223;148755;6750
56;18991;25495;18621
57;61923;47424;14060
58;33333;34166;67001
59;40377;106355;271892
60;11647;3228;39048
61;76806;266414;248134
62;18476;12614;11200
63;114138;21315;133295
64;2965;122215;68015
65;25180;48812;28307
66;19065;34368;83774
67;22242;185293;690478
68;36201;50973;6041
69;44051;222302;33998
70;45896;19758;296412
71;33599;30645;54997
72;97975;307105;153759
73;27713;344795;189978
74;45388;20853;15754
75;43916;20975;3623
76;16190;37376;5192
77;22206;23792;83095
78;61317;80112;40083
79;12264;214;47682
80;127474;35343;29124
81;133959;17231;47749
82;19500;21064;18945
83;21268;82180;24214
84;124323;381;54263
85;36384;262244;32419
86;185931;163363;18255
87;151;7618;126637
88;159645;221556;6392
89;116611;120697;42072
90;78009;261735;333
91;18003;144468;11418
92;31449;11436;103407
93;410331;40307;56005
94;8026;208804;25989
95;66889;72324;494613
96;40730;64551;107678
97;84484;27944;245701
98;6070;35251;110639
99;181366;107908;136104
100;64943;193078;369740
101;2594;11643;21790
102;63113;121075;46993
103;70587;27305;34610
104;22012;62441;4745
105;198188;46983;40418
106;40192;151069;3643
107;3456;6274;2492
108;25046;29009;58414
109;25681;16068;47885
110;15530;35776;256216
111;67125;461;180013
112;20587;21250;6181
113;66159;170423;21857
114;1662;81215;141127
115;65165;292229;197288
116;630;92633;10808
117;46430;62829;189264
118;101598;26801;77069
119;58678;115637;152489
120;45798;47137;130540
121;50870;60214;665
122;14372;3377;37415
123;1545;82932;162452
124;227507;29099;165181
125;16390;136357;73643
126;79191;65978;4149
127;24541;219458;20290
128;100616;99860;33459
129;48290;32611;18833
130;290584;393286;52602
131;63693;7013;50547
132;97285;112673;14835
133;31074;25003;176447
134;242155;29098;212885
135;230998;14687;108237
136;8290;159077;12139
137;58771;198387;41656
138;28105;112639;128904
139;49762;341085;22656
140;10130;47720;972
141;111744;318046;2751
142;25864;26328;30635
143;77402;30168;227668
144;21933;193819;18915
145;24629;394451;33139
146;369876;78460;74841
147;52280;158193;59050
148;26943;112519;172960
149;10962;358051;43882
150;3879;117710;35993
151;9952;220790;27971
152;16075;57217;6093
153;126238;405;7405
154;31611;7925;43790
155;45477;18793;574
156;39773;25114;34967
157;87691;48234;33475
158;26427;40487;44349
159;57403;32048;107124
160;37752;418742;93532
161;105517;140884;486830
162;44965;70435;242740
163;10392;6082;27108
164;12600;175789;121511
165;77809;23860;105102
166;56478;281898;128232
167;20996;35295;102854
168;88147;37639;9537
169;32241;12653;67513
170;18346;10957;68420
171;74291;9253;19314
172;53590;108524;102720
173;36657;175882;14395
174;10307;45903;15690
175;27841;111793;67230
176;51470;79641;8456
177;148837;54370;92999
178;108427;50446;105725
179;4200;89560;3680
180;260832;105414;57418
181;19625;189153;2980
182;91694;122784;8680
183;19585;98080;8163
184;54574;72257;9175
185;207142;28871;175068
186;122578;63342;102454
187;209877;294752;8035
188;51642;144453;25592
189;76409;2866;1150
190;62406;126582;38538
191;24519;165330;71909
192;54314;98555;7684
193;80250;193062;76890
194;9580;88073;193188
195;16302;104727;108699
196;224;149488;94364
197;52678;23823;77069
198;91496;618;95904
199;6675;210091;230469
200;100067;84531;22397
201;42398;56988;8524
202;18238;73515;4807
203;2000;551097;164452
204;28954;187011;113448
205;27211;117104;58715
206;26031;9103;7793
207;63715;206356;24657
208;12265;80055;15259
209;176932;1457;93884
210;10997;8507;375951
211;39653;46351;24136
212;25219;186208;245746
213;30197;46050;128304
214;172090;64587;336872
215;302322;30755;156859
216;126860;40595;80635
217;28914;70241;114178
218;94201;60428;76789
219;5344;11268;33518
220;15152;7197;680
221;89762;7831;209985
222;18592;32834;145199
223;53153;26030;59590
224;122676;30670;94990
225;21199;44885;396725
226;17535;84131;136017
227;48449;12101;67267
228;59315;102739;38274
229;69262;80082;88645
230;3799;42605;4406
231;110252;237960;43022
232;603;245847;115822
233;55178;58129;358406
234;59903;316856;67967
235;15268;69529;27614
236;45199;29022;20827
237;5299;121140;24339
238;3440;52124;36927
239;86648;35198;13741
240;294843;95475;38375
241;40761;39546;62920
242;83623;136583;288094
243;139748;29065;7753
244;19374;27613;38492
245;223525;974;55235
246;55202;14804;72943
247;74599;75831;44525
248;29418;207163;32240
249;198368;310225;383294
250;16119;6282;116623
251;291712;22358;252767
252;4742;68309;3313
253;29477;23344;28918
254;13502;84643;154677
255;21492;1305;184386
256;118923;65020;62029
257;27881;6228;247594
258;7138;28410;73449
259;53079;2702;31879
260;49253;85218;50864
261;55494;177772;32834
262;18667;17931;74214
263;4797;79648;112654
264;116739;60630;38577
265;132001;628718;16997
266;984;6452;377846
267;308;61329;54522
268;9950;98802;197266
269;188639;55085;71790
270;37798;381912;215794
271;399661;41677;6823
272;83308;119413;28671
273;64899;48035;110253
274;325821;74931;119724
275;4813;122458;16352
276;161219;171078;364238
277;41147;6607;1323
278;327412;156791;128174
279;151743;30020;554514
280;24222;408514;117647
281;12115;31144;28501
282;169250;19994;53532
283;54726;136757;238335
284;7861;14006;58956
285;72699;146227;34248
286;21872;114377;73265
287;47413;39860;15437
288;210267;40359;54691
289;31937;4177;113757
290;2485;176290;346803
291;236952;71248;38124
292;47783;38431;144440
293;7027;603343;52682
294;281208;133787;101377
295;71839;1603;177636
296;177334;71977;62476
297;6840;29124;27389
298;22161;24406;149502
299;224048;8671;84930
300;3218;345084;3818
301;63755;133446;129569
302;116328;43684;13619
303;47762;25840;82970
304;17557;121686;150342
305;6709;17202;27586
306;26921;185726;110458
307;63871;331367;340342
308;29709;59703;4817
309;52950;2890;457029
310;29481;132931;67252
311;21874;97702;569928
312;5696;77162;45375
313;182393;50529;296280
314;8231;41550;277912
315;1455;119493;20610
316;26449;141468;39055
317;118246;16394;39456
318;130943;246117;42646
319;2777;34634;97185
320;259748;17361;98646
321;49876;204093;50409
322;10784;25451;24538
323;24427;125571;21276
324;23721;107088;50798
325;45400;103815;1864
326;13204;9601;9838
327;24839;142832;102896
328;227402;247293;20182
329;190156;259558;330616
330;21808;27749;49647
331;4429;17457;15990
332;107603;30823;39595
333;102302;95229;165195
334;90997;583834;112163
335;411;24707;48780
