;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;50000;50000;50000;50000;50000;50000;50000;50000
;5409890;5409890;5409890;5409890;5409890;5409890;5409890;5409890
0;107954;137856;54587;62521;18480;58334;1668504;879380
1;22897;43495;145574;35152;81142;264872;14158;1413
2;67824;26910;68346;6154;201814;209712;86857;63930
3;21552;28073;20944;10714;49652;171772;136287;89526
4;81573;75466;1893;11041;317254;175302;1141037;492673
5;577011;63280;72974;4558;89836;504417;627821;1068774
6;658951;14122;217560;58530;223033;264907;773818;3044826
7;8981;53783;159361;62652;304611;376262;33629;435369
8;597997;125614;174557;191403;9302;571817;976261;1003706
9;93837;182524;200774;35885;27647;75982;718946;939119
10;80991;34245;63876;18484;4094;123782;212530;63688
11;60124;440;42189;10652;92584;113310;313246;345351
12;160241;159984;206071;68979;529578;130830;125530;478225
13;200531;393951;68417;23862;172349;198451;153875;1738538
14;481764;23990;135397;168611;184232;251509;78657;572363
15;137200;12724;37508;2021;158195;19845;458814;42819
16;86736;101407;41521;42158;3709;119203;267238;434290
17;214789;54473;56949;93028;88135;256756;129492;195279
18;172284;62193;444199;209;8359;27361;373870;10560
19;5082;149669;180443;202579;134491;512429;116887;659663
20;1204733;98189;43064;11048;731877;49521;346615;301684
21;124412;3427;223486;7712;266438;132736;273753;585937
22;67280;57930;622;105864;20542;21163;1114646;36620
23;67348;70195;288516;302565;30356;248250;87815;769838
24;117062;79603;15815;81219;33699;19309;228422;133857
25;39127;104284;315285;43848;31242;9279;48698;1482336
26;230620;11642;221824;193794;214939;272406;25834;1135017
27;283297;32521;68444;16463;85246;14929;35943;801309
28;1643;49360;294365;8344;206186;51017;223812;1375787
29;79460;36881;211863;36695;223641;105457;132598;247388
30;23112;11348;216655;83831;198909;6773;500449;806932
31;94140;29655;45887;63262;75818;579111;264441;75805
32;82398;28485;50927;68078;74930;49338;318527;37362
33;16426;100537;905737;66189;14648;291957;1290644;295942
34;115406;5028;176;17616;97473;7150;88485;8252
35;338757;236834;44998;26609;350159;953265;64351;148034
36;3906;13090;72960;6284;38120;15281;193918;494654
37;68063;116780;29669;83476;106237;444206;55204;711317
38;26574;140009;180233;313030;39587;460219;397446;725349
39;47746;60535;104472;32568;111929;225189;151568;567851
40;161508;11045;11874;109334;17137;67860;139116;8045
41;348732;3085;55984;76458;15566;14561;107212;334334
42;11287;13222;107319;7517;112277;100734;27550;258646
43;12466;24803;21396;184906;127121;578109;755608;674989
44;603656;56763;19033;79461;330235;156896;611571;655116
45;47011;8233;26229;315;9332;70317;188335;510785
46;50732;247;48704;11871;51722;51234;200607;909398
47;770;80595;36661;119303;32607;229786;175892;809634
48;301312;3852;143177;101345;160337;24402;133075;363159
49;1049;52468;61566;188953;258928;114288;152776;275039
50;1119;71281;679428;28804;46556;226065;150551;660481
51;137102;10944;282651;14775;22734;325836;209420;829196
52;6953;551715;10623;237851;434868;13088;557936;306298
53;170881;6205;243468;477014;29648;1346;211398;701104
54;59317;28960;182645;68976;12202;13269;416480;991520
55;991;162712;8626;100782;180572;92046;27818;363827
56;193886;672082;188227;168712;118911;51876;353971;621106
57;71066;99753;55026;68674;438843;1072236;301693;946090
58;14575;27346;37302;8460;17271;136975;391992;450231
59;86152;51967;31768;180030;49738;27128;829539;766792
60;57843;11485;47193;53650;28837;97081;92749;426397
61;4328;39469;96357;189106;36323;41567;891715;64882
62;911;74196;64284;4212;117336;79168;68838;883090
63;21351;82069;15110;17086;18220;409049;762834;489592
64;96471;30727;77092;31137;250206;165089;1028169;990084
65;743162;169565;85114;41562;68010;178327;180404;744287
66;22851;27966;271600;90158;114440;220769;670943;817975
67;90450;693;43686;75024;43386;25782;26663;35445
68;97145;54392;246925;2497;148145;102893;1373080;1518255
69;29919;125523;24975;71057;3838;74333;478911;672122
70;155856;18712;577265;6125;352461;5141;381124;691598
71;5336;758257;192983;12453;236693;118159;290465;145046
72;2292;29484;47507;92920;77602;372855;505878;495499
73;52643;28555;392655;65611;216802;579966;815938;828811
74;72296;470344;99531;88303;140207;25763;403963;370755
75;98886;73462;14703;8555;298571;210973;151789;338172
76;489477;76600;946307;434559;99586;26319;320954;554877
77;979128;213110;125058;197882;172635;178698;398188;3739
78;452818;170686;16454;16866;7683;95323;686412;129412
79;117233;285118;49914;133116;102352;44452;579101;299392
80;5669;3673;176700;97078;87242;116689;274593;212771
81;50083;114385;107187;1297;21785;148783;145826;705722
82;36040;19718;16115;85926;31761;175876;109536;366520
83;73993;397627;9100;116447;42610;30768;63569;143814
84;437478;309518;43480;71761;14544;182141;1296400;fail
85;1880;60180;37037;55407;62938;382169;159725;59278
86;38580;89934;19722;71148;9937;85296;466179;293196
87;354366;32021;75725;234896;335861;220401;415927;824182
88;4841;166693;91483;55047;86661;148879;254298;143326
89;70040;27948;80835;95586;73794;699135;407082;409257
90;198500;7503;39502;74072;191579;285515;176335;775681
91;639896;224986;39119;13716;465297;169642;125162;737793
92;5546;38348;6948;29401;1954;46738;545600;489690
93;231278;52806;542;63156;10003;40457;120941;1109280
94;46803;461269;122439;164509;11539;111706;117789;351255
95;155968;22114;15421;77988;97852;167059;195225;424491
96;37900;131768;66826;1944;609445;173385;305480;39334
97;100740;731;149438;58761;108541;305947;1059790;244597
98;67283;31363;4905;22472;95658;10330;77450;838209
99;125344;5827;270837;28625;63351;106805;639471;450760
100;170123;263116;102845;91690;285203;227209;163244;1645973
101;69423;10004;2771;8872;72981;18285;27810;74531
102;2837;19375;29395;63240;52643;198965;56680;520730
103;32166;364739;21273;124718;320996;14021;4093515;45968
