;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25
;20;20;20;20;20;20;20;50;50;50;50;50;50;50;100;100;100;100;100;100;100;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;1000;5000;5000;5000;5000;5000;5000;5000;10000;10000;10000;10000;10000;10000;10000;50000;50000;50000;50000;50000;50000;50000
;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;425860;425860;425860;425860;425860;425860;425860;921030;921030;921030;921030;921030;921030;921030;5409890;5409890;5409890;5409890;5409890;5409890;5409890
0;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;5008;fail;fail;fail;fail;fail;44888;13964;fail;fail;66101;1431;13528;57879;6612;13451;fail;fail;fail;68215;fail;8075;fail;22268;74427;225378;177423;153878;fail;fail;96461;50263;89170;68000;71757;152881;78757;59108;204416;103522;26223;25435;124141;1761;173891
1;fail;fail;fail;fail;fail;34655;fail;fail;fail;97971;98072;32211;fail;fail;fail;8536;31726;fail;57319;30377;fail;17198;fail;13511;fail;fail;54949;25877;27334;3831;71344;fail;24988;97984;57780;31037;114931;19039;2208;250207;25216;36600;27183;29554;22317;4782;127074;51562;8737;146178;62759;78466;215693;22443;82333;104130
2;fail;fail;fail;90502;fail;fail;fail;fail;fail;fail;fail;fail;6435;fail;fail;10067;fail;63376;24445;9111;fail;490;9947;fail;22101;62015;42288;fail;fail;fail;35414;fail;fail;39842;69142;166051;18559;7809;53184;35063;342866;314323;91759;120345;148611;53115;92194;278339;391354;39575;95729;28973;24937;43233;32465;29736
3;fail;fail;fail;fail;fail;fail;fail;5381;fail;fail;71751;fail;fail;18904;fail;fail;46086;fail;fail;76096;50731;fail;2381;8929;3113;fail;40428;56831;1341;fail;fail;21006;39138;fail;fail;292486;82144;2710;242849;79900;5706;fail;26352;137856;98642;78026;95404;136845;84344;48024;11568;284007;9297;150109;70536;8625
4;fail;fail;fail;fail;fail;fail;fail;fail;fail;32058;fail;fail;fail;fail;fail;92406;fail;fail;12837;30793;30215;fail;fail;24967;55388;fail;fail;29221;8486;fail;fail;4313;86178;65797;fail;38013;95360;31252;14541;29856;314904;268533;106162;447866;63808;280565;83032;173638;81085;126187;287774;51246;150894;47684;585;14065
5;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;80922;5297;83803;fail;fail;fail;fail;fail;fail;fail;fail;48525;fail;fail;fail;fail;fail;fail;21794;4364;58075;43326;63408;35325;fail;29057;17075;51020;2229;193404;29583;19052;71889;22261;62826;70880;7285;4732;225330;97529;147615;232620;47867;15538;38175;155287
6;fail;fail;fail;fail;fail;fail;93111;fail;fail;fail;97917;fail;fail;fail;fail;fail;26607;fail;fail;fail;24698;36862;6483;54018;37860;72221;fail;fail;18939;9566;fail;fail;6250;98431;fail;40186;304829;2372;101950;11333;17379;15933;33278;52466;53562;80726;54327;7274;59092;9901;152529;269176;118755;132948;9575;64067
7;fail;fail;fail;1574;fail;fail;fail;fail;75691;fail;29069;41652;6306;fail;fail;98591;fail;fail;56850;61346;fail;77881;fail;fail;fail;fail;fail;fail;80006;fail;fail;fail;fail;41377;fail;83267;fail;179107;26679;247557;220136;107054;47899;126739;26547;19453;10027;3576;36110;8103;1982;94492;274925;17188;17633;12146
8;fail;fail;fail;fail;74959;fail;fail;fail;fail;11129;22399;20040;36871;fail;fail;98390;75045;64878;48494;fail;55651;25818;fail;fail;14770;fail;82240;62867;3651;39376;5391;fail;fail;98542;2597;2656;49421;4690;243035;108;117246;186682;11202;54689;11486;421391;75319;2741;186404;12845;499743;293389;235831;503293;21950;70815
9;fail;fail;fail;fail;fail;fail;fail;fail;fail;15745;fail;fail;fail;97623;fail;fail;fail;13772;fail;93123;83823;fail;3509;80697;16190;fail;fail;44377;97504;fail;11481;46959;fail;57073;fail;26248;11664;84883;63510;79007;9383;3003;32524;180641;1194;35947;48259;17612;177005;162779;18168;8017;46510;54311;3654;26569
10;fail;fail;fail;11754;fail;fail;62796;fail;fail;fail;18518;fail;fail;76052;fail;fail;fail;63644;fail;fail;fail;60327;fail;64648;51490;29995;fail;64273;17611;1007;16891;45857;4521;fail;75820;5411;46939;56484;39836;196191;36558;4038;22523;36801;48268;71627;36172;990;42250;83287;22924;108437;188456;359891;512957;59702
11;fail;fail;fail;58053;84558;fail;fail;fail;fail;1061;fail;fail;fail;fail;fail;fail;fail;fail;27990;fail;fail;62637;2546;6262;fail;74174;fail;72578;63822;fail;12907;50705;59632;24078;fail;16172;20207;58129;27966;303798;85871;271092;247981;265295;fail;13636;207315;145281;145131;5729;182985;95844;214140;35428;426126;85499
12;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;10400;14453;95768;9737;fail;fail;fail;fail;47360;fail;10928;27385;3520;39587;37780;37983;81475;fail;fail;32294;77855;22397;fail;fail;fail;131762;65548;90910;10618;59458;26124;152835;22425;50231;71865;29649;112062;30474;63167;308939;22464;224303;27841;89448;123380;69275
13;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;70004;fail;679;2134;8554;fail;fail;70849;88028;20080;fail;21776;39000;fail;fail;fail;fail;6649;fail;35669;fail;35300;fail;fail;80763;44431;104104;114742;209116;fail;249682;41429;488;51747;97773;111964;15316;144347;1676;40282;20310;49525;335754;157627;48165
14;fail;fail;fail;76581;fail;fail;fail;fail;fail;fail;fail;57404;733;fail;fail;fail;fail;fail;fail;fail;fail;fail;11833;5302;28230;fail;fail;fail;fail;fail;fail;80050;8077;27270;41;5542;11366;91462;51151;157617;89217;4074;28152;74517;98977;33345;98981;64528;169382;98364;72950;81246;198849;46162;290253;127912
15;fail;fail;fail;fail;fail;fail;fail;fail;30928;fail;8024;fail;55069;fail;fail;56151;25324;57004;6970;fail;fail;51835;66225;50907;fail;fail;fail;fail;10610;fail;fail;fail;fail;fail;2680;128374;63540;48861;339387;92480;23233;216541;89329;207763;2002;71324;32398;98958;11353;52411;119024;27849;53899;15889;97721;8734
16;fail;fail;6277;42177;99506;fail;fail;fail;fail;fail;fail;4793;fail;12362;fail;fail;23437;fail;79535;fail;fail;14321;59597;36657;96834;30013;41734;26784;fail;17572;2486;36700;fail;49852;fail;50752;106184;28196;19008;152782;97815;69425;64719;190165;97182;32413;44220;20060;741356;15609;34618;2113;3348;34447;15264;260739
17;fail;fail;fail;fail;35740;fail;81598;fail;fail;fail;fail;58144;91058;fail;fail;fail;30875;25365;86501;fail;fail;37489;fail;34897;fail;28304;50064;15106;29857;52310;fail;fail;47945;13826;10239;9371;47712;67411;59210;35663;78724;191805;21084;94013;15251;7739;88106;33488;128174;173831;110393;53722;52154;167032;7241;107944
18;fail;fail;5192;98341;fail;fail;4183;fail;fail;fail;54270;fail;fail;fail;fail;25935;3761;56153;53912;fail;96833;17089;84013;fail;fail;fail;15510;fail;fail;6844;89551;fail;29100;35545;fail;180965;305186;fail;263174;56879;45432;52253;5181;69830;19706;97543;108513;48248;33616;207904;45379;202473;46384;20176;3833;51603
19;fail;fail;fail;fail;3136;fail;fail;fail;17690;fail;80988;fail;fail;fail;fail;7565;96424;fail;14759;4764;fail;fail;fail;fail;fail;fail;fail;46117;10270;36996;66098;42104;19630;56512;39193;238456;76039;264114;86484;1867;182042;29448;30398;10255;198533;72192;24881;152726;240313;52571;30414;45955;164368;171543;8848;137857
20;fail;fail;fail;10908;fail;fail;18672;fail;fail;fail;fail;fail;69997;5684;5015;fail;fail;61360;21240;72134;36048;27605;23790;fail;38839;fail;fail;fail;80570;21231;39241;2459;29550;485;793;39841;108690;fail;252988;9901;77579;fail;137213;50637;81094;61179;127023;60869;236989;4900;99421;28645;122002;18633;38144;1636
21;fail;fail;fail;fail;fail;fail;23315;fail;fail;38328;70411;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;28513;44934;fail;91970;59268;63063;56948;fail;1075;13777;38491;fail;fail;fail;158810;151611;fail;fail;115334;100380;22653;20016;135899;18365;187749;224599;74517;121041;58708;137756;145034;2294;125441;234325;16848
22;fail;fail;fail;fail;fail;fail;fail;fail;fail;82671;51030;fail;fail;fail;fail;15765;529;fail;2997;fail;60670;18908;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;61230;fail;1115;3345;40369;24500;16559;64267;28035;fail;20310;1309;10044;211000;39348;13539;95839;190321;261564;21783;144674;27580;191431;26879
23;fail;fail;fail;70190;fail;fail;fail;fail;38929;99014;fail;46397;fail;fail;fail;71871;fail;fail;34187;fail;fail;54992;8524;56969;fail;97480;74734;65146;fail;83378;47715;fail;fail;fail;48354;56037;80532;38277;139985;52445;68528;185498;23259;134809;23071;15552;212376;528005;8999;31652;134464;317251;303513;174756;70979;100657
24;fail;fail;fail;fail;fail;fail;fail;fail;31625;4703;fail;80045;44080;27;fail;fail;fail;38514;24086;fail;fail;fail;fail;1334;fail;fail;52327;fail;fail;49815;fail;67005;37769;24673;41851;235290;112526;115621;18060;10764;177524;fail;53750;50978;38431;48830;46517;113931;97422;256291;10133;244951;494068;456241;182516;33044
25;fail;fail;fail;fail;fail;fail;fail;fail;78164;fail;11632;fail;fail;fail;fail;17208;54368;97902;fail;fail;fail;2327;23320;60971;92709;53466;fail;fail;25456;73281;6012;54314;59890;fail;fail;29908;10621;47786;105686;54201;56940;29915;3677;279475;42780;148595;2378;67326;77363;9180;132745;156913;18801;269228;92872;47857
26;fail;fail;fail;fail;33922;fail;fail;fail;fail;fail;fail;fail;27969;fail;fail;fail;25064;fail;13728;1049;fail;fail;fail;fail;fail;35193;fail;52992;13947;44279;56430;fail;83648;16799;fail;14304;53494;3097;256720;34984;40364;5999;168659;173654;59174;131127;242056;158045;83278;946;39319;24196;230141;123288;20863;321599
27;fail;fail;fail;17619;fail;fail;fail;fail;fail;18099;77367;9442;8752;39019;fail;fail;44123;fail;fail;fail;fail;30076;fail;48758;fail;fail;fail;fail;fail;19099;79975;fail;fail;31087;fail;154;23473;7745;32628;141287;fail;26005;193444;56611;43074;231478;101417;240969;117878;55137;185889;344429;186363;161877;890;83991
28;fail;fail;fail;36610;fail;fail;fail;fail;fail;fail;92960;88792;fail;28041;fail;fail;45204;17352;15127;fail;42023;5776;fail;fail;1637;fail;fail;90204;fail;71160;43051;76502;37840;3152;fail;22991;131349;11830;64203;120037;1279;fail;368;29981;480;22051;101759;37873;6846;13807;93826;68361;11310;119020;5724;26651
29;fail;fail;fail;fail;fail;fail;fail;fail;18885;fail;71758;fail;fail;fail;fail;40135;4717;fail;96989;7181;fail;11509;3641;1887;69072;25576;67088;50007;45077;fail;6691;61524;40429;fail;69655;198272;273771;135857;244685;76875;240459;48082;207618;105853;447747;44531;54970;67382;263816;103841;101958;158386;4491;202545;17793;418457
30;fail;fail;fail;35763;71955;fail;fail;fail;fail;fail;15733;fail;fail;38035;fail;fail;42467;13504;fail;fail;fail;fail;3455;27408;fail;86504;fail;94164;fail;fail;66169;48935;24132;40972;fail;21305;221760;26484;64393;26933;65678;21708;68910;46939;54121;92172;5880;2130;5591;12739;91224;60683;58861;60432;151286;95345
31;fail;fail;fail;fail;fail;fail;fail;fail;fail;49724;97969;22512;1587;fail;fail;4172;fail;50593;fail;fail;fail;1668;fail;32888;fail;58882;fail;92653;33027;83305;fail;61256;fail;29361;fail;22166;55049;5674;60599;118193;48449;35;1590;91360;73832;137700;21322;12672;454082;51839;49897;112420;60537;15665;68129;13482
32;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;27893;18249;1247;fail;fail;fail;4942;72676;32970;27813;23851;66849;14905;73434;62922;fail;fail;fail;66020;88235;fail;16578;59830;76045;16595;181738;79246;20549;1003;19912;239373;40060;35706;85912;19917;9228;59270;66481;63508;101309;66633;3396;303969;6321
33;fail;fail;fail;fail;35058;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;43203;29754;fail;fail;60241;40212;4487;7929;14762;53152;fail;137757;64075;46568;72761;20071;16408;24103;169064;275374;34536;13758;36504;19221;20513;161998;13839;58020;324527;37299;154203;70604
34;fail;fail;fail;79070;fail;fail;54081;fail;fail;fail;fail;93114;26988;fail;fail;fail;fail;fail;fail;fail;fail;fail;19323;fail;fail;92189;72900;42097;50941;fail;96205;fail;fail;72236;fail;19873;65107;83148;202528;162603;20867;fail;10563;181064;136591;141497;572061;357430;23086;64940;5000;163553;90957;31282;599;16816
35;fail;fail;fail;fail;fail;75355;fail;fail;fail;fail;57374;fail;fail;90313;fail;fail;fail;49282;fail;60361;11512;2216;74158;31173;48181;fail;fail;fail;fail;fail;fail;57406;fail;fail;fail;15635;9394;314918;5975;159252;43894;103957;95042;8081;329843;144980;312814;56649;8533;4465;3579;65197;136922;456433;9543;32412
36;fail;fail;fail;fail;fail;fail;14988;fail;15656;37769;fail;16576;fail;fail;fail;fail;13546;29517;fail;fail;fail;fail;fail;20877;fail;fail;fail;30889;58247;fail;40370;75031;fail;fail;40606;83898;35132;49681;74873;83383;394154;250665;23271;44121;3164;189558;397255;225586;32745;7773;12569;29467;1644;337134;18750;155470
37;fail;fail;fail;fail;63010;fail;fail;fail;fail;fail;47709;fail;fail;fail;3575;fail;38283;fail;33435;fail;fail;fail;6182;fail;16895;fail;43473;96027;91451;fail;96387;fail;fail;fail;fail;60925;59213;292538;52449;238870;158329;10388;147052;32346;14440;146479;104477;31697;101281;101052;133063;106223;3574;26285;72518;129956
38;fail;fail;fail;4736;46136;97498;fail;fail;fail;1587;1907;68342;84772;fail;fail;fail;fail;41162;fail;fail;fail;29980;7372;52591;43579;58870;10532;63779;fail;31250;24291;fail;22621;fail;fail;119841;6978;43562;122489;fail;27644;fail;37587;124654;18419;10644;32873;22738;238530;11996;46314;156335;90090;17405;106021;69676
39;fail;fail;fail;fail;fail;27149;fail;fail;fail;fail;fail;12318;16766;fail;fail;fail;18135;16048;fail;fail;27283;70852;28524;60144;fail;fail;2664;731;6655;19083;50758;13816;8906;fail;fail;136684;1973;164767;169698;147815;339846;168351;122551;59997;42920;115693;18829;143015;41179;178356;29563;72330;107060;152596;69491;31828
40;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;32346;fail;fail;30740;fail;7848;fail;fail;fail;73495;51642;71378;62054;fail;21044;fail;42367;fail;fail;fail;43527;fail;fail;17806;3666;47016;95750;57186;388596;142980;145384;4832;45728;77214;62548;59653;7056;20858;48909;99305;90268;50485;48620;183455
41;fail;7138;fail;69993;41987;fail;fail;fail;fail;20636;fail;fail;fail;7513;fail;55576;fail;14696;fail;86121;fail;fail;fail;fail;fail;fail;fail;43272;7060;19798;5029;8523;fail;12036;16729;138742;167014;45266;38675;138007;99080;33765;32283;18668;22481;208635;206154;100543;34532;29418;50617;47156;44463;19764;248720;626407
42;fail;fail;fail;16473;33650;96559;16608;fail;fail;fail;38023;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;11;24294;13785;50579;54428;fail;fail;fail;3908;77181;fail;fail;fail;12558;17656;19874;117072;14926;42318;58178;303613;182455;247390;68117;136290;169463;152929;16998;68892;171322;49646;6141;30068;161499
43;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;47306;8321;fail;fail;71907;fail;53132;42087;63559;fail;71369;64043;42991;fail;63674;33603;fail;2536;38971;fail;fail;55851;fail;21829;61673;50533;173110;43595;77246;309847;7103;149544;584048;164508;3243;27866;688;4538;84719;113767;25210;73453;183068;184510;41625
44;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;35661;fail;86288;82740;fail;2069;155;84702;fail;2062;fail;10962;1596;fail;fail;79930;fail;94585;75235;70854;48643;fail;25656;fail;1451;22800;109673;31176;8610;4157;65843;7610;35597;19222;203615;47654;33871;456;32046;101510;17159;58774;70974;68541;197125;59001
45;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;9679;fail;13392;fail;16625;21848;fail;fail;39484;fail;15213;fail;4104;25598;49566;9792;fail;fail;fail;90475;412;9486;4030;28249;102570;92020;23148;36557;28974;298233;24533;16256;149804;8206;33875;285407;104248;201957;5720;6146;27488;118363;24828;4879;35398
46;fail;fail;fail;fail;fail;fail;fail;fail;fail;19571;39452;fail;58915;fail;fail;fail;fail;10214;fail;fail;fail;fail;15297;51500;98740;97119;21954;fail;37243;26814;71246;fail;fail;37758;9499;117351;260122;109548;174873;17912;134438;294739;2599;93633;89071;10575;73353;126883;8248;62765;58786;14145;245385;19955;30277;54134
47;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;57537;fail;fail;84189;fail;fail;3821;13220;fail;79159;50615;88391;fail;23569;fail;fail;59682;fail;86760;82816;9843;28815;70505;12760;11676;135755;119333;11946;48088;81238;212731;365590;2360;112655;141002;8466;71898;17539;142162;358933;84258;153613;275653;58424;33967;26452
48;fail;fail;fail;fail;fail;99229;fail;fail;fail;85428;fail;fail;fail;fail;fail;46391;fail;23094;fail;fail;92273;62603;56453;65126;fail;12142;fail;fail;1469;fail;75537;23925;55355;fail;74034;53501;317;13201;17842;17495;212998;36290;64015;146213;5190;184098;228953;587643;239160;138761;4196;152031;118820;9212;61173;52115
49;fail;fail;fail;fail;fail;fail;57840;fail;fail;37279;16736;fail;22944;fail;fail;53167;fail;fail;fail;fail;fail;23141;39267;42853;75814;30371;95261;49250;8449;57820;fail;fail;17177;4344;fail;8789;276029;18848;84562;63730;2226;236436;50958;150972;86973;44157;100506;23801;336794;47960;54551;145511;87947;13799;12219;85684
