;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;50000;50000;50000;50000;50000;50000;50000
;5409890;5409890;5409890;5409890;5409890;5409890;5409890
0;fail;26132;11149;28989;197023;27503;112301
1;82645;1355;7325;64305;88772;15767;152258
2;25264;38091;1805;39700;99872;10231;129978
3;fail;47522;176351;24994;190423;12370;178840
4;43797;55819;175774;47717;108802;57053;15635
5;9548;5316;26336;158428;27632;45840;34538
6;fail;114913;69641;708478;271999;90216;808395
7;fail;38811;165197;117275;152796;342171;72855
8;fail;81756;603539;285602;52686;159500;61452
9;10862;180222;93542;26736;93447;33939;2465
10;11652;77050;61039;14702;49894;61946;5667
11;fail;280602;173278;613133;148614;268489;135198
12;fail;130697;1114;7795;123049;4457;108070
13;fail;302209;107766;407597;18470;255715;8748
14;fail;2715;27892;164208;4144;25083;5070
15;fail;20269;2073;4248;12650;1863;70971
16;104287;58221;99522;27447;47195;44869;39691
17;8261;941;15892;29313;73435;6350;26607
18;fail;106089;439393;236289;44009;22898;10427
19;fail;55161;37201;261832;91316;413858;122553
20;210695;40107;113259;4549;719249;419104;40398
21;74543;5012;80341;77276;14987;315827;432064
22;44174;126203;23615;11198;70527;8745;59764
23;69279;78565;26578;184910;172909;6151;15204
24;41731;9886;11839;197455;40783;14796;19718
25;fail;105114;28778;24206;108178;17899;49617
26;fail;82189;84319;141629;233314;215958;22712
27;fail;26864;17911;10925;6983;92782;7641
28;9533;105710;20872;385674;99247;19880;127483
29;88950;171882;362655;399684;711102;13861;8686
30;60630;20180;162632;46651;10823;99900;665
31;fail;34361;35402;46425;20678;39888;58257
32;fail;23402;15499;17437;13762;44539;27627
33;15278;52957;58558;258323;271065;140602;23094
34;fail;41161;191109;10801;2457;776081;177361
35;77744;138028;320882;33737;19207;25780;28706
36;39958;37533;413668;200705;43281;20100;61454
37;fail;48096;43860;37223;24961;2810;19466
38;fail;74925;63341;245347;120111;361305;13170
39;88062;127554;95845;15002;10271;71527;18940
40;732;187828;60868;27257;63518;148996;24823
41;fail;20965;4824;175911;26191;116250;96179
42;fail;11924;55536;179021;48564;4857;1818
43;fail;9264;12644;1624;6857;6521;70039
44;fail;130112;49249;23066;73517;161621;22201
45;178485;12827;30892;15453;86060;3976;159650
46;1962;4824;368125;63535;1738;5181;124970
47;126454;109176;3901;488602;520625;297035;1776
48;1032;98828;70544;204886;20323;17871;104835
49;fail;94256;72999;27053;212118;9674;1470
50;fail;43932;267938;158201;291850;33500;279948
51;40990;15205;24508;21523;30625;133578;24824
52;45035;12671;23961;63513;25070;47813;9217
53;fail;15497;81881;4450;68179;39435;14376
54;fail;545423;85325;601831;2377;569287;112201
55;99735;47481;34901;461833;29103;8721;260183
56;111643;14189;56420;148220;38931;102581;20512
57;82156;14387;13699;29050;39868;22967;55866
58;114082;40621;59269;94583;115775;35745;51187
59;10737;85139;557718;11265;37185;143465;4478
60;27807;84102;138843;90217;31035;143716;26760
61;25800;19159;102454;74537;60987;12098;143646
62;7882;27861;2553;41928;31282;1438;11079
63;2097;726;5059;93625;165073;97713;36323
64;fail;4246;66840;167114;158582;1898;181140
65;823;128200;121955;156087;101384;191753;244748
66;fail;48580;2973;1095682;64318;113559;210331
67;114956;90387;32417;103198;63194;79215;175472
68;47607;13304;108674;240900;96615;887910;78152
69;6135;33998;16293;124406;82953;202464;2812
70;fail;84357;318669;121922;98057;57216;73021
71;14073;42512;209023;192302;694;37860;56602
72;fail;22314;3736;325765;10232;29324;150895
73;6084;28284;27661;97196;45667;33557;30989
74;174098;29153;569;130389;4613;48552;113415
75;fail;91352;37737;31582;114589;50570;121566
76;fail;161025;29656;183727;137163;95544;515
77;48898;751;40627;42419;126825;45866;6049
78;fail;138337;401926;129546;436392;54298;199895
79;fail;11932;140331;8957;19312;555148;460584
80;fail;120510;9489;78397;95455;57670;12748
81;fail;3652;93057;235167;9702;61987;260892
82;57827;30495;91625;270884;35707;89449;191031
83;26325;29817;41445;218416;31276;327631;54214
84;79412;30406;378341;7317;110883;7685;61418
85;27603;57435;30868;19861;69982;39516;54489
86;1047;164208;38310;185716;186517;35751;267750
87;fail;119503;11885;33012;26293;106458;88544
88;84346;36745;134020;9484;234505;67500;18314
89;fail;207564;176228;780;184484;66053;188141
90;43850;44826;48508;10113;97262;1297;9297
91;88223;294717;143761;173584;34645;3223;178352
92;49613;41666;356798;301636;11297;97480;10526
93;fail;39020;66079;20348;86746;12394;18581
94;107918;5857;169278;44674;463870;53602;94450
95;1941;68048;59266;12967;345248;279408;68424
96;17527;10972;116985;142829;9975;224454;48387
97;93794;26570;388713;38541;46111;54215;182398
98;fail;132582;692637;54615;127421;185268;323598
99;fail;26726;72801;340449;49539;23010;83824
100;17128;77146;33989;5826;14899;28081;37917
101;fail;69812;504363;53832;32680;285356;248011
102;fail;21836;18093;6165;684461;314093;189286
103;13150;967;147019;210558;38196;30093;21221
104;fail;15052;67745;109917;273099;2539;24492
105;fail;25626;29609;655;14787;7286;4857
106;fail;5437;10597;126529;98051;159315;225025
107;40496;21184;91048;26405;21998;13082;18375
108;143925;69361;24495;119643;238001;6804;11716
109;65149;17378;15066;109675;28703;172472;22416
110;fail;9626;140634;762851;77198;839864;14791
111;74780;247654;317048;16874;17008;216857;20662
112;53767;40242;91424;58282;4818;286423;41157
113;628;7808;126395;325283;432;633;98451
114;13315;46778;9847;93510;26986;73120;14532
115;52799;146058;205012;26769;424715;28973;106115
116;2253;84847;131831;11246;23431;15449;82291
117;78097;81335;22798;96458;153523;35340;17655
118;2223;17383;41652;4029;853;9791;45776
119;15635;107897;365081;503091;277140;268830;29857
120;39861;90368;141857;7190;39168;8595;22288
121;15202;15858;410565;11122;33908;29110;95894
122;20828;54910;72814;32556;131654;36661;101268
123;44159;43593;1579;90819;47868;39809;38715
124;25357;18995;27833;46358;13344;12024;70439
125;fail;53512;37961;8177;39613;33587;36581
126;93904;119820;94474;288113;217269;834547;5914
127;fail;3171;914;262334;156163;183611;291024
128;fail;223146;263736;142204;70134;55285;229876
129;34252;6348;21719;34935;57157;12061;97464
130;61334;280075;87712;18995;272716;165009;4219
131;105705;3021;20072;327627;257428;153602;30332
132;fail;2100;97709;349741;86156;518391;190888
133;10432;31159;233291;68114;2323;32429;2317
134;fail;213675;1677;47634;129243;29324;153110
135;fail;192383;163388;95157;10050;218232;261831
136;108922;2282;164622;39135;26422;116622;49078
137;260886;18529;174486;65183;75265;141863;3719
138;2757;372908;32674;89790;14103;173187;28485
139;fail;49866;54367;97804;28966;35450;347049
140;fail;11536;4370;99422;64497;29890;81011
141;fail;45823;97708;89348;202759;75042;97506
142;fail;25731;163663;18162;20215;26439;197263
143;fail;31825;5816;10409;434063;6090;249886
144;fail;89464;156391;541741;208593;415222;57137
145;fail;250439;210562;83251;11961;109081;65153
146;fail;6630;36918;380487;735;86451;11342
147;14188;32092;5834;47944;137669;10786;6083
148;fail;69611;47552;17305;4434;143569;61429
149;fail;44415;118602;59896;57605;125233;61490
150;fail;14539;112509;38910;128744;10652;366861
151;fail;72608;21059;1882;47001;87307;752877
152;fail;23309;72672;932366;144969;54758;374294
153;fail;8918;37856;71628;27813;183202;7048
154;90934;17647;76182;103668;176593;123800;36677
155;fail;244376;123770;53446;513727;79255;253816
156;fail;136269;103356;48910;32697;19142;865
157;13372;22297;43269;4153;35331;173867;113626
158;44921;53493;34677;149771;8385;6560;3201
159;64673;113899;20859;118632;47235;127434;9157
160;57655;60064;84863;273071;3664;5713;33433
161;8798;119312;20140;116916;26706;34596;57581
162;11862;2237;21506;16426;27210;32312;30376
163;12185;123271;15261;134487;3873;5834;5697
164;28047;10274;29063;18092;11914;55744;124011
165;505;201684;126850;243161;25450;34905;22394
166;7447;37772;229044;14753;207494;412676;411228
167;5592;217900;12236;85960;84630;210057;14276
168;fail;25583;23882;3576;48110;114458;219969
169;76383;3408;98727;12295;50023;116363;25847
170;fail;21046;135569;242500;103052;342995;2417
171;25791;36232;16430;26815;217034;25467;108349
172;12524;34459;14014;62368;73578;6421;5337
173;fail;30093;40267;122458;26046;236211;20600
174;fail;237156;40719;43945;501724;9689;160248
175;53215;17316;30782;132360;5799;59379;21794
176;7027;85695;96213;38181;64145;64168;9545
177;fail;63654;93788;172322;216230;18240;222074
178;fail;147256;9241;66521;49254;137066;90034
179;fail;3476;55610;2247;284;94317;2241
180;fail;244241;25881;47398;189419;118644;95262
181;20666;37857;138111;100276;4245;28916;38505
182;79001;20664;323368;47325;113421;70433;14101
183;28770;44320;17638;58391;26257;132357;59709
184;28269;3312;144533;65837;12273;6623;21364
185;fail;55314;267427;106936;63491;65424;110083
186;fail;206219;83578;178442;31801;143264;207977
187;fail;40003;30190;67711;20240;42187;23926
188;fail;97761;261731;107526;2267;76907;30548
189;59489;33962;12961;518879;525530;1070406;315226
190;fail;54105;2329;293380;417691;6116;32509
191;34694;6202;273464;91635;23018;68589;8165
192;32472;16457;31805;86415;5303;223237;51741
193;85735;106549;96107;142667;42405;123039;7701
194;43226;95455;370515;232227;35655;480184;171895
195;fail;97153;107955;169171;535173;8942;37254
196;fail;11365;151143;44718;26226;5513;39586
197;33879;55347;65941;96991;34186;1376;72581
198;124974;15795;21208;26439;6543;486933;25828
199;fail;14173;25526;163160;218557;13407;8901
200;fail;44068;167377;388595;10147;47079;108689
201;fail;61980;45726;2335;99607;18188;234701
202;68894;19775;72474;168490;37273;36657;80221
203;19733;569;10607;86236;48556;38639;238166
204;fail;41199;106339;94002;16326;6576;46272
205;202038;25196;9591;15425;49940;17266;54546
206;12004;167783;40762;116876;25087;121851;133392
207;93746;20006;34067;99779;2452;121279;31298
208;fail;26881;125439;154374;11727;411671;458897
209;27425;24555;3931;165821;19350;50132;23604
210;fail;22005;13896;1594;151526;162671;64467
211;fail;530;249017;81643;18896;55162;62692
212;fail;3085;102963;70119;3052;297567;55768
213;27899;80188;196206;69623;435398;44212;109154
214;9745;102991;36805;69429;113197;52136;121241
215;150097;2677;205119;78384;76464;12115;233154
216;25242;16923;144624;69961;122130;151812;18808
217;180030;30522;15951;12097;160455;77320;137486
218;273;56641;199011;150863;22244;9957;158048
219;10478;86114;114897;69362;408202;10899;54639
220;fail;366638;45498;28198;39236;18472;97183
221;2928;21204;148698;97009;45743;111036;135210
222;2153;69193;79757;86640;87914;7928;9603
223;50932;75054;13686;104307;19973;25864;67889
224;fail;117319;188449;115577;91567;85268;53969
225;fail;52754;101560;38165;72378;62237;18770
226;6769;1218;1475;66022;54520;12869;52834
227;fail;2241;63548;83521;2336;115741;36617
228;fail;48523;73785;232728;305897;6653;148237
229;44198;40264;69514;57776;1734558;134607;31243
230;48307;3954;60278;124693;104892;62710;15790
231;46633;48827;66186;93399;30418;89674;165196
232;fail;20390;31402;58200;9710;61313;55419
233;fail;106492;99728;201221;31170;148213;22316
234;6570;79636;786111;234082;170441;60790;8031
235;13243;145064;67343;420247;4747;335501;30865
236;fail;318763;324249;227954;1131681;18808;144488
237;fail;270403;1558;52423;77294;159936;85597
238;69231;49012;111820;72717;9251;62294;80727
239;19743;33399;10834;109476;10539;1081;33110
240;fail;12561;133474;184645;66914;2780;107060
241;177934;80277;29889;2414;23576;97942;12038
242;fail;4499;62240;56933;36105;27780;285762
243;fail;179690;120584;39667;29095;259804;32655
244;23034;99607;103937;79982;79714;93141;21361
245;fail;2585;10871;42691;18674;3371;55961
246;48689;60026;145624;16279;3988;9426;132742
247;fail;24154;129583;77475;59185;18511;178325
248;127680;22604;93815;270532;177045;71396;6661
249;4734;56996;97527;27636;158589;242978;396967
250;19058;67551;4569;72713;118500;23283;18027
251;fail;34118;166614;34721;12278;205908;118872
252;fail;112376;15019;117022;24187;103916;64874
253;3599;63004;177935;21014;68641;10551;208470
254;2868;34609;3286;30804;13929;33588;154593
255;29275;59791;33910;91977;46682;22961;184144
256;fail;81100;15;177282;3721;78039;145086
257;fail;14766;90355;195721;46108;6828;460125
258;75222;58176;42148;26431;22401;21105;8457
259;212;14914;61093;27053;3802;36382;110899
260;38941;31360;43093;30780;13296;27952;24203
261;15517;143189;5211;74345;249812;30778;123228
262;7199;7458;6747;154962;110995;19219;83133
263;fail;55673;107961;3088;55158;13914;26244
264;124350;16191;60196;45719;28588;5800;19274
265;35525;44661;62814;5216;66295;25599;20409
266;fail;22353;111;260;9927;149616;452610
267;fail;60653;86318;221154;19785;21669;11477
268;fail;84367;186593;5273;26495;14980;28158
269;fail;225835;101209;38003;20338;3543;17449
270;6037;3987;44143;55938;96768;37675;202783
271;108293;56614;207479;22629;58303;39917;157219
272;fail;576717;81018;52002;85490;18294;228616
273;fail;4525;75655;24672;677935;62367;9641
274;fail;48549;12833;141992;71489;154041;8316
275;25956;119222;193567;355933;313658;32564;220306
276;7331;17000;45478;116345;84952;42393;22758
277;39999;31705;46370;46422;44298;20661;9403
278;24264;51270;9566;36910;110379;163063;6901
279;12869;84209;337678;323779;10226;103360;182234
280;fail;65106;60945;36310;122418;16411;139390
281;57326;35202;238793;126245;7596;43078;34804
282;fail;20045;294339;236947;287881;98402;205906
283;fail;79114;51945;93298;44402;31892;2469
284;fail;68524;132806;138329;22177;49064;71247
285;158020;41061;15280;29633;702;21918;12336
286;11008;12035;8331;454407;4175;78580;23352
287;27327;8717;143456;50392;71356;216032;86010
288;fail;24491;9559;53485;142057;196074;43912
289;86585;152116;42103;83981;230951;4771;22468
290;25122;12577;109160;186529;161880;32505;37071
291;fail;94685;87727;15631;135618;43601;80707
292;520;8279;44144;79522;56035;249190;56728
293;fail;172924;98904;31637;62025;37240;121143
294;29948;2445;178726;52706;66072;29460;40116
295;118743;20921;140244;1499;39460;137547;140624
296;fail;126521;10872;20717;174717;56117;66144
297;2014;16985;147365;186844;371586;80320;181092
298;fail;112833;245247;2507;739866;76960;51187
299;fail;12502;150687;805540;5189;10880;14238
