;RLS-N2;EA3;pmut2.0
;10000;10000;10000
;921030;921030;921030
0;89;360;2423
1;281;1899;937
2;53;303;134
3;345;1203;1006
4;193;329;239
5;692;1064;1423
6;197;479;154
7;102;290;364
8;350;609;690
9;219;1304;1629
10;577;1577;232
11;219;239;304
12;80;1193;151
13;601;1218;496
14;266;604;266
15;206;260;183
16;206;1100;175
17;59;241;315
18;386;143;404
19;209;1364;192
20;149;793;129
21;175;842;460
22;119;308;86
23;266;438;30
24;396;688;220
25;213;1488;569
26;37;500;251
27;374;548;1958
28;611;20;564
29;38;108;849
30;316;403;772
31;212;169;306
32;393;258;259
33;106;136;788
34;183;303;1670
35;320;584;151
36;77;485;272
37;334;572;345
38;378;597;175
39;337;327;126
40;217;1212;166
41;302;194;232
42;80;451;533
43;298;249;428
44;255;512;311
45;532;942;1161
46;87;149;348
47;250;64;201
48;407;374;394
49;93;133;495
50;253;355;467
51;266;382;379
52;266;123;503
53;340;204;271
54;209;750;1815
55;456;751;153
56;376;233;538
57;209;92;477
58;368;337;938
59;560;430;982
60;157;616;858
61;198;187;801
62;223;645;186
63;252;143;455
64;272;88;1266
65;171;313;308
66;343;158;631
67;56;239;472
68;323;515;346
69;174;360;1057
70;194;158;360
71;469;500;507
72;177;113;361
73;201;349;253
74;435;713;977
75;141;327;238
76;331;1005;664
77;546;655;1070
78;188;638;140
79;259;596;210
80;190;1109;462
81;494;528;1118
82;319;271;229
83;236;614;37
84;522;217;1097
85;220;387;237
86;240;955;1643
87;36;3783;131
88;147;548;151
89;626;1698;586
90;200;1032;133
91;142;611;154
92;203;436;327
93;228;164;1013
94;110;1101;3475
95;809;354;1207
96;295;537;1331
97;126;192;120
98;567;448;373
99;157;510;784
100;347;400;520
101;231;353;411
102;163;223;437
103;427;219;821
104;221;517;376
105;261;213;316
106;317;2493;137
107;366;855;81
108;394;1513;525
109;285;292;265
110;283;555;389
111;157;390;157
112;366;267;122
113;225;1585;461
114;749;119;194
115;629;102;152
116;302;747;339
117;723;550;691
118;270;1918;338
119;308;475;252
120;954;926;406
121;86;638;900
122;227;100;347
123;357;58;615
124;283;267;825
125;117;353;245
126;174;829;778
127;462;1816;716
128;494;226;1746
129;123;716;719
130;318;384;193
131;306;313;329
132;408;81;604
133;209;1260;837
134;292;289;148
135;323;3010;248
136;763;1337;1299
137;199;315;395
138;369;811;460
139;499;81;135
140;332;200;151
141;371;1643;1121
142;370;760;2654
143;797;1500;1148
144;323;402;838
145;209;652;529
146;399;217;1221
147;148;356;317
148;200;859;617
149;162;823;149
150;239;604;192
151;210;524;399
152;309;629;114
153;223;281;86
154;158;261;187
155;423;681;133
156;259;152;804
157;239;534;474
158;189;131;389
159;289;452;515
160;260;599;276
161;172;300;251
162;179;456;668
163;48;260;307
164;169;412;383
165;209;3420;421
166;127;926;120
167;248;346;896
168;328;2456;38
169;152;720;1300
170;182;459;1917
171;183;467;3258
172;145;65;129
173;83;1708;1429
174;505;455;1045
175;353;354;174
176;200;367;167
177;219;951;580
178;216;1183;1248
179;432;3377;1728
180;85;267;256
181;223;264;929
182;327;1601;880
183;226;138;862
184;357;747;670
185;169;288;205
186;394;514;629
187;185;946;630
188;162;237;140
189;71;1143;343
190;314;673;484
191;510;566;1035
192;140;1052;1819
193;448;357;642
194;275;359;274
195;254;260;266
196;255;566;294
197;252;371;750
198;292;111;200
199;194;513;993
200;957;3124;569
201;165;182;186
202;272;760;1012
203;285;986;446
204;158;150;807
205;60;609;690
206;181;401;1229
207;566;548;1496
208;178;142;217
209;398;144;174
210;72;488;608
211;171;738;1821
212;163;260;406
213;186;172;829
214;246;213;517
215;74;1734;1183
216;243;332;104
217;153;165;808
218;281;330;1524
219;207;906;252
220;202;1119;575
221;148;208;1979
222;416;503;1368
223;456;191;296
224;116;368;2049
225;116;667;379
226;277;543;152
227;185;282;91
228;101;420;1475
229;82;596;376
230;41;473;667
231;199;281;174
232;183;228;478
233;502;24;290
234;361;103;300
235;607;334;281
236;408;604;110
237;598;867;1988
238;62;162;414
239;265;377;217
240;201;114;366
241;426;485;513
242;72;2909;1875
243;243;336;198
244;724;533;295
245;280;349;1122
246;308;166;320
247;254;105;347
248;303;378;885
249;318;322;165
250;120;840;985
251;708;1392;1822
252;136;391;347
253;346;894;240
254;364;244;633
255;896;2550;453
256;301;163;297
257;217;419;749
258;259;250;268
259;580;784;316
260;328;1669;985
261;209;473;193
262;83;705;569
263;217;230;837
264;201;95;152
265;462;157;141
266;204;829;295
267;160;126;297
268;544;258;308
269;83;268;143
270;274;214;608
271;333;325;257
272;230;579;319
273;317;134;682
274;183;100;354
275;435;331;155
276;636;1368;596
277;232;473;100
278;195;279;434
279;313;700;278
280;264;663;958
281;384;943;187
282;391;299;235
283;293;31;277
284;251;592;67
285;161;630;137
286;260;497;890
287;283;181;391
288;231;1194;1663
289;236;232;486
290;585;428;500
291;66;648;113
292;635;1341;721
293;155;558;281
294;418;684;109
295;97;232;871
296;172;262;275
297;212;950;1746
298;737;396;296
299;137;636;1278
300;423;678;3150
301;302;455;723
302;276;506;287
303;272;683;566
304;198;399;288
305;512;154;430
306;204;417;230
307;690;113;337
308;334;2262;687
309;76;270;518
310;116;457;408
311;410;165;210
312;512;2617;264
313;122;340;639
314;298;298;758
315;92;306;563
316;365;162;1696
317;291;366;438
318;209;658;286
319;116;1108;150
320;307;596;184
321;194;505;342
322;269;642;798
323;678;888;139
324;326;528;1190
325;119;218;133
326;365;447;393
327;207;211;207
328;256;153;1174
329;206;822;1730
330;357;386;652
331;231;394;908
332;367;588;122
333;230;444;186
334;40;585;747
335;156;67;966
336;645;231;3581
337;733;2189;296
338;135;240;306
339;623;434;643
340;270;200;1923
341;191;520;185
342;716;142;1501
343;316;303;1124
344;191;249;134
345;195;555;484
346;125;1264;184
347;114;1076;632
348;141;709;162
349;212;177;364
350;809;184;1193
351;432;367;1092
352;172;9;938
353;177;528;629
354;304;429;510
355;318;300;1039
356;238;410;138
357;548;1700;1247
358;220;166;665
359;289;602;203
360;323;167;505
361;180;2122;102
362;161;558;151
363;278;707;302
364;626;207;1042
365;187;479;368
366;395;277;307
367;90;316;423
368;82;824;1135
369;217;210;569
370;276;1489;603
371;402;689;513
372;224;460;244
373;382;575;1378
374;765;1419;828
375;163;1240;1065
376;601;778;1625
377;153;312;568
378;643;2444;372
379;247;1007;909
380;258;712;400
381;179;732;550
382;193;228;219
383;392;214;1314
384;136;474;649
385;345;16;506
386;403;611;384
387;106;957;211
388;162;190;182
389;184;275;584
390;291;235;207
391;267;194;317
392;620;891;618
393;304;227;363
394;284;528;1016
395;295;761;507
396;38;507;1118
397;237;51;238
398;263;268;1217
399;370;1042;1541
400;374;275;330
401;150;488;3061
402;253;407;62
403;188;218;884
404;564;216;1169
405;278;219;409
406;690;1026;492
407;608;204;1103
408;340;1276;450
409;100;210;518
410;361;230;486
411;222;848;389
412;79;114;87
413;193;1215;1777
414;367;432;1447
415;104;137;1056
416;238;223;508
417;429;681;651
418;592;827;137
419;170;1223;57
420;180;727;559
421;422;1015;203
422;195;444;187
423;148;387;867
424;255;410;205
425;127;348;245
426;552;196;284
427;808;109;810
428;147;902;1799
429;228;563;111
430;158;1219;632
431;349;356;1000
432;243;562;1643
433;274;1181;608
434;156;213;530
435;185;534;947
436;200;513;370
437;185;356;133
438;405;149;186
439;205;271;164
440;64;312;466
441;141;131;1767
442;542;134;339
443;544;3769;759
444;377;179;619
445;274;344;246
446;111;1288;161
447;211;713;2041
448;532;2333;518
449;430;98;84
450;172;824;275
451;318;111;979
452;570;161;569
453;366;246;1089
454;241;244;2806
455;161;530;1714
456;145;2838;500
457;175;603;44
458;228;86;73
459;726;363;732
460;200;503;263
461;146;66;1017
462;375;344;348
463;251;1435;204
464;232;338;758
465;315;134;159
466;254;477;129
467;49;395;369
468;322;1295;527
469;273;574;549
470;165;158;1106
471;206;579;283
472;451;893;179
473;132;213;1617
474;473;548;442
475;103;584;1245
476;273;320;982
477;189;674;880
478;191;1120;302
479;427;369;343
480;160;168;822
481;415;977;322
482;237;504;1495
483;245;1312;1317
484;285;247;258
485;218;404;1207
486;539;626;475
487;259;165;781
488;128;105;592
489;218;1318;332
490;214;390;832
491;105;280;246
492;294;1179;541
493;447;2525;408
494;419;588;559
495;77;762;751
496;248;169;1789
497;172;488;1276
498;379;419;518
499;407;235;105
500;48;810;162
501;259;325;6312
502;387;316;233
503;435;231;121
504;216;1147;260
505;144;2616;634
506;241;701;515
507;557;1147;157
508;314;690;471
509;224;201;508
510;182;147;166
511;448;537;352
512;309;96;114
513;821;965;1314
514;569;521;176
515;319;606;679
516;139;297;143
517;169;117;242
518;100;293;147
519;182;765;949
520;356;559;1286
521;80;606;921
522;154;536;246
523;189;917;735
524;238;892;880
525;114;407;57
526;473;948;167
527;131;380;324
528;376;337;1232
529;346;460;582
530;266;693;420
531;406;833;593
532;244;182;225
533;179;623;714
534;207;405;404
535;283;149;1040
536;127;937;645
537;177;331;486
538;248;229;401
539;518;649;2199
540;162;79;730
541;174;928;1129
542;654;3533;107
543;186;611;219
544;150;438;208
545;227;331;874
546;198;491;557
547;313;250;123
548;304;206;530
549;155;611;190
550;195;456;204
551;125;160;502
552;285;428;492
553;414;818;249
554;157;747;263
555;370;2219;731
556;288;224;462
557;211;163;782
558;284;109;1226
559;171;272;3172
560;89;335;395
561;259;1707;206
562;245;1179;887
563;151;256;580
564;158;584;204
565;327;851;164
566;76;1332;615
567;498;191;211
568;138;178;653
569;202;213;541
570;216;451;97
571;146;1121;372
572;243;571;78
573;246;159;112
574;663;995;1158
575;240;150;185
576;180;181;176
577;167;490;1455
578;279;193;845
579;419;50;254
580;159;173;445
581;158;208;456
582;126;468;81
583;1012;409;358
584;387;512;217
585;457;395;62
586;294;384;302
587;165;527;572
588;264;342;2571
589;255;96;6
590;261;103;189
591;249;428;313
592;413;413;374
593;121;924;243
594;153;1209;139
595;284;141;791
596;247;499;548
597;201;904;1326
598;372;496;646
599;300;264;769
600;355;551;194
601;538;244;437
602;417;336;356
603;241;309;495
604;499;387;246
605;150;182;906
606;844;877;524
607;275;557;644
608;240;402;165
609;142;155;185
610;287;537;767
611;248;1102;606
612;195;337;594
613;145;131;312
614;323;989;370
615;247;485;173
616;225;486;945
617;132;397;350
618;279;820;366
619;133;517;585
620;474;664;239
621;105;849;968
622;90;172;826
623;339;523;249
624;140;553;1417
625;319;635;548
626;242;866;798
627;309;77;56
628;320;760;129
629;201;580;225
630;117;1041;215
631;174;343;374
632;141;1143;452
633;378;2830;161
634;84;633;136
635;199;332;338
636;281;69;244
637;330;98;218
638;298;188;600
639;216;213;112
640;376;601;900
641;441;210;113
642;554;1191;288
643;280;146;171
644;627;395;160
645;195;501;175
646;306;138;200
647;190;554;627
648;262;929;282
649;318;738;408
650;157;643;156
651;158;1194;127
652;309;352;1069
653;297;945;457
654;301;66;689
655;120;242;86
656;399;375;209
657;680;344;311
658;700;698;295
659;432;843;1040
660;407;857;445
661;280;1337;212
662;736;718;885
663;334;797;234
664;182;436;544
665;374;164;248
666;620;287;1666
667;425;505;2588
668;325;398;68
669;266;51;369
670;187;282;1366
671;590;1370;417
672;971;556;1604
673;280;118;213
674;272;160;408
675;211;835;338
676;672;1210;845
677;344;204;274
678;210;580;609
679;276;563;182
680;569;356;622
681;144;735;511
682;452;203;626
683;244;505;269
684;183;237;274
685;248;876;553
686;98;1482;170
