;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;318;222;638;1449;195;762;1545;1918;733
1;396;145;328;2561;1277;392;1728;391;573
2;1218;676;1445;28;1153;421;604;180;1053
3;1198;1344;43;751;221;273;746;827;88
4;2382;837;1249;375;140;1049;320;1253;211
5;658;962;881;656;402;1235;357;1566;1612
6;269;104;298;379;542;931;272;161;1426
7;261;788;246;631;160;383;448;594;1066
8;707;1194;197;3613;2116;610;248;1484;1417
9;369;1096;655;201;3071;196;255;1850;1992
10;2201;506;1602;974;1252;1022;345;180;2851
11;895;520;30;556;294;159;273;130;615
12;136;129;746;767;303;803;2086;673;751
13;1147;299;501;1434;778;657;372;148;2430
14;837;2784;458;181;1542;426;1087;412;2037
15;1114;951;822;265;494;133;211;296;442
16;1300;1152;3184;912;536;199;314;1773;640
17;163;275;1337;992;1163;2727;657;154;1653
18;245;1177;533;987;271;507;448;2844;400
19;636;373;278;1018;589;877;855;470;594
20;1918;535;556;1300;322;491;629;2508;259
21;223;889;601;537;991;1600;749;175;539
22;507;201;719;329;556;372;262;1520;227
23;1678;197;1314;248;2079;148;261;1366;2252
24;210;474;1173;228;2008;216;1924;310;1129
25;1854;192;737;466;1281;319;636;836;88
26;3036;1572;178;778;1197;1415;883;445;572
27;128;430;381;630;387;425;572;459;992
28;167;1729;1184;818;1967;505;556;316;472
29;976;337;1832;318;231;1039;464;321;392
30;1091;99;896;537;507;260;518;472;1023
31;483;896;333;1681;255;476;1312;950;319
32;268;270;281;177;725;231;245;329;385
33;548;333;1583;801;1307;1024;807;3192;310
34;118;128;431;1155;436;371;267;65;1078
35;1583;956;300;1052;305;431;320;755;740
36;181;118;663;117;431;120;292;580;469
37;197;259;207;623;416;1792;390;544;101
38;397;197;1201;478;498;840;374;351;551
39;237;1053;1091;220;284;658;126;308;376
40;161;305;286;522;229;515;289;142;477
41;1962;623;328;295;149;787;510;181;231
42;560;96;734;1895;157;165;573;895;1611
43;470;1544;354;349;270;255;301;218;473
44;1005;134;99;260;111;436;294;262;434
45;252;200;637;172;150;221;519;1282;386
46;965;1602;235;121;283;748;525;398;179
47;20;540;512;1767;99;359;650;631;355
48;102;169;214;195;1591;116;320;268;378
49;337;1470;349;168;458;452;1276;590;508
50;1166;710;1139;706;455;607;606;3373;552
51;156;317;176;458;1122;1464;559;808;359
52;125;713;475;789;250;273;1103;260;2215
53;613;334;121;353;234;178;208;633;2419
54;749;735;432;578;320;290;489;138;413
55;92;263;511;999;186;726;51;165;431
56;159;168;267;300;188;231;70;1060;516
57;921;1029;495;599;2878;334;362;693;492
58;2628;672;931;213;1036;1050;264;1222;439
59;4513;87;346;214;501;965;357;966;204
60;325;26;271;1300;227;185;586;415;142
61;547;243;2159;419;500;1559;196;247;1076
62;981;646;1499;74;297;1471;290;371;458
63;5266;1107;2021;1112;489;323;400;308;461
64;4871;798;386;1016;1253;2072;93;2018;1127
65;2201;507;234;117;1016;130;190;3292;1013
66;744;1243;530;286;231;151;519;419;458
67;273;275;844;306;199;643;786;853;518
68;185;88;650;241;180;160;1991;263;730
69;798;532;988;669;155;898;365;323;754
70;831;120;879;276;191;500;440;135;374
71;430;965;2728;583;1898;1026;662;895;1269
72;2345;525;894;577;525;300;417;747;138
73;2044;381;2091;393;367;825;310;483;1336
74;248;408;456;1325;167;1180;163;397;419
75;3273;1189;483;734;1148;224;2477;836;643
76;331;130;1117;187;127;328;468;1166;46
77;1694;504;760;467;230;431;262;205;323
78;469;1105;821;782;228;276;228;2163;388
79;1248;385;1467;447;1679;1390;326;1689;155
80;3096;476;913;112;311;1100;142;131;137
81;374;703;68;996;450;653;412;364;327
82;500;472;640;279;309;1125;602;41;891
83;545;603;569;383;809;559;171;1468;660
84;1458;2583;503;1060;266;116;544;853;1159
85;84;1202;488;520;198;204;634;396;1107
86;1810;924;2170;303;160;199;392;515;2071
87;1468;329;251;1109;935;42;255;555;1220
88;668;381;312;968;837;233;1500;608;287
89;687;646;386;480;502;215;609;396;987
90;765;197;253;97;287;445;363;197;147
91;1460;1079;1724;300;717;1674;992;648;522
92;4763;1380;1509;449;165;661;407;342;751
93;2016;375;809;706;257;858;1835;366;701
94;1047;753;535;673;166;537;795;469;192
95;260;497;159;187;3139;639;329;815;390
96;494;907;485;81;708;672;95;130;353
97;287;202;246;134;1309;696;319;605;160
98;947;1723;263;543;176;615;187;112;328
99;384;1472;1257;1200;126;449;2577;309;701
100;486;740;306;801;340;511;28;207;1052
101;1279;297;306;246;1299;1212;430;363;252
102;3518;588;714;488;514;832;932;1205;754
103;179;200;458;920;157;228;46;1898;759
104;2752;142;167;274;431;367;315;415;566
105;1181;1223;369;367;997;1751;474;308;323
106;2952;1478;101;1166;270;2465;1362;1810;2428
107;1255;427;1459;416;1726;365;218;663;484
108;875;357;681;553;374;2931;173;326;1089
109;2318;1437;72;631;2206;557;789;235;387
110;304;1006;592;1249;3200;591;328;458;467
111;1333;689;270;540;231;1146;515;237;648
112;854;242;644;175;643;286;1374;310;274
113;157;547;1697;433;346;893;536;1070;1178
114;2032;887;1721;1497;373;739;400;301;1001
115;1983;455;398;1454;258;688;1951;67;1006
116;913;121;403;545;258;548;270;682;254
117;1620;253;156;309;272;867;235;125;241
118;316;98;312;1042;456;367;562;278;184
119;2109;1889;129;868;377;512;498;304;1853
120;727;469;503;491;474;85;250;982;402
121;580;305;217;1194;502;729;196;157;1640
122;1826;1781;1845;1656;448;175;992;146;324
123;1218;471;396;1350;168;539;303;546;484
124;1448;652;609;437;635;368;1108;612;231
125;1317;189;372;40;515;931;241;958;481
126;261;172;217;575;187;147;296;318;565
127;57;1061;225;374;989;264;331;112;1224
128;5320;184;161;627;734;1048;252;663;459
129;794;760;519;2071;655;439;713;358;551
130;2122;538;410;430;402;444;756;1335;645
131;994;1568;139;799;618;1901;1215;341;1339
132;1632;117;1274;773;322;877;136;1215;1105
133;1841;889;258;511;376;196;926;848;296
134;927;294;899;980;415;660;518;150;318
135;1329;1035;375;852;493;742;253;2497;688
136;184;1722;713;250;254;277;535;528;145
137;212;314;2323;212;565;209;1735;682;773
138;1133;883;537;405;299;423;1127;261;264
139;4499;1116;469;341;682;978;546;290;579
140;67;440;505;1545;742;692;230;544;796
141;486;763;309;389;253;479;258;524;321
142;2685;138;146;502;368;367;500;206;360
143;336;528;142;217;876;769;98;466;739
144;1341;69;1001;462;270;417;268;400;763
145;2415;1134;460;261;504;371;692;724;148
146;2054;1619;172;405;303;330;345;381;382
147;2021;1020;521;481;931;410;69;621;209
148;702;1461;187;435;609;524;291;462;191
149;522;1407;449;2536;1074;1014;813;269;2125
150;308;778;205;1084;366;300;216;297;439
151;483;358;312;213;314;657;97;715;897
152;642;421;385;294;140;554;673;153;266
153;2627;668;523;503;415;931;315;433;1612
154;444;971;159;197;702;343;263;377;711
155;6257;503;383;493;263;761;687;638;95
156;511;79;499;788;211;482;210;321;837
157;1266;226;322;493;245;343;209;228;261
158;368;901;812;721;1274;530;256;552;686
159;468;375;384;283;72;124;350;445;1802
160;294;1308;207;122;625;247;231;1361;1391
161;266;273;251;167;504;640;267;651;1912
162;447;334;497;510;502;488;334;718;818
163;983;652;555;548;370;171;136;553;376
164;111;173;155;620;218;138;175;285;623
165;266;67;647;247;1221;985;249;1735;440
166;1016;1328;254;521;838;991;833;1002;604
167;1384;750;327;440;359;305;602;272;553
168;755;679;1660;351;457;464;439;1218;690
169;538;1979;432;290;602;260;299;2248;286
170;957;341;619;316;340;511;97;412;236
171;1803;330;2103;299;1129;593;1342;2945;466
172;2098;915;1095;1362;1512;171;371;167;322
173;173;341;274;300;978;658;480;749;304
174;454;851;443;446;971;620;609;680;727
175;3561;740;637;524;1570;299;272;498;399
176;2999;158;467;391;146;589;922;398;1549
177;327;387;335;171;699;294;172;258;1783
178;319;966;202;1413;475;2129;1593;579;840
179;3503;3102;1096;369;348;720;87;893;62
180;1406;420;1773;711;2127;159;366;597;144
181;201;945;277;459;645;459;128;840;542
182;2196;250;979;130;375;298;662;2530;474
183;380;410;65;639;633;408;188;819;319
184;1560;224;528;729;369;514;128;947;246
185;638;127;1046;130;192;1415;1193;361;469
186;816;360;99;469;432;695;1315;481;1333
187;588;513;1020;502;188;1016;189;699;176
188;3;957;509;504;456;464;325;286;252
189;1242;103;89;404;596;723;375;554;412
190;1039;77;2450;1576;746;454;426;813;998
191;537;797;724;1133;474;1500;44;279;385
192;1343;113;689;239;236;190;107;190;205
193;2817;367;435;261;453;365;1391;490;686
194;205;103;637;590;324;139;2163;405;352
195;959;566;761;272;395;1092;182;615;409
196;731;2346;117;975;1556;536;725;284;192
197;665;189;102;1054;510;137;2158;209;374
198;289;496;148;530;31;352;344;1668;355
199;313;278;134;67;72;215;400;261;655
200;922;1703;1656;777;464;349;467;2273;152
201;131;394;853;2603;802;1812;428;68;1334
202;406;205;195;224;369;762;608;384;522
203;981;491;275;682;481;45;1879;1397;422
204;216;1140;136;498;95;267;323;367;639
205;421;122;979;137;1131;358;685;80;519
