;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
;20;20;20;20;20;20;50;50;50;50;50;50;100;100;100;100;100;100;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;5000;5000;5000;5000;5000;5000;10000;10000;10000;10000;10000;10000;50000;50000;50000;50000;50000;50000
;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;425860;425860;425860;425860;425860;425860;921030;921030;921030;921030;921030;921030;5409890;5409890;5409890;5409890;5409890;5409890
0;fail;fail;14153;535;50731;4007;fail;fail;15615;95;6437;3332;fail;8532;36254;346;4900;5581;232;691;1064;684;113;1103;1041;17399;5083;1898;263;26465;7250;482;1551;1983;3212;2404;3769;3905;14333;348;840;865;467;4008;946;581;1645;1528
1;fail;fail;15362;3050;2873;16247;fail;fail;fail;29328;fail;8861;fail;fail;42419;7952;fail;66731;186;130;4856;26059;323;6875;1071;6231;2316;5076;941;722;1314;768;557;1457;278;2959;4232;4347;9344;1084;47;1610;494;667;2677;4729;5835;962
2;fail;fail;fail;11153;2420;65503;fail;fail;fail;15343;fail;84590;fail;9810;214;779;50;49518;1387;4095;3739;22611;1188;649;fail;1325;28;4819;299;6927;1371;836;826;3499;5351;479;916;5971;2952;6011;2096;4618;5016;5771;1057;6541;2647;2792
3;fail;fail;fail;11816;fail;87458;fail;fail;27;36857;8950;267;368;16;14151;3989;10446;2979;fail;2882;28227;3035;19821;477;fail;1566;2030;876;3277;959;5666;13218;2836;15982;584;7164;601;3839;394;2630;348;1909;2217;1070;3762;1320;187;2518
4;fail;fail;93734;1734;5768;10056;fail;3289;212;449;16301;197;fail;958;18322;5950;11290;2947;496;27039;7456;7064;2974;46;478;2155;33753;11476;1470;17876;419;7813;73;14983;1297;537;310;166;1269;8748;6553;3431;1599;568;1169;4552;1295;921
5;fail;fail;4686;91229;1580;fail;fail;fail;1373;2993;fail;944;fail;584;859;1565;763;2349;fail;9173;3727;1871;289;8084;fail;3567;1939;3724;23810;25147;517;2425;3382;1379;1055;578;336;303;1236;5943;2356;369;3537;3582;1063;1700;3117;1671
6;fail;fail;6694;329;11976;fail;fail;fail;30306;442;50553;9976;fail;7209;34490;4457;6164;7264;1310;6018;38298;13542;11594;8365;fail;946;2568;2305;98;983;3012;977;1077;292;315;2764;157;2234;5120;2627;551;142;2306;658;2703;232;673;382
7;fail;fail;3072;10703;5521;fail;fail;20;13809;116;6546;9072;fail;fail;1246;7160;1225;2541;fail;754;7284;21349;35853;401;fail;16980;3926;21447;12016;17010;1256;497;396;183;409;389;2407;3819;1808;17658;3488;23558;2280;853;8838;471;1696;2324
8;fail;fail;fail;653;17953;95856;fail;fail;fail;227;86549;77825;fail;1324;936;307;405;19905;707;273;2968;1473;4679;108;fail;1076;65747;2079;1157;17762;1187;1044;3643;3667;1510;3086;3515;1171;22120;9790;4429;1090;313;667;1420;369;621;2027
9;fail;fail;fail;10911;fail;61824;fail;116;241;13213;1118;111;fail;fail;fail;27780;2678;80;245;1873;1962;2766;881;1820;fail;3694;914;6467;2159;862;91;1243;3607;12406;349;835;631;958;414;3738;207;1232;952;553;6390;893;1478;1533
10;fail;fail;fail;48786;99395;fail;fail;fail;19730;1029;642;8252;fail;13721;45991;52578;10530;fail;fail;20950;3581;4111;26099;4830;2257;832;1549;1148;695;4313;1173;464;1489;4920;630;2198;2143;3390;13609;190;970;7292;663;3501;4409;1172;863;770
11;fail;2163;56499;52;68965;18429;fail;fail;25739;9314;22992;6360;fail;fail;22116;2685;39136;24204;97;1830;4018;1436;356;2988;467;1380;1319;3225;517;2534;97;4223;1980;7498;1790;1686;156;4427;6118;299;3476;313;792;1001;1254;1896;1278;1234
12;fail;fail;22910;9684;12926;8710;fail;29;13023;2099;58020;15889;fail;436;4664;334;485;4078;fail;15856;4534;283;28100;19536;fail;1649;24277;2031;17227;10332;291;2715;12440;576;534;2703;3972;1416;2314;5380;3031;6733;610;493;8388;4900;8433;921
