;RLS-R2;EA2;pmut3.25
;10000;10000;10000
;921030;921030;921030
0;1607;1312;1486
1;694;207;446
2;654;955;476
3;4971;1413;1678
4;841;7389;1873
5;122;2274;344
6;171;1684;397
7;849;1052;743
8;5311;754;310
9;2932;291;721
10;2465;970;46
11;979;4617;2626
12;2576;2104;1010
13;4034;1422;2145
14;4286;2149;5126
15;2869;2022;237
16;741;3815;9696
17;849;549;1294
18;2638;101;4684
19;524;1992;10851
20;1096;1552;2504
21;1790;713;2072
22;306;720;146
23;1093;4217;395
24;591;244;1390
25;2108;3573;17259
26;550;252;4748
27;858;1295;1424
28;7072;1315;3278
29;652;944;526
30;2441;4972;2477
31;30;8058;325
32;83;350;1023
33;1211;175;2851
34;2388;2940;1256
35;1286;1355;1455
36;3215;1416;505
37;518;428;415
38;812;474;2570
39;1708;330;5651
40;8354;1475;2089
41;1797;3770;5633
42;1484;1368;660
43;242;291;601
44;3793;2838;5882
45;11315;1123;5086
46;1965;10620;409
47;280;3245;1142
48;6411;816;2971
49;9780;1166;1506
50;174;1598;844
51;672;8225;4145
52;233;11967;658
53;4782;3209;5873
54;695;2089;2205
55;1565;2032;509
56;150;5746;198
57;380;1132;769
58;573;982;768
59;322;2449;213
60;6076;5067;13497
61;1102;1393;7242
62;571;3222;6920
63;699;4166;3726
64;2187;415;454
65;1030;4883;2615
66;4252;813;1944
67;1089;5114;4796
68;3450;8916;1666
69;754;946;664
70;5133;146;4601
71;2399;2091;2355
72;1380;1759;3648
73;2050;1576;1200
74;1667;894;1143
75;1568;964;419
76;4402;731;419
77;498;2053;145
78;328;2531;1214
79;1642;357;1137
80;2129;1862;16612
81;658;2611;633
82;405;3229;303
83;752;3495;1581
84;1660;229;1080
85;8709;5781;3692
86;2209;6334;1294
87;2830;427;847
88;3868;616;660
89;17286;3540;1129
90;1184;713;1414
91;2579;354;6404
92;900;1862;6080
93;5705;3309;3473
94;1692;714;1552
95;1104;1262;634
96;5630;14700;1411
97;297;324;296
98;1846;1999;6198
99;343;3891;1037
100;1438;1818;1068
101;1386;3684;1416
102;4622;13975;10506
103;718;2175;1629
104;17573;1231;645
105;579;1882;410
106;4810;1769;1494
107;929;2256;2994
108;1771;2065;7341
109;204;2979;209
110;504;3883;2035
111;1959;1009;1892
112;327;5898;402
113;261;1619;2250
114;4945;2865;640
115;3790;3619;2465
116;1244;498;1323
117;8293;275;7221
118;1870;428;1482
119;12735;10628;1717
120;3810;2561;1738
121;2121;1026;1101
122;1278;7466;4973
123;1399;5116;676
124;6898;2347;11988
125;3341;1760;2417
126;3298;5371;2034
127;3871;832;699
128;76;432;840
129;7067;849;2482
130;440;3294;1064
131;8710;2038;6540
132;142;1099;3270
133;2090;1394;56
134;1873;8366;3261
135;2584;3763;417
136;1713;486;1792
137;2283;843;964
138;1205;7676;1946
139;1081;716;1796
140;2503;1645;555
141;706;5039;3765
142;148;1266;452
143;2029;2647;382
144;3520;1322;2065
145;771;6989;1795
146;6095;5565;1512
147;2072;487;327
148;1234;874;457
149;1263;2396;1375
150;12712;208;3981
151;28;2450;5505
152;5229;4014;3220
153;3157;3337;115
154;431;3428;333
155;74;3030;394
156;932;7891;2793
157;5047;352;852
158;848;867;543
159;830;1216;2212
160;631;4368;934
161;1081;105;2867
162;2344;8062;3544
163;4523;3426;85
164;19;6582;2006
165;1594;1433;5485
166;4924;1164;9144
167;2986;8456;161
168;113;621;3519
169;3246;11337;1779
170;492;257;753
171;1245;3582;4827
172;2628;1282;4883
173;582;4211;331
174;6788;919;14492
175;44;5155;5362
176;356;222;13307
177;1734;2689;4891
178;1294;1161;1288
179;5061;5437;1477
180;140;6638;311
181;15625;1390;15658
182;1780;517;663
183;3275;4181;825
184;680;2468;3249
185;1653;3049;4264
186;9125;2144;828
187;2002;5727;4267
188;3886;196;522
189;1041;250;532
190;1885;302;552
191;212;1829;1689
192;2610;950;957
193;402;330;414
194;1879;410;1407
195;432;5815;1438
196;32118;4315;1731
197;568;723;3991
198;3595;2329;669
199;238;444;861
200;1374;3669;269
201;729;1443;692
202;3800;1257;3062
203;441;2758;1628
204;3362;4622;10737
205;190;706;305
206;430;9174;3183
207;3537;5250;570
208;845;894;578
209;2759;3351;342
210;1490;6992;3132
211;747;4660;69
212;3362;7410;2129
213;5538;2987;530
214;1923;735;3588
215;4730;1149;439
216;4367;2726;347
217;1383;532;4260
218;1868;1615;2665
219;653;2835;552
220;2952;879;117
221;368;791;254
222;1964;1471;15766
223;2387;8618;371
224;701;1056;1297
225;775;1594;1301
226;413;8911;457
227;2154;149;464
228;1955;3342;655
229;1851;2119;2174
230;1094;425;642
231;637;488;1244
232;2056;983;87
233;5379;3707;273
234;1580;8344;14777
235;205;3610;606
236;2578;9892;358
237;1666;436;4431
238;1246;930;1576
239;723;1892;1516
240;9848;17285;2772
241;2901;1618;4582
242;1757;852;5711
243;320;1100;49
244;352;6853;332
245;1926;2945;7457
246;1710;14229;1404
247;440;1477;1617
248;526;6633;712
249;407;866;615
250;4291;784;807
251;272;2494;1218
252;820;3825;822
253;762;2939;602
254;980;2401;2683
255;5111;1046;834
256;132;334;200
257;1979;1167;76
258;1613;213;3017
259;1360;745;7516
260;571;6769;1349
261;598;2353;663
262;4947;254;1212
263;3334;3213;1114
264;1758;1098;5228
265;102;722;1411
266;309;1082;813
267;1078;2415;127
268;480;2480;771
269;1077;3763;371
270;151;4805;1554
271;1009;3452;2333
272;301;1490;6069
273;1846;88;427
274;3182;3756;6551
275;478;299;11570
276;645;1660;2516
277;1111;1165;2064
278;4832;2340;2750
279;2966;2955;764
280;1047;2438;2132
281;190;3232;1855
282;506;1275;1008
283;1560;413;3187
284;140;3502;903
285;2896;3629;521
286;677;4545;504
287;5113;2626;3329
288;3909;715;11236
289;1671;785;1931
290;1617;2297;2119
291;1388;1370;378
292;294;106;426
293;1544;453;2170
294;5059;3395;2679
295;7047;1218;742
296;1629;844;904
297;3297;1881;2657
298;248;421;2583
299;663;444;288
300;139;433;658
301;672;1542;1630
302;2257;2076;829
303;971;150;2692
304;8360;13642;887
305;1713;1060;2153
306;676;3559;352
307;1987;7807;870
308;238;1170;2339
309;3468;6242;677
310;153;1279;4673
311;2497;6789;5612
312;1045;188;1216
313;2958;1426;5350
314;1135;120;2052
315;394;658;3699
316;915;10395;4265
317;1525;2583;1807
318;1284;1767;1698
319;9839;1554;25279
320;7267;5378;861
321;1005;1334;719
322;613;2175;1375
323;160;1428;429
324;994;1561;4021
325;481;1938;529
326;1514;1051;1500
327;1500;171;2996
328;2720;786;496
329;1559;2319;3849
330;2310;4411;395
331;232;2032;166
332;2091;442;637
333;833;472;1140
334;1839;6499;1035
335;606;3205;9926
336;3436;1209;646
337;6994;845;4177
338;4775;8497;462
339;1207;2161;3200
340;528;3216;601
341;3877;4398;400
342;2125;1222;4019
343;3302;3614;77
344;1635;2155;925
345;690;1213;2710
346;520;3202;5206
347;452;1060;1491
348;5859;1689;2383
349;224;2487;4300
350;4369;1869;5618
351;2443;73;732
352;2121;603;4350
353;702;4767;3810
354;698;2968;1933
355;161;171;1376
356;404;980;1732
357;495;153;4899
358;1451;435;75
359;2760;2943;2324
360;227;453;2377
361;2996;812;862
362;3360;3503;8437
363;1565;598;3122
364;5116;6130;7446
365;1052;85;262
366;3405;6971;702
367;1584;694;1440
368;1120;644;3856
369;2636;339;2973
370;4873;1722;481
371;2014;10221;184
372;177;9586;882
373;630;219;2786
374;2340;778;2599
375;2299;834;1628
376;1159;370;1068
377;2215;2322;1160
378;392;3468;690
379;1833;3119;1769
380;54;687;2415
381;1859;2116;353
382;3185;1671;391
383;2748;5646;1109
384;1693;151;5732
385;4088;3544;3497
386;1481;3511;1172
387;4294;315;1144
388;878;461;3052
389;1424;3014;3197
390;1079;950;206
391;1114;2433;2575
392;4695;23961;1942
393;6381;7903;1943
394;2039;5910;167
395;610;213;182
396;554;6755;871
397;1928;161;163
398;352;72;275
399;1313;2477;528
400;1060;1080;4929
401;5323;863;930
402;1026;797;1993
403;617;6498;1649
404;7052;7295;3444
405;14617;21;1089
406;1333;2434;3612
407;4943;787;3620
408;560;2347;3151
409;858;1247;6581
410;270;4194;1532
411;2431;3678;12759
412;1005;6793;1542
413;7514;8104;1637
414;670;4859;1106
415;915;889;952
416;338;5447;4546
417;2743;1814;126
418;635;361;246
419;219;4018;893
420;520;3953;4063
421;848;331;1679
422;893;431;3325
423;5488;2628;379
424;727;751;2145
425;154;4601;2613
426;3934;481;457
427;1556;4613;4095
428;900;2441;4661
429;1868;4462;1884
430;282;5190;2874
431;1617;1344;999
432;2836;2600;1562
433;6146;1263;4771
434;1515;2855;199
435;435;3463;257
436;56;98;211
437;4103;7421;9843
438;2175;123;1266
439;3112;647;1613
440;2762;2701;8352
441;424;1215;729
442;312;1629;2890
443;1851;858;1210
444;4773;2273;1900
445;102;6530;2773
446;1534;3704;1344
447;491;1692;7909
448;6906;54;947
449;310;5145;2110
450;215;1538;729
451;4732;537;163
452;2920;5972;5643
453;161;1523;1030
454;2328;219;1671
455;3302;2921;2265
456;101;478;782
457;1960;4807;3164
458;3089;331;797
459;5506;955;2640
460;1836;7340;3915
461;520;1120;1833
462;499;19934;80
463;10722;9246;624
464;327;1203;471
465;711;759;615
466;1290;5257;996
467;1514;2377;2598
468;1186;3615;394
469;1724;389;315
470;3187;696;1456
471;644;11268;6470
472;1863;586;143
473;1607;5469;2093
474;2985;2283;579
475;1112;2008;929
476;1882;629;6019
477;369;2682;1159
478;864;3857;110
479;3657;2297;210
480;544;1540;907
481;4724;646;3208
482;389;1251;1158
483;1639;8265;2902
484;1584;960;3344
485;3328;1299;3735
486;3755;8345;2179
487;764;3151;1209
488;2629;446;815
489;794;155;1770
490;223;2563;2134
491;865;3242;1944
492;1070;1335;3697
493;1092;4291;3238
494;464;4619;1488
495;865;4950;1208
496;2217;1777;4558
497;2693;604;606
498;326;1557;583
499;698;1350;1256
500;582;1089;589
501;1572;362;186
502;1958;10537;3326
503;355;2533;169
504;292;334;11820
505;7345;1071;1541
506;2452;2554;2621
507;3003;10490;397
508;105;6095;9129
509;1997;7168;350
510;5474;1460;4372
511;647;1149;795
512;7007;405;697
513;1163;12516;1179
514;1472;5495;727
515;288;1706;1753
516;2016;2227;2374
517;111;4594;774
518;903;495;368
519;383;5372;2476
520;2863;310;2419
521;487;488;286
522;899;1948;7388
523;3228;300;2179
524;1659;899;632
525;1679;20094;2395
526;554;2957;1723
527;859;8546;2166
528;215;5395;237
529;5268;2477;6213
530;2025;3081;769
531;611;9054;2994
532;2837;3062;1979
533;1414;2023;271
534;2629;3082;3317
535;386;1013;1249
536;1369;417;562
537;2274;5258;2604
538;1031;10935;6384
539;610;11747;220
540;1134;1544;3813
541;1987;498;2300
542;1710;1437;2348
543;1501;606;174
544;8204;6748;272
545;960;3377;2448
546;42;145;588
547;429;791;2205
548;861;1205;565
549;2548;1173;1297
550;495;1228;1806
551;11101;9301;523
552;561;41;560
553;1263;436;3135
554;1897;13200;1382
555;1178;12082;3466
556;3079;5860;2790
557;931;106;3679
558;212;658;1700
559;1865;2063;248
560;1044;4888;3133
561;1368;10997;1681
562;2755;3476;2164
563;1883;2760;5302
564;7199;1561;540
565;1316;4173;1760
566;275;2396;1082
567;10529;2284;6581
568;7212;1076;1762
569;21;2506;3373
570;828;1093;2259
571;957;551;234
572;4525;5278;5862
573;955;433;1357
574;641;609;1809
