;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030
0;923;2379;2536;1815;3218;2224;3947;2742
1;1302;2021;2414;1203;4251;13021;3794;32081
2;2244;9375;1309;3269;3007;14861;5087;36931
3;8010;628;5035;1208;4387;4953;874;10266
4;5445;4048;1323;3615;9531;11012;16970;8168
5;1222;7086;488;4670;4585;46234;94796;189
6;4726;1623;837;22207;12445;19242;4071;15488
7;956;1036;3785;1387;14;6791;15103;10258
8;4197;7665;1533;557;4863;5782;9205;17559
9;4110;3195;2543;8531;688;39467;9152;21061
10;5228;486;5688;2298;4794;6717;1835;6361
11;3873;2543;1161;19675;2816;841;4769;55765
12;3882;3240;130;7009;10372;2990;4844;32662
13;3566;284;645;784;7187;259;11693;9699
14;10401;2004;1675;682;4242;13778;30771;29498
15;1259;2862;4126;974;2749;562;13630;85083
16;2723;1507;1055;7364;4108;5345;1263;19752
17;5870;17541;19812;9444;579;10741;39560;14991
18;10361;10120;2043;10761;5053;2550;10666;11479
19;1299;1476;7084;2341;1142;18080;30801;103492
20;2756;3826;2507;1832;928;778;11106;21022
21;5315;4162;3188;9384;454;708;4805;14554
22;7661;7850;18119;790;12139;6388;30066;38337
23;3786;1467;150;487;2258;20901;13463;12188
24;134;6934;4475;1900;14669;13078;10917;13369
25;1211;1071;479;5997;3275;7898;8114;10140
26;2300;3263;6718;219;514;7804;461;12224
27;739;916;827;4212;4015;5206;1003;10740
28;1402;582;1725;1505;599;5748;4325;5268
29;348;830;1063;3106;2181;5746;127;12755
30;1250;6001;3804;4936;7122;97;9826;4492
31;1108;641;2411;4643;561;15902;5789;1119
32;239;1881;7906;5885;9113;1967;3901;9256
33;916;642;202;937;1498;5415;1569;3741
34;153;237;2778;3019;13317;4142;40343;1660
35;1734;1684;805;2022;790;1058;481;1055
36;939;2604;2866;588;1044;15633;19885;17779
37;3275;915;179;1933;1446;485;22591;27338
38;896;680;1135;7218;11842;44224;21155;32313
39;1574;6905;2176;5332;1725;19176;56551;46565
40;1150;2500;564;1272;6873;2754;6152;632
41;4493;8926;11610;8047;10326;18306;62767;18160
42;20252;517;3505;2382;901;3923;5956;78550
43;1330;4402;11442;1389;2666;10863;33112;3069
