;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;1003;14133;747;2837;3292;1442;2287;755;4931
1;8225;2387;1650;2559;363;535;77;604;1813
2;1925;5673;560;3379;295;1645;2888;863;57
3;2388;2569;8923;7648;5265;692;708;1128;4462
4;3312;14641;868;5163;5478;1630;3159;4284;3413
5;1181;1189;323;1399;113;595;2063;1041;644
6;9983;1402;1808;124;3975;900;1648;4333;2927
7;312;1636;3604;3535;1282;2245;304;2873;1861
8;2672;2526;153;5257;3173;1102;565;273;591
9;123;9771;1170;1145;396;3012;1660;3719;4346
10;1216;1568;528;104;1060;921;1481;2559;2460
11;9287;585;746;324;504;6811;849;1027;792
12;293;560;889;2055;588;1296;1236;1696;1159
13;33683;610;4876;277;1476;1299;2257;405;2547
14;3713;4140;3270;2071;26;1963;611;5213;1165
15;11507;1177;991;1690;275;1348;415;1807;839
16;1269;2519;2505;4944;2574;2799;399;514;2901
17;1129;885;92;348;51;1913;320;52;5321
18;3752;1267;213;858;3738;783;1515;2994;1254
19;7844;2056;5088;1627;317;8168;2456;39;1719
20;3117;613;3234;7033;397;4990;3177;128;2333
21;287;922;4072;1298;963;497;143;265;1662
22;4286;5319;487;2790;7465;606;11697;2230;4280
23;485;736;2692;908;604;4798;684;770;1640
24;181;383;1583;5551;1943;4510;2762;2814;1517
25;2596;12954;8104;1680;978;742;1815;2258;246
26;3042;2298;434;2405;3960;8675;1154;1357;261
27;1207;122;921;5454;1126;701;1164;122;1338
28;559;1137;521;198;219;240;2572;371;784
29;1612;1155;8494;1583;968;6006;3069;2720;1568
30;1194;979;637;3609;3741;1148;448;1141;960
31;8680;15508;2818;2912;1826;642;3668;1099;349
32;8574;953;660;3633;1668;3657;2852;4285;706
33;6961;5560;5042;214;410;252;5281;2503;896
34;6600;630;9731;2363;4579;4065;1450;2621;2895
35;2342;772;59;3106;601;4201;3535;327;1452
36;5069;4880;1230;5119;2319;830;1789;998;505
37;5138;4117;2928;3018;11486;3100;3829;7876;1276
38;107;6172;873;1395;2514;376;4245;980;467
39;4211;3167;1037;2844;364;1782;2111;1164;1301
40;648;4840;1858;3758;753;749;1221;160;2454
41;4347;1312;52;1749;970;1357;2437;480;2763
42;4735;3161;4409;1398;427;1293;696;1280;387
43;2504;6932;22769;2987;1717;3756;1300;900;299
44;247;9347;1745;963;1931;176;2002;1104;266
45;3966;5254;4225;4027;6785;3107;2155;2260;826
46;2549;713;119;9214;570;3649;1050;1367;1019
47;14636;1001;210;919;3060;1617;2424;855;470
48;2459;1814;8620;2567;991;2639;2048;917;838
49;661;8711;3278;1439;358;604;1503;303;1658
50;1373;456;3263;344;631;1147;438;747;569
51;324;8860;16;10511;473;12297;963;8836;74
52;2549;5434;9923;7875;5836;723;425;9381;6146
53;6789;3605;2700;581;2482;3114;434;809;2070
54;14539;6543;53;5081;4535;1940;5308;448;261
55;1099;1450;1216;634;1480;1171;1294;154;1475
56;4322;7844;1582;2151;1874;1418;2011;425;648
57;902;343;3039;248;573;5239;6408;1521;865
58;15140;218;2169;11568;3856;6559;2017;1887;2860
59;105;8598;3746;960;925;545;686;689;508
60;693;5296;1691;3992;8808;1547;1461;208;1771
61;9999;8645;7777;2211;2670;3969;3558;756;4861
62;3784;4847;575;1035;2240;3040;1216;2569;3009
63;852;5519;2113;2783;16712;22589;669;1799;571
64;2309;880;5654;7347;4037;779;1542;1936;412
65;1204;2818;7541;1909;1358;12233;536;502;109
66;1639;1520;4747;101;143;2496;7924;7087;5047
67;5041;4113;26851;540;409;793;1937;591;663
68;2635;3206;1113;1420;1783;3588;771;3383;964
69;3642;4327;4860;4684;7297;1870;1307;4056;413
70;2987;3592;4439;335;3098;1706;1082;2304;517
71;481;1187;3237;3081;403;224;1735;207;814
72;8604;1803;2292;1079;2036;1831;574;987;143
73;1763;4195;1042;913;305;3968;1667;835;90
74;19747;1328;5851;1025;3794;5522;1730;1906;7156
75;17291;601;780;5045;791;4005;5195;1010;2076
76;4777;895;4562;3417;7975;733;1636;4608;1176
77;17518;231;1598;493;1045;816;695;445;5773
78;1831;2110;4766;253;2797;454;2599;1810;732
79;2592;969;565;9766;413;1602;722;2716;1594
80;30941;2903;996;546;3381;2498;1714;127;1873
81;603;6814;3870;5828;738;517;188;5131;2099
82;127;2884;1767;2614;423;212;3557;321;110
83;9480;2645;5389;1140;511;7719;5039;344;778
84;5248;6190;7097;87;9003;3714;167;1440;252
85;3868;2315;751;1820;2145;5057;3752;1678;202
86;3044;2077;2061;139;186;1379;688;1155;276
87;5236;3940;518;1462;1488;468;8251;1210;774
88;372;1245;426;173;1489;644;450;431;1110
89;4646;3600;5949;1921;1693;3254;1357;11472;3684
90;4096;2541;495;156;2589;1906;2507;170;1930
91;5403;7022;6125;924;3002;2114;430;475;1316
92;20184;4379;4370;1212;780;542;1176;6846;5166
93;6769;7740;4995;4229;595;8794;4596;5771;1787
94;6895;241;172;508;1189;978;5399;693;708
95;1544;2501;3321;2536;2614;1080;1605;8262;1245
96;11879;435;719;5978;957;209;740;104;1349
97;833;253;4646;1704;4463;862;1095;573;1908
98;3875;3271;1624;4132;542;3029;1294;1003;979
99;7388;844;342;592;305;135;5832;320;2594
100;9986;4222;542;2558;5873;6612;2143;986;2052
101;3009;7637;4743;733;2675;3146;284;4705;501
102;3199;205;2579;4359;1605;1277;1455;2303;816
103;8364;3044;5271;2886;3666;507;1158;1729;1994
104;1337;1898;1024;578;1102;1267;254;338;1449
105;1454;3673;4857;1550;606;2795;539;1259;5760
106;9729;9585;15452;541;4644;669;198;6402;982
107;5069;6151;44;618;3027;3696;434;1342;546
108;10211;6741;8116;553;7300;846;5078;726;4911
109;8028;6372;3145;7724;169;783;4558;1104;2017
110;4677;244;178;1853;1780;159;623;1859;1741
111;13864;874;248;2656;7365;2781;340;2167;1140
112;4810;171;794;1493;570;231;3605;910;1874
113;3036;7294;1521;2375;739;686;6305;2517;266
114;1578;793;2294;1294;197;1119;604;43;751
115;4062;3861;7317;1996;234;1282;615;897;1751
116;672;2279;7263;389;1689;6021;260;4294;464
117;2415;24341;2885;3043;2700;1211;1815;10346;2414
118;1344;6295;2583;2975;2181;3416;818;140;1425
119;241;15312;7906;1147;1683;7522;232;2015;1759
120;5328;686;525;343;1381;523;935;2815;552
121;1731;4437;859;3871;3240;192;6056;1690;2835
122;2681;2654;3194;4914;774;2400;2373;3404;846
123;240;1584;96;1226;3346;480;1437;949;1412
124;2035;8701;1738;4663;1462;116;1998;1190;238
125;599;12162;86;5812;1483;3182;1618;2362;7806
126;14994;1038;226;2855;4190;370;2046;1165;4178
127;266;2345;4661;1447;5711;884;563;2023;4971
128;2737;1509;333;2752;3377;5238;897;2875;625
129;7848;7627;5632;23;1797;33960;5557;721;472
130;266;2289;1409;2303;1994;4493;264;1436;1080
131;3409;871;4185;8692;4172;607;2383;2876;1323
132;453;17045;3639;6149;2675;731;666;1909;2397
133;9006;16368;27636;823;148;1299;3630;6002;1098
134;11550;776;2726;10303;610;891;12966;1084;1994
135;6093;806;593;2024;1957;229;814;5870;745
136;5804;9404;9081;1605;432;2233;1058;9637;4866
137;3502;6164;90;5731;989;916;819;360;114
138;2080;192;1446;4350;2748;311;6930;1177;1311
139;9369;3726;17979;1182;1218;472;13924;1104;1644
140;3810;982;24730;6657;13065;2351;766;1506;3259
141;2165;3156;6804;4854;685;3399;599;633;2912
142;2159;1201;1589;635;433;6426;520;59;636
143;6658;687;11109;1423;1210;1752;9422;3084;131
144;982;203;7307;303;4602;1352;2179;3117;2104
145;3523;741;1823;548;652;2713;2143;4170;2301
146;462;657;7349;2230;4576;948;63;1087;1880
147;1233;4520;334;6556;170;1450;1783;1465;2433
148;448;1005;2131;1994;4839;338;1876;1059;818
149;5506;3319;971;2630;4112;3123;86;195;2669
150;6012;1498;205;2174;1983;809;1788;1415;3020
151;9705;2290;1111;499;219;2560;3594;969;445
152;3939;2053;6355;729;737;5574;2014;1739;594
153;2070;1453;292;1250;1165;12;833;48;2304
154;3942;1996;1969;2047;1450;1243;2042;10680;1204
155;333;1265;3994;1393;2383;2011;484;1775;1532
156;15502;2571;8756;2526;4285;3135;6702;10897;2651
157;3255;416;2677;9661;2742;3313;2120;1108;850
158;3215;5703;1990;1858;3019;921;804;1276;847
159;23476;7803;1244;6497;1953;2368;2009;1375;4820
160;403;3193;1928;2141;1427;1431;2748;1814;10171
161;11344;19375;1659;870;401;168;259;84;3101
162;401;6052;4577;11158;1053;2794;717;379;6223
163;810;3388;827;594;7148;1224;463;4356;439
164;2438;3006;1672;3079;2088;694;1628;454;1195
165;2621;10338;1816;4264;86;314;2662;1095;174
166;113;325;671;1386;2367;409;138;600;4966
167;2147;1372;2044;2238;789;359;266;514;1467
168;31431;2088;3021;2818;83;13918;930;6536;1581
169;1770;13124;2010;6073;195;4573;3365;5097;3221
170;4710;2485;1449;2241;1737;1465;422;729;1625
171;5426;3194;4108;77;2281;7491;679;150;1035
172;2948;2213;2670;80;1480;2684;134;963;1517
