;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;879;2603;4744;795;830;2470;5594
1;2252;5497;2536;4894;2367;1064;17330
2;1107;3393;2546;841;934;355;3897
3;2178;233;2063;599;2341;877;4525
4;289;150;631;3761;722;1429;2830
5;427;1860;819;1280;1717;2467;1369
6;750;16529;1827;16426;1381;17930;641
7;409;811;1230;1566;1930;1928;234
8;2733;2416;3469;16538;1831;2937;2492
9;2286;1938;5226;710;657;402;994
10;3252;9384;3755;2276;1546;5872;281
11;7482;1017;651;12281;7418;5514;409
12;1155;8279;1773;12648;5749;4324;8606
13;2414;2199;3390;1835;5859;1056;283
14;3513;4767;529;4724;2418;1521;1578
15;8857;3692;8150;2230;1303;4999;2400
16;3261;1400;784;16824;6969;6461;17832
17;311;1368;13297;8439;297;138;713
18;2017;1943;11809;808;2432;1338;945
19;91;6142;16179;2448;1943;1509;1154
20;668;4586;3537;1731;2207;2606;2394
21;1456;756;6713;10350;1431;917;9101
22;352;1635;5238;2929;2787;470;591
23;9596;968;1373;736;2827;2069;4377
24;3313;1491;9080;5081;6548;5003;251
25;7447;1130;2235;7777;148;408;4709
26;943;744;16675;1376;5587;192;1382
27;1473;331;2293;8093;660;99;701
28;1158;1021;1113;4198;1818;2458;1545
29;1340;652;9887;677;3178;1691;148
30;312;1925;774;1545;853;782;1882
31;3054;657;5361;1996;2077;5953;1726
32;844;2924;1708;14864;1881;623;829
33;607;2725;1956;7965;1141;1331;910
34;2875;5539;2195;8992;13351;139;1917
35;2149;4172;700;1295;1885;441;1544
36;1874;884;588;1252;6430;161;2833
37;641;1797;4446;1204;2373;8241;5580
38;837;1138;5091;2500;976;285;1894
39;1832;4891;28985;1676;2963;5339;4328
40;352;314;2171;5484;2656;781;5998
41;377;6457;301;3732;3580;10369;136
42;4132;3378;3409;708;5004;1306;3462
43;708;2939;1205;3311;934;3868;202
44;2417;4031;7313;1209;316;4179;622
45;2082;281;14851;18303;702;2730;11981
46;536;4597;819;1993;272;920;2948
47;3041;1482;3173;344;2063;903;1094
48;2021;4695;14771;3170;3641;2551;5709
49;1579;1201;268;5160;678;609;4484
50;2548;7488;777;5867;2034;584;585
51;1473;297;107;2277;1342;308;4600
52;528;789;5996;3483;1079;4062;746
53;1879;731;14940;3457;828;2102;5108
54;1056;4287;4527;7039;335;2757;785
55;378;2105;877;5281;1879;339;1879
56;260;4441;123;33;1527;6452;562
57;335;3066;6961;853;1722;4638;5929
58;127;186;2585;1362;331;6440;2106
59;318;1791;3682;949;5607;2483;562
60;15947;16745;281;4554;520;8638;14539
61;2966;3899;296;5351;1034;167;2622
62;307;2342;5101;6032;277;3400;4962
63;60;420;2388;1586;338;2643;1212
64;898;11517;7569;16981;320;4681;6447
65;410;2405;5761;1058;1357;564;3296
66;363;2417;8291;4501;1776;3478;300
67;112;1814;7419;256;891;5371;6808
68;394;1078;1979;4900;3302;476;1367
69;2150;1186;2585;6598;1905;1037;1855
70;1092;836;5961;3046;2028;1426;4965
71;814;2535;4234;9650;532;434;1694
72;6060;579;8430;9451;4545;2579;4113
73;3250;758;830;812;641;766;1337
74;927;3630;5381;3778;886;8052;4635
75;3237;151;6251;3727;1686;4793;993
76;6462;1511;114;322;3605;1147;839
77;50;3508;786;8793;190;921;2071
78;728;1181;998;7445;611;757;4164
79;297;455;3322;3936;3184;3051;13357
80;105;1769;5919;2470;1163;4972;892
81;1639;11230;1315;275;1644;2383;499
82;1566;846;2683;2615;747;572;2378
83;3774;5308;4614;2397;4128;1755;7685
84;271;155;1380;153;997;921;1120
85;167;278;225;972;1534;1494;581
86;225;1946;9530;2707;359;1225;1021
87;77;1130;1282;3279;5273;1392;2231
88;1349;1179;6013;437;160;1551;352
89;2512;1230;8078;6970;2286;467;5235
90;512;783;2959;5371;2845;695;409
91;1041;426;1818;2550;364;1265;159
92;1901;11107;955;2102;69;1209;1421
93;2564;454;14990;5970;666;6303;690
94;2549;167;3514;6131;1475;12652;2265
95;1335;2556;2907;107;1225;156;10116
96;4161;2364;10585;7672;112;3594;1770
97;745;3870;157;10437;988;2748;1455
98;2720;917;3439;3421;1863;1869;18627
99;1439;3101;170;7499;748;282;6355
100;484;731;1984;4483;1594;2841;2931
101;3017;7855;597;4217;751;1174;778
102;456;10324;7760;1174;695;2787;16558
103;642;1333;6162;2224;2148;4772;5437
104;171;241;695;583;2278;2053;1346
105;2657;694;2680;126;2685;4953;859
106;979;490;1040;192;75;1882;541
107;352;1615;184;3783;786;446;642
108;1862;368;328;6941;350;484;3073
109;364;43;458;9291;2913;1668;5001
110;190;3145;2579;3682;122;1755;1024
111;2535;667;11581;2629;780;166;1682
112;1205;394;901;1210;7606;2315;1402
113;579;302;608;3545;2195;1653;122
114;1658;2293;901;7172;3370;160;905
115;4137;10202;1111;1204;15336;2327;11075
116;1225;1938;419;133;1540;3806;3659
117;1716;12958;847;2072;2621;183;6803
118;336;2541;5389;4178;2579;1362;896
119;3910;1120;3774;4374;531;1492;4973
120;547;2518;830;678;2473;9414;198
121;662;1426;6303;1243;519;4597;1815
122;447;3427;2900;29353;1814;1742;601
123;2299;6039;1413;1773;5068;613;365
124;1175;1088;2298;3578;2789;163;4414
125;1173;462;4183;5621;1897;1830;715
126;2308;14408;8216;5568;1524;3007;1453
127;7792;110;373;5521;518;827;1500
128;2306;2801;2910;5391;343;350;150
129;73;2165;13701;19092;388;7312;1821
130;1761;218;4496;10218;6563;1348;5559
131;3361;8118;4697;8855;4462;1759;619
132;996;3414;697;13082;3530;1107;5499
133;2127;959;214;1106;915;1260;1006
134;547;6094;9658;533;679;830;999
135;5442;2050;1879;9723;1679;87;2681
136;3011;2514;4273;1234;4390;2134;528
137;1389;6875;3672;1907;2297;567;544
138;591;830;499;5591;629;755;3167
139;782;2519;1733;126;42;43;2025
140;322;2057;669;6974;1173;1210;991
141;92;459;11540;2838;662;648;2759
142;1713;6277;23740;6629;5139;1087;816
