;RLS;EA2;pmut3.25
;10000;10000;10000
;921030;921030;921030
0;390;331;177
1;368;283;303
2;209;269;433
3;466;414;691
4;525;299;242
5;145;285;223
6;259;510;972
7;124;702;222
8;387;692;283
9;224;316;242
10;177;622;263
11;263;334;229
12;265;371;404
13;315;252;478
14;142;584;139
15;252;626;559
16;244;658;182
17;284;754;345
18;376;481;223
19;610;391;283
20;110;829;236
21;433;972;334
22;314;209;358
23;189;807;329
24;182;318;302
25;325;241;351
26;572;509;286
27;345;275;362
28;317;516;670
29;343;805;241
30;200;326;329
31;354;510;271
32;214;308;61
33;236;136;334
34;362;504;148
35;188;590;92
36;150;248;294
37;312;345;297
38;265;650;376
39;294;144;347
40;374;218;283
41;336;531;261
42;226;449;141
43;226;276;319
44;211;359;235
45;355;475;124
46;279;282;283
47;82;397;366
48;130;172;221
49;160;400;438
50;172;392;411
51;162;257;313
52;216;166;369
53;238;595;330
54;478;94;288
55;643;545;134
56;183;323;383
57;381;398;319
58;680;639;315
59;204;377;132
60;87;455;242
61;526;364;433
62;144;313;232
63;259;500;231
64;443;254;244
65;123;566;213
66;277;115;525
67;435;512;309
68;501;575;208
69;517;101;439
70;182;704;220
71;380;351;226
72;147;401;321
73;182;585;597
74;440;367;762
75;343;590;262
76;222;204;290
77;214;804;338
78;340;547;533
79;300;486;562
80;472;378;217
81;339;585;461
82;151;549;174
83;231;863;296
84;158;317;494
85;318;569;219
86;242;749;232
87;396;516;362
88;373;553;295
89;229;423;451
90;495;760;208
91;325;894;400
92;239;1181;328
93;203;1470;113
94;441;264;178
95;321;339;477
96;162;949;343
97;445;462;421
98;206;476;113
99;443;267;325
100;320;676;410
101;365;186;263
102;585;278;264
103;64;559;345
104;362;850;525
105;122;352;252
106;97;210;354
107;613;293;291
108;325;758;265
109;270;235;234
110;390;775;437
111;207;260;136
112;377;236;256
113;627;276;343
114;459;521;260
115;558;158;603
116;402;1033;180
117;347;598;406
118;166;194;675
119;288;324;660
120;354;209;238
121;448;41;90
122;192;338;366
123;371;745;616
124;192;248;469
125;303;247;473
126;184;273;369
127;252;1515;275
128;471;249;322
129;715;377;589
130;174;452;466
131;423;357;228
132;671;327;249
133;347;288;305
134;344;409;117
135;396;244;343
136;133;564;139
137;395;401;151
138;185;175;285
139;117;587;275
140;679;993;174
141;383;237;214
142;378;580;245
143;162;656;446
144;196;736;475
145;496;251;574
146;252;547;628
147;807;304;201
148;262;296;361
149;103;612;428
150;494;579;169
151;191;344;408
152;170;198;314
153;128;622;171
154;341;134;787
155;341;1127;40
156;240;118;350
157;228;437;520
158;391;178;652
159;559;422;448
160;103;561;290
161;313;64;359
162;276;626;357
163;214;503;332
164;590;450;392
165;173;237;194
166;437;283;204
167;264;1347;323
168;209;465;334
169;268;244;233
170;598;344;263
171;381;460;182
172;362;742;576
173;279;385;389
174;360;264;468
175;187;471;346
176;569;257;401
177;497;505;516
178;218;248;87
179;419;241;516
180;168;268;89
181;664;424;212
182;421;409;327
183;362;522;262
184;152;466;260
185;260;581;130
186;468;310;188
187;329;350;222
188;164;662;651
189;630;563;351
190;422;472;204
191;346;593;573
192;475;889;350
193;490;834;492
194;273;874;184
195;198;382;220
196;215;245;610
197;346;638;409
198;330;438;421
199;494;330;216
200;498;297;435
201;625;744;302
202;422;522;466
203;185;239;191
204;444;1215;215
205;171;211;382
206;146;452;569
207;348;364;71
208;372;425;793
209;408;251;197
210;780;536;123
211;97;725;202
212;229;700;176
213;398;297;305
214;502;174;246
215;265;580;254
216;189;612;193
217;196;941;330
218;144;320;295
219;461;455;251
220;92;271;526
221;388;756;365
222;355;510;496
223;782;479;274
224;749;421;324
225;449;822;376
226;286;361;400
227;168;473;302
228;611;213;299
229;170;1083;157
230;245;714;435
231;565;790;601
232;337;411;465
233;343;239;257
234;304;468;152
235;469;524;348
236;179;497;307
237;260;492;318
238;637;66;200
239;836;1138;254
240;352;872;292
241;614;651;320
242;266;459;502
243;318;527;531
244;730;726;360
245;558;280;432
246;214;418;230
247;175;600;449
248;165;576;307
249;85;347;134
250;442;150;284
251;268;1017;264
252;633;416;518
253;363;953;279
254;208;452;318
255;375;709;703
256;355;640;269
257;203;307;320
258;291;363;383
259;130;524;352
260;166;633;154
261;237;379;174
262;335;177;516
263;368;265;257
264;162;304;369
265;223;1078;171
266;234;554;205
267;466;569;162
268;214;546;322
269;434;163;151
270;161;467;219
271;357;373;318
272;164;296;319
273;207;777;358
274;762;839;267
275;307;239;626
276;143;131;250
277;215;622;159
278;129;449;321
279;217;735;727
280;473;462;377
281;426;434;578
282;105;247;240
283;489;538;275
284;160;484;848
285;391;460;319
286;310;414;597
287;455;582;441
288;502;595;344
289;151;393;314
290;242;786;277
291;150;636;304
292;204;353;363
293;200;502;323
294;269;508;221
295;346;118;135
296;385;193;263
297;333;410;335
298;305;325;443
299;24;339;212
300;384;153;210
301;319;437;316
302;442;196;435
303;347;472;259
304;957;542;308
305;417;532;388
306;347;606;294
307;537;317;275
308;363;640;527
309;330;650;179
310;273;402;266
311;349;424;160
312;469;402;163
313;744;508;878
314;331;191;551
315;284;365;113
316;373;530;190
317;340;343;339
318;180;439;197
319;250;668;245
320;139;674;378
321;628;279;441
322;411;235;195
323;82;627;147
324;467;516;298
325;429;662;359
326;616;383;509
327;227;273;538
328;462;267;181
329;222;426;175
330;708;671;215
331;362;664;527
332;245;648;332
333;274;363;289
334;580;577;493
335;156;608;495
336;216;117;586
337;250;394;73
338;460;121;289
339;360;621;407
340;164;337;268
341;134;995;175
342;272;621;199
343;444;581;188
344;162;481;443
345;669;929;228
346;438;317;337
347;500;405;144
348;479;336;158
349;345;515;385
350;463;346;496
351;400;622;482
352;291;345;657
353;170;540;674
354;514;498;279
355;430;502;508
356;357;314;287
357;485;49;239
358;144;676;165
359;556;97;636
360;402;444;222
361;308;249;131
362;365;295;354
363;556;546;229
364;124;179;276
365;174;950;420
366;114;817;270
367;158;365;279
368;203;741;435
369;451;743;215
370;171;530;551
371;245;285;109
372;247;490;379
373;359;628;246
374;197;771;283
375;219;126;199
376;380;406;406
377;535;307;610
378;347;275;802
379;153;518;247
380;968;510;497
381;745;762;474
382;236;232;245
383;350;933;461
384;358;668;191
385;284;594;276
386;180;505;175
387;624;344;294
388;435;337;426
389;177;310;313
390;317;245;542
391;655;332;431
392;201;348;411
393;391;530;268
394;490;638;602
395;329;462;321
396;393;119;170
397;189;187;258
398;146;778;257
399;165;259;918
400;244;419;578
401;62;773;275
402;367;447;80
403;282;716;402
404;187;238;513
405;231;672;395
406;319;269;409
407;467;289;525
408;371;341;203
409;272;283;305
410;410;679;161
411;267;184;356
412;305;884;108
413;360;218;309
414;361;139;318
415;266;226;162
416;132;396;332
417;302;357;291
418;218;791;300
419;254;159;624
420;185;347;428
421;195;344;351
422;420;532;226
423;283;1220;307
424;111;454;142
425;183;296;568
426;466;910;293
427;288;848;323
428;601;344;401
429;149;451;63
430;468;362;241
431;192;466;283
432;375;257;236
433;508;648;769
434;302;374;284
435;432;636;265
436;607;274;709
437;319;727;269
438;345;601;119
439;417;755;352
440;380;314;217
441;571;952;498
442;255;297;228
443;507;1053;381
444;333;198;254
445;376;458;214
446;126;275;491
447;119;833;283
448;728;203;341
449;417;717;262
450;203;396;384
451;227;357;474
452;384;264;347
453;88;275;270
454;290;494;336
455;341;666;465
456;239;570;639
457;314;395;159
458;405;285;309
459;336;151;456
460;517;438;257
461;223;717;238
462;657;365;332
463;372;406;183
464;209;649;128
465;323;200;132
466;264;455;160
467;650;789;266
468;651;357;222
469;284;381;199
470;258;335;326
471;189;360;246
472;225;601;65
473;267;167;471
474;425;982;326
475;354;808;566
476;350;519;536
477;361;408;363
478;348;572;343
479;230;1310;545
480;172;450;309
481;188;492;441
482;383;269;445
483;172;359;416
484;233;525;575
485;262;705;236
486;285;355;366
487;233;469;175
488;468;377;162
489;473;667;625
490;467;546;425
491;316;309;420
492;374;411;225
493;367;608;396
494;433;571;179
495;472;364;376
496;405;465;276
497;220;250;327
498;108;356;257
499;177;531;367
500;268;266;87
501;148;240;215
502;451;825;458
503;224;483;696
504;491;535;345
505;372;313;469
506;383;304;283
507;572;333;222
508;301;596;247
509;238;509;224
510;328;556;373
511;209;668;338
512;404;421;145
513;414;555;173
514;401;127;262
515;118;165;330
516;173;768;83
517;148;471;338
518;318;568;141
519;530;701;777
520;382;307;464
521;415;497;663
522;596;1175;233
523;92;189;290
524;173;477;151
525;199;835;305
526;177;244;337
527;276;122;199
528;383;341;715
529;292;1466;495
530;140;530;124
531;168;225;145
532;551;426;141
533;291;395;548
534;327;663;382
535;202;422;418
536;142;142;894
537;232;1381;112
538;415;693;405
539;360;443;356
540;130;412;322
541;258;328;353
542;416;371;212
543;362;175;387
544;625;370;230
545;110;391;214
546;554;375;154
547;500;618;261
548;248;674;300
549;522;292;221
550;271;424;359
551;153;194;70
552;335;366;214
553;140;524;70
554;444;239;426
555;105;285;311
556;201;582;238
557;323;281;226
558;464;322;106
559;234;334;206
560;305;312;304
561;334;406;396
562;206;323;215
563;339;349;166
564;510;779;137
565;158;230;194
566;463;159;182
567;267;554;296
568;250;236;142
569;555;400;219
570;162;297;635
571;482;499;129
572;311;670;332
573;608;239;295
574;156;498;403
575;196;252;261
576;213;915;540
577;80;210;200
578;442;1368;303
579;235;501;254
580;183;293;249
581;400;66;389
582;349;466;505
583;242;583;350
584;292;303;202
585;192;343;457
586;326;273;326
587;501;596;257
588;206;552;554
589;417;580;348
590;424;358;311
591;499;414;276
592;600;1337;222
593;178;562;350
594;429;445;512
595;290;657;747
596;365;383;427
597;687;351;246
598;485;420;245
599;345;280;200
600;504;368;136
601;639;651;569
602;272;358;459
603;360;222;696
604;344;611;323
605;426;708;311
606;237;1174;291
607;457;583;224
608;536;965;506
609;298;380;83
610;347;364;316
611;212;325;158
612;679;332;355
613;257;474;280
614;244;828;511
615;476;255;399
616;324;905;317
617;428;757;726
618;233;349;196
619;613;437;256
620;310;633;389
621;183;571;214
622;534;404;396
623;251;268;123
624;358;205;434
625;325;236;243
626;316;278;331
627;576;601;894
628;405;602;322
629;185;527;147
630;132;376;195
631;198;226;516
632;241;1165;418
633;112;434;281
634;807;1238;386
635;193;756;518
636;176;494;485
637;674;487;665
638;377;2009;648
639;318;469;295
640;559;423;216
641;349;479;203
642;523;285;345
643;150;459;173
644;320;339;402
645;515;848;506
646;190;538;410
647;503;342;183
648;216;574;852
649;303;726;225
650;279;896;163
651;299;288;245
652;415;331;210
653;181;115;250
654;238;586;400
655;133;661;289
656;295;512;188
657;476;210;191
658;192;330;374
659;108;327;129
660;493;450;282
661;163;253;784
662;250;313;369
663;148;282;478
664;340;253;175
665;320;241;225
666;327;941;158
667;441;372;493
668;404;403;269
669;56;471;185
670;379;502;196
671;234;659;380
672;364;323;387
673;235;535;769
674;300;1196;527
675;310;471;98
676;234;261;367
677;131;333;90
678;481;292;240
679;221;311;176
680;253;210;259
681;188;282;195
682;751;241;265
683;286;391;511
684;368;296;466
685;258;305;340
686;182;931;253
687;311;418;215
688;164;74;249
689;290;627;433
690;128;569;302
691;559;420;112
692;123;606;386
693;345;498;438
694;364;541;449
695;486;620;208
696;329;405;103
697;253;335;234
698;407;302;580
699;238;219;356
700;111;293;282
701;187;593;427
702;303;604;331
703;289;403;414
704;368;822;363
705;358;419;327
706;340;268;689
707;342;445;275
708;216;228;153
709;252;517;237
710;336;502;273
