;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030
0;524;455;172;911;1197;22342;120745;136240
1;484;631;2606;1139;1587;81316;153215;272421
2;384;902;564;1004;2441;18093;184363;4593
3;373;494;759;1168;2148;38267;327172;417154
4;467;397;405;1899;702;30964;155956;497232
5;739;1495;797;1176;6245;2571;26247;412647
6;649;855;358;622;367;11556;298068;888039
7;1277;966;944;827;5283;68522;113927;253038
8;495;203;369;146;1099;48294;465479;63989
9;340;474;540;1378;1688;11391;4199;77134
10;627;125;409;671;737;39091;326606;515582
11;392;693;202;495;607;3448;fail;760885
12;536;184;1019;363;237;1978;557580;101411
13;288;197;941;1119;756;11718;352730;fail
14;476;293;186;2414;158;13877;117589;638702
15;317;658;436;1123;3089;65806;62274;202982
16;640;243;438;232;2471;29689;23963;462233
17;368;526;355;446;1728;8107;27911;301482
18;418;356;470;850;594;2768;97670;20106
19;337;596;453;637;819;13424;136632;80221
20;322;451;119;85;643;11271;83450;11078
21;558;1127;721;1222;1695;50159;182469;102282
22;520;470;1628;905;2496;26037;847363;305538
23;532;631;598;2393;1672;78662;256084;fail
24;807;561;291;1434;1827;18870;149104;11347
25;319;95;305;331;1189;3845;536268;2908
26;223;387;249;2531;1324;20645;130139;106773
27;235;159;707;744;815;7068;94649;262247
28;850;394;492;580;1337;6960;96409;27516
29;431;719;494;2430;1356;30594;35144;677114
30;276;176;487;2230;2672;15273;101273;212386
31;479;739;1204;1232;1804;3014;380853;122190
32;310;359;1050;983;4340;101836;625352;145991
33;918;350;433;1366;1696;62201;88870;fail
34;664;449;197;1582;2159;24765;fail;41180
35;534;660;1222;1328;489;58288;77349;32730
36;461;345;498;192;598;37046;275770;74132
37;439;383;552;238;1236;6533;224431;214513
38;852;605;731;1432;498;25176;192687;772238
39;235;414;302;533;1920;34024;232129;105168
40;438;449;734;817;592;25414;11896;20078
41;531;613;1287;752;687;5999;42889;95495
42;763;575;993;4111;1165;37962;394751;85209
43;474;384;1564;519;1801;28658;99234;198857
44;418;495;436;762;2436;57148;300256;762504
45;540;765;1084;1399;535;84032;406167;625925
46;553;357;722;1314;463;9551;166163;34203
47;645;247;575;432;811;46651;118687;227767
