;RLS;EA;pmut3.25
;10000;10000;10000
;921030;921030;921030
0;239;630;577
1;508;510;694
2;427;760;494
3;487;1912;591
4;329;1360;421
5;364;993;492
6;601;899;214
7;431;826;576
8;568;522;321
9;835;573;613
10;415;530;973
11;313;287;299
12;566;657;750
13;371;1528;1313
14;680;450;390
15;367;1998;399
16;258;589;711
17;155;758;1153
18;318;959;295
19;343;1721;236
20;790;1042;496
21;372;1696;377
22;899;603;624
23;882;1030;1126
24;92;499;503
25;344;730;488
26;543;488;581
27;488;648;201
28;273;351;518
29;482;963;507
30;463;539;289
31;556;1094;312
32;385;739;420
33;339;511;1030
34;291;1233;286
35;463;935;284
36;261;323;752
37;395;810;529
38;339;1677;1359
39;501;833;95
40;316;1014;361
41;317;1082;662
42;445;847;582
43;172;1049;844
44;286;610;870
45;413;395;771
46;584;269;370
47;396;352;436
48;133;771;461
49;379;1171;1094
50;557;596;1059
51;345;2148;493
52;596;305;1129
53;979;604;400
54;382;562;605
55;632;984;376
56;242;1243;305
57;291;1090;603
58;294;565;701
59;644;1274;603
60;240;1385;614
61;296;1026;386
62;369;565;762
63;323;415;398
64;776;701;650
65;560;1182;402
66;436;1464;330
67;341;615;594
68;623;937;473
69;614;524;407
70;412;891;423
71;145;396;292
72;438;580;541
73;184;945;1138
74;391;1402;1166
75;472;475;271
76;233;505;541
77;531;1997;194
78;301;903;529
79;484;651;383
80;321;463;734
81;813;657;266
82;299;664;694
83;462;864;429
84;615;1234;559
85;222;847;582
86;387;799;256
87;490;210;603
88;489;2243;1356
89;424;745;512
90;279;169;808
91;263;2015;601
92;566;877;617
93;337;547;379
94;892;1152;306
95;246;1206;649
96;325;263;481
97;349;1716;317
98;324;1761;199
99;340;424;769
100;370;515;987
101;709;1387;398
102;679;691;255
103;118;923;359
104;215;583;564
105;774;503;685
106;74;1472;1017
107;288;842;397
108;842;318;603
109;167;850;664
110;379;1482;681
111;569;374;156
112;591;1344;990
113;560;783;502
114;707;75;370
115;296;652;311
116;396;474;682
117;612;869;353
118;413;1259;418
119;674;796;809
120;635;678;762
121;565;1014;661
122;563;652;399
123;595;276;448
124;403;892;557
125;274;1543;627
126;492;1680;617
127;483;2037;1145
128;332;1077;346
129;559;784;1130
130;495;1486;1188
131;102;691;68
132;703;1886;566
133;573;875;634
134;276;1326;261
135;559;564;480
136;422;1568;449
137;429;958;180
138;259;679;236
139;428;1179;934
140;687;651;517
141;347;580;836
142;314;882;776
143;291;948;146
144;300;1131;522
145;511;992;593
146;609;1153;1450
147;580;838;607
148;122;561;233
149;347;459;553
150;316;969;887
151;348;1130;492
152;374;1243;1356
153;360;1873;522
154;239;559;629
155;233;782;736
156;343;2228;724
157;552;674;414
158;405;2621;459
159;420;461;711
160;493;912;428
161;289;1672;1066
162;275;1318;235
163;626;726;518
164;531;687;808
165;552;865;720
166;274;1056;526
167;312;1006;854
168;481;346;666
169;474;533;832
170;145;321;436
171;296;633;633
172;248;620;432
173;664;1538;265
174;396;1408;697
175;548;1184;204
176;156;783;493
177;761;1080;664
178;214;662;505
179;392;625;518
180;486;1027;344
181;157;493;454
182;813;544;358
183;484;1162;784
184;403;827;298
185;337;1175;669
186;461;690;185
187;821;1718;592
188;487;490;620
189;364;349;718
190;260;768;808
191;443;1247;1158
192;508;598;445
193;606;708;333
194;342;732;623
195;270;1073;227
196;390;724;348
197;362;1526;824
198;214;786;120
199;1085;632;556
200;262;778;195
201;241;836;391
202;294;1268;661
203;347;606;954
204;526;1120;499
205;294;818;725
206;365;285;308
207;353;962;284
208;697;1203;441
209;323;1187;371
210;158;724;1163
211;625;799;220
212;332;944;555
213;317;532;414
214;527;1120;750
215;503;600;836
216;274;818;501
217;631;720;536
218;448;181;97
219;762;937;254
220;439;978;792
221;529;577;539
222;668;749;691
223;621;1613;800
224;262;1091;485
225;233;1230;317
226;353;586;373
227;825;1174;1184
228;366;711;601
229;391;616;445
230;472;529;283
231;428;955;845
232;705;193;333
233;247;464;1117
234;371;1754;379
235;203;1958;720
236;298;269;741
237;196;1096;448
238;467;609;756
239;531;768;701
240;77;1282;870
241;352;767;1316
242;673;1114;164
243;342;2350;315
244;239;537;572
245;273;163;205
246;139;1122;823
247;483;1821;294
248;437;1036;545
249;374;577;1008
250;400;939;744
251;704;1569;410
252;546;1075;314
253;438;505;487
254;606;1104;377
255;400;1217;995
256;369;620;606
257;817;508;351
258;308;908;832
259;348;617;429
260;214;737;602
261;538;394;428
262;313;227;362
263;308;1575;306
264;804;997;457
265;316;1128;1074
266;450;2113;689
267;378;255;554
268;293;556;571
269;463;1086;338
270;333;2014;520
271;389;456;271
272;823;1140;475
273;278;574;607
274;48;646;269
275;503;659;246
276;263;677;551
277;407;351;705
278;332;1830;512
279;199;1630;721
280;601;239;295
281;290;818;713
282;619;935;402
283;231;629;632
284;273;1345;542
285;477;1039;352
286;312;727;379
287;180;800;220
288;572;737;525
289;155;473;496
290;239;745;293
291;245;938;622
292;532;783;570
293;327;473;567
294;433;554;380
295;396;1839;468
296;340;536;1005
297;456;1084;1128
298;380;758;849
299;562;2495;453
300;294;400;299
301;489;568;957
302;258;968;723
303;401;588;753
304;102;506;481
305;600;1261;285
306;194;759;645
307;382;905;571
308;426;677;224
309;418;1672;804
310;494;757;593
311;365;950;320
312;373;1020;258
313;556;1211;92
314;510;527;230
315;279;943;216
316;287;861;342
317;483;281;652
318;362;1252;168
319;752;1331;379
320;230;1409;508
321;199;1818;366
322;446;1180;712
323;223;1468;405
324;603;513;226
325;381;509;289
326;576;701;1463
327;526;1943;362
328;360;577;221
329;1212;535;614
330;464;1756;626
331;175;623;473
332;354;600;312
333;270;633;243
334;346;1071;114
335;776;825;370
336;444;341;490
337;199;434;414
338;464;899;410
339;210;1232;587
340;319;941;606
341;509;1103;860
342;84;493;397
343;329;1026;215
344;185;537;610
345;303;1428;1926
346;483;383;258
347;402;360;749
348;224;765;336
349;321;264;507
350;409;1478;199
351;278;300;353
352;407;700;495
353;412;473;763
354;529;844;661
355;857;835;504
356;574;510;250
357;457;1035;818
358;219;1047;441
359;742;508;791
360;255;573;692
361;121;754;428
362;359;900;200
363;492;1503;565
364;645;348;384
365;740;1948;386
366;335;731;96
367;468;412;230
368;745;835;278
369;287;106;399
370;467;399;899
371;321;991;151
372;375;802;419
373;550;636;314
374;596;299;289
375;697;175;511
376;194;853;1195
377;353;534;642
378;410;796;342
379;512;646;658
380;174;924;693
381;336;750;483
382;704;444;614
383;818;1577;322
384;258;846;452
385;493;1426;689
386;431;1544;290
387;144;478;535
388;530;1571;318
389;416;825;1126
390;359;483;362
391;564;1098;369
392;611;392;498
393;228;816;257
394;512;995;345
395;211;764;444
396;929;891;742
397;345;506;461
398;416;206;414
399;543;216;574
400;464;1944;454
401;536;1158;591
402;486;1296;323
403;228;550;354
404;485;1472;337
405;151;1045;286
406;416;495;614
407;498;1304;623
408;476;612;581
409;67;250;260
410;278;645;394
411;148;622;314
412;284;538;251
413;680;789;872
414;393;436;335
415;255;860;488
416;647;864;161
417;510;470;672
418;232;321;606
419;386;1743;241
420;179;1422;443
421;446;1845;412
422;314;1005;570
423;672;1324;586
424;372;1422;476
425;543;1782;936
426;417;1084;955
427;355;855;698
428;416;593;713
429;442;692;250
430;472;1058;473
431;127;749;1072
432;280;1190;560
433;268;333;592
434;245;1035;503
435;758;654;373
436;721;1260;368
437;509;693;517
438;682;1744;569
439;513;325;223
440;508;718;1079
441;292;600;416
442;215;904;626
443;725;828;413
444;379;1210;326
445;433;1061;1042
446;580;348;326
447;374;1125;219
448;180;1408;207
449;185;801;558
450;496;575;330
451;316;588;408
452;399;1198;509
453;552;977;220
454;584;447;230
455;237;819;208
456;335;248;443
457;666;832;457
458;326;748;394
459;238;274;378
460;326;287;403
461;393;957;674
462;491;664;377
463;181;410;336
464;482;1882;554
465;298;1164;1185
466;157;839;342
467;535;572;807
468;552;1941;707
469;726;894;149
470;447;469;375
471;400;665;415
472;389;510;721
473;346;579;667
474;411;875;280
475;203;841;629
476;417;413;226
477;167;519;172
478;258;502;1283
479;426;655;487
480;486;969;519
481;519;801;173
482;267;493;724
483;723;825;639
484;336;612;635
485;429;839;600
486;383;1031;785
487;951;1280;202
488;535;433;565
489;345;721;608
490;384;1182;359
491;706;540;368
492;570;1288;810
493;276;140;426
494;372;2057;845
495;404;905;252
496;483;298;200
497;232;327;673
498;356;1106;338
499;423;963;644
500;102;643;882
501;420;583;502
502;605;477;690
503;278;537;482
504;191;969;335
505;453;605;491
506;345;174;1286
507;392;713;434
508;313;572;574
509;641;622;542
510;526;904;301
511;328;612;502
512;395;776;69
513;242;1036;378
514;247;1463;762
515;384;1213;465
516;329;1671;644
517;252;1384;184
518;138;822;1049
519;152;585;401
520;696;657;508
521;549;1115;480
522;311;657;466
523;415;696;716
524;523;773;185
525;174;735;853
526;490;876;303
527;553;1288;304
528;758;774;555
529;282;695;225
530;785;1601;649
531;646;2155;554
532;154;611;1238
533;611;231;251
534;481;457;592
535;301;440;272
536;322;996;661
537;669;793;300
538;203;1656;381
539;416;1968;495
540;301;893;792
541;298;95;340
542;494;954;424
543;386;1918;379
544;405;1314;275
545;331;843;633
546;825;920;536
547;748;824;577
548;549;456;287
549;645;748;612
550;137;1277;542
551;524;431;604
552;418;1256;1007
553;543;924;198
554;325;1505;433
555;836;1374;284
556;434;1320;622
557;394;1442;1402
558;342;614;914
559;303;730;498
560;403;984;321
561;547;756;834
562;265;530;276
563;292;398;388
564;701;633;1222
565;755;501;356
566;286;513;898
567;417;346;551
568;518;659;596
569;503;1019;807
570;122;366;706
571;132;623;467
572;327;1012;636
573;289;850;503
574;229;735;452
575;602;480;596
576;447;383;562
577;255;581;335
578;280;2027;866
579;433;950;481
580;485;972;396
581;313;1065;413
582;516;1321;792
583;435;428;90
584;769;866;1795
585;300;1507;1104
586;467;749;386
587;344;917;252
588;253;1093;478
589;292;298;475
590;265;702;785
591;182;892;343
592;169;596;691
593;402;646;315
594;432;1111;353
595;613;1036;327
596;368;517;249
597;1019;728;505
598;438;955;308
599;541;936;716
600;406;485;196
601;255;1291;814
602;357;243;248
603;171;331;297
604;206;952;484
605;335;319;407
606;317;672;435
607;296;808;673
608;621;1017;613
609;277;462;256
610;490;649;315
611;264;947;153
612;265;249;638
613;210;772;484
614;529;1292;352
615;507;785;551
616;822;2022;743
617;440;470;381
618;556;1303;575
619;312;104;716
620;252;402;638
621;247;1051;391
622;131;279;706
623;318;853;728
624;375;332;516
625;252;560;914
626;343;959;552
627;215;827;734
628;294;1485;345
629;238;418;587
630;431;1037;730
631;380;722;381
632;285;782;414
633;318;1251;391
634;318;318;324
635;263;947;313
636;238;652;479
637;500;734;725
638;389;674;232
639;588;450;435
640;599;776;155
641;384;693;485
642;505;280;591
643;415;351;245
644;602;1923;260
645;852;518;318
646;390;749;804
647;164;699;494
648;390;963;346
649;992;868;555
650;151;386;833
651;562;1561;606
652;288;1051;485
653;497;557;305
654;270;1321;326
655;621;852;938
656;452;972;565
657;330;2461;828
658;308;851;551
659;389;223;395
660;389;620;408
661;228;270;519
662;407;280;238
663;618;1722;368
664;690;1096;543
665;719;1034;753
666;397;1012;210
667;446;518;299
668;238;522;251
669;317;975;512
670;391;1437;698
671;310;1029;1191
672;258;513;520
673;431;1085;565
674;188;1061;861
675;275;835;399
676;280;1323;575
677;612;1518;564
678;506;2207;417
679;344;599;1030
680;227;1239;577
