;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030
0;907;1126;987;669;6555;99158;104163;184310
1;1073;823;2542;1553;3278;245868;484600;178573
2;547;900;703;1243;9081;288207;374580;fail
3;1869;409;300;3512;5242;99918;11087;49178
4;151;1827;631;745;3143;75698;152970;89359
5;981;623;1084;986;6056;3054;107301;314686
6;1715;660;2615;2425;1874;407652;402714;fail
7;405;1445;824;1725;3365;112790;171414;343705
8;1253;1045;1115;478;4553;89098;220971;81917
9;710;2809;748;952;20471;228196;536954;282380
10;1055;1442;446;1314;13434;12200;135920;155750
11;762;834;1099;2082;2588;16078;7228;180990
12;636;646;1824;3222;10453;50337;24473;134913
13;1184;1029;5810;635;7326;495613;478786;648123
14;321;1480;1162;1910;10730;234509;174036;607672
15;552;625;1160;1386;266;25013;732185;50731
16;752;1280;2441;2235;7147;80242;61873;107852
17;753;1181;1149;1680;4245;37959;66548;93320
18;867;320;617;3108;3688;16349;137350;340633
19;354;683;1513;2083;1707;37910;260695;570972
20;1007;1419;598;3443;1500;21419;321075;42972
21;489;1209;660;7633;3018;77123;100336;323037
22;575;138;189;785;7757;19668;361846;56199
23;1148;1789;1373;4677;6539;60838;115487;167128
24;1916;496;536;5027;3998;145991;fail;547755
25;501;1781;2461;3114;5132;60558;74061;235829
26;354;1764;1691;1201;1450;25697;8160;514864
27;718;386;718;2668;3726;86189;90000;70975
28;1083;555;1269;2280;4619;36395;fail;732988
29;1170;763;755;1752;5859;298511;53780;142905
30;1245;1662;2997;1958;9899;140530;477555;117813
31;527;894;1283;1849;4801;10499;188705;358137
32;889;615;2366;1655;2326;9916;278486;327309
33;867;542;1435;1152;1437;14658;42262;89263
34;596;545;1511;3465;4467;45519;234309;73781
35;788;689;819;1304;3273;54621;262123;369534
36;907;1113;582;133;6458;30461;440237;300376
37;1289;444;1567;2177;2900;20638;48263;fail
38;358;2336;1329;3150;4909;128487;356169;41090
39;926;430;2533;6307;2837;82497;267572;216237
40;369;625;706;4787;6921;164488;184969;110340
41;641;337;704;3163;1661;19705;325073;354039
42;1847;835;752;575;4406;15623;696147;410989
43;513;878;1039;771;1120;129082;167318;440259
44;246;1123;1724;1712;1722;109137;563061;296459
