;EA;EA2;EA3;EA4;EA5;EA10
;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030
0;565;872;1695;1187;4238;70294
1;775;1296;418;2355;2086;157185
2;1113;658;1871;737;6137;48265
3;627;433;494;1870;2937;35152
4;423;1419;1619;855;2367;71452
5;1178;729;2659;1840;3094;5984
6;713;729;4218;2959;7451;72814
7;855;344;1961;5796;1466;15172
8;643;1871;3333;5415;7499;40864
9;2469;958;4016;5795;4834;54636
10;1113;462;660;1587;5295;155502
11;1192;748;1611;3725;9099;10172
12;593;290;1021;836;3906;26347
13;1123;1712;1361;1779;4644;1631
14;907;534;1331;3471;3062;203931
15;1818;576;817;1184;2175;85109
16;744;1098;2297;3960;9168;159405
17;1222;1158;1550;7973;21265;69617
18;930;668;505;1460;4765;61233
19;113;560;2916;997;368;31610
20;1101;395;985;4709;4856;2499
21;376;1262;716;1474;15535;51940
22;848;1343;992;1258;6959;38973
23;1509;884;1617;3362;4088;17255
24;241;1120;1084;949;605;38990
25;377;971;1684;3003;4415;14700
26;549;1690;1784;3806;2058;33140
27;1414;1526;1808;629;4056;28891
28;963;980;794;1362;6568;29929
29;1231;1063;1863;475;3988;157430
30;528;911;1008;772;4334;102198
31;333;299;1478;3201;3972;103759
32;1148;579;1835;1296;3413;144171
33;558;685;450;3885;499;132090
34;535;2213;1622;476;4224;71374
35;870;914;1851;6188;3905;176409
36;480;1896;2707;511;3296;14532
37;741;700;1104;8373;586;37449
38;1301;529;423;485;2039;182608
39;1312;1200;1977;4051;4837;158021
40;1041;276;2706;1884;4787;210899
41;1483;1105;748;977;6969;50066
42;976;992;2143;3123;3903;35131
43;1051;907;2692;1713;5096;227649
44;988;1175;950;3176;12526;116847
45;888;1610;2507;701;5535;72244
46;571;940;1000;4642;9485;29126
47;1771;930;2024;1412;6663;55756
48;988;950;795;455;3393;32854
49;283;625;687;2584;1957;4660
50;567;543;1598;2957;7975;101089
51;261;795;2261;2876;298;75989
52;878;1389;1736;227;6151;12774
