;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
;20;20;20;20;20;20;50;50;50;50;50;50;100;100;100;100;100;100;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;5000;5000;5000;5000;5000;5000;10000;10000;10000;10000;10000;10000;50000;50000;50000;50000;50000;50000
;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;425860;425860;425860;425860;425860;425860;921030;921030;921030;921030;921030;921030;5409890;5409890;5409890;5409890;5409890;5409890
0;fail;fail;fail;fail;fail;fail;fail;4826;45064;406;fail;27815;fail;10562;fail;11756;6564;4473;630;741;1677;735;501;1510;54;523;263;740;446;420;281;431;711;2017;466;450;466;453;779;1079;551;627;254;653;558;1330;833;294
1;fail;fail;fail;5169;54480;fail;fail;2140;337;46242;fail;fail;fail;4119;682;6009;8468;6849;133;443;1434;1276;166;798;315;356;362;358;418;292;628;828;418;860;402;359;324;557;995;886;439;521;312;539;797;1180;1187;404
2;fail;fail;fail;fail;fail;fail;136;fail;fail;925;547;319;fail;1553;821;841;1103;1090;168;477;1297;228;422;471;1449;325;1456;577;727;681;386;312;1385;677;680;244;435;853;261;256;411;911;302;487;765;1101;1039;504
3;fail;fail;fail;fail;9217;fail;fail;fail;fail;1737;7607;fail;129;2304;844;1032;102;116;566;983;442;64;1521;568;254;2183;675;1153;651;1021;242;408;1782;1038;346;325;317;234;518;716;387;510;579;1064;1033;486;544;428
4;fail;fail;fail;fail;fail;fail;fail;237;53866;1280;34040;fail;fail;219;11011;1508;456;213;249;383;497;1482;408;495;235;226;381;661;284;221;250;439;1015;1236;581;793;307;602;1018;564;498;322;372;383;1039;1027;722;682
5;fail;fail;fail;fail;fail;55269;fail;fail;10356;1742;11187;43968;148;2698;fail;4317;fail;fail;471;591;1318;1926;696;469;822;576;6818;260;480;409;322;577;790;656;519;668;469;296;928;186;839;454;289;379;461;383;1246;449
6;fail;fail;fail;7936;fail;fail;fail;fail;fail;792;fail;fail;676;fail;775;fail;fail;457;283;469;1005;1952;327;657;251;597;131;581;66;516;325;398;694;304;524;450;389;372;825;543;229;1118;378;523;1177;1630;241;1064
7;fail;fail;fail;fail;26548;fail;fail;9358;fail;fail;fail;983;fail;fail;16612;1097;5005;130;398;607;886;762;534;610;273;431;155;574;475;331;464;301;1326;644;546;431;544;419;480;1113;866;516;405;816;902;945;1530;1025
8;fail;fail;fail;17776;fail;fail;fail;fail;fail;45309;fail;97115;fail;417;2151;38;1179;922;176;215;501;1124;300;249;103;262;577;726;472;568;379;301;889;798;561;174;696;392;429;1476;527;520;1092;936;706;1294;351;1059
9;fail;fail;fail;fail;fail;fail;fail;fail;fail;4964;fail;874;fail;fail;fail;7606;fail;1958;165;330;539;542;531;393;262;218;1265;339;361;808;365;434;536;1680;323;272;460;908;641;778;474;623;676;1668;260;857;674;531
10;fail;fail;142;fail;fail;21348;fail;fail;fail;7026;1591;fail;fail;fail;fail;4221;7991;fail;1269;1022;14230;2171;900;929;401;167;1510;579;441;195;351;753;1154;1781;195;647;317;270;1072;259;276;1066;1009;928;594;2052;790;934
11;fail;fail;fail;35619;50972;fail;fail;fail;fail;fail;fail;fail;60;30708;474;235;214;141;167;345;195;360;265;651;246;159;309;1030;541;605;500;195;206;1497;573;355;163;400;963;578;1401;257;448;940;779;812;2117;742
12;fail;fail;fail;fail;1245;fail;fail;fail;fail;fail;733;880;158;847;708;550;333;32;590;691;1114;2325;317;571;658;1221;426;874;631;1960;304;897;706;668;440;312;236;326;379;1215;539;461;563;484;869;1083;629;477
13;fail;fail;fail;fail;fail;fail;fail;1615;fail;562;679;2456;fail;617;1183;85;2388;477;fail;1007;1142;2222;541;851;155;304;779;1061;299;867;438;471;1178;424;212;488;371;475;778;527;628;460;569;948;600;218;332;565
