;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;1534;625;677;634;280;580;716;359;484
1;1777;2191;234;775;982;237;778;420;511
2;2135;2174;1013;1048;1378;287;503;537;328
3;2186;3154;615;617;780;202;736;638;229
4;1657;1741;482;823;820;1678;982;607;989
5;1436;1073;681;2178;753;520;591;579;494
6;3605;1404;2124;707;663;203;756;378;532
7;1924;1293;601;555;612;522;707;242;327
8;1896;501;1611;605;577;1060;411;498;306
9;2230;1108;947;624;1101;518;493;323;276
10;2608;830;3346;1138;343;809;854;363;647
11;1440;1378;2550;362;409;879;807;475;384
12;4531;1973;612;1082;316;895;602;421;901
13;1194;423;1109;1615;661;383;277;407;760
14;2643;2281;1157;1468;824;885;350;411;241
15;344;395;1382;1440;815;358;211;514;1270
16;928;1455;1134;523;330;352;407;218;447
17;1477;523;1255;484;317;379;236;624;138
18;2321;793;949;508;438;733;486;438;547
19;2368;645;534;801;1120;1210;659;614;1094
20;1232;383;1479;1072;639;159;415;445;428
21;3720;1599;2734;660;620;662;597;707;565
22;3208;1583;622;2109;806;416;479;1117;818
23;1670;2024;983;808;484;690;863;406;577
24;2113;2685;657;592;431;713;174;153;567
25;2716;1310;1493;1662;444;778;743;998;504
26;2051;761;879;1449;460;1242;583;366;657
27;2326;1115;1021;1029;657;435;657;346;317
28;1941;636;551;1196;965;498;592;608;788
29;453;1170;592;249;591;527;425;609;596
30;870;2486;1320;1182;222;656;400;538;680
31;1755;1158;609;779;456;661;287;390;650
32;938;537;1391;317;149;466;751;370;185
33;2173;2410;1493;525;498;1032;188;413;319
34;1082;756;615;484;440;800;532;516;418
35;3321;633;1335;765;975;952;278;472;772
36;567;1407;1488;1128;520;1018;233;277;482
37;2655;2788;2898;534;715;345;620;1171;358
38;1362;1196;1300;248;648;757;431;671;543
39;5200;1899;2045;376;1475;444;333;696;404
40;3960;461;1082;1069;478;496;640;464;257
41;3035;774;2674;719;847;850;116;623;261
42;1528;1752;989;2009;676;289;1106;304;625
43;401;801;378;1614;589;850;392;320;663
44;5769;1592;1798;933;454;1152;1292;639;539
45;850;2132;285;1112;535;936;889;672;519
46;1453;716;1350;2131;275;644;366;522;732
47;778;578;722;635;1188;275;588;908;349
48;1726;521;741;141;836;749;164;374;207
49;2778;2167;1375;848;540;522;717;578;563
50;1317;711;694;1071;731;697;469;346;292
51;2853;126;835;389;598;582;910;228;541
52;701;1077;1253;1287;641;279;886;323;705
53;899;169;566;846;633;146;343;769;391
54;4425;2693;1783;1528;861;796;1135;565;336
55;1401;832;134;1964;299;655;751;396;285
56;3227;1881;3440;2163;559;252;678;576;797
57;882;1183;844;519;719;640;314;929;534
58;3082;781;1780;883;363;599;317;372;518
59;2910;654;936;2311;1392;1007;516;573;742
60;2729;1497;1057;470;405;255;451;430;342
61;3803;1899;355;390;741;361;860;251;527
62;3696;870;1140;810;2464;1513;548;1437;895
63;2759;338;1120;702;636;649;811;143;552
64;192;1206;477;507;1041;900;235;1368;382
65;716;395;948;280;1057;672;548;611;487
66;2354;504;754;530;860;232;690;782;340
67;678;933;266;459;498;490;229;897;766
68;1847;1358;631;279;600;165;970;529;1647
69;1174;1176;647;393;162;315;378;618;313
70;3824;1197;193;955;579;840;1221;1257;682
71;328;864;1102;393;596;440;447;271;576
72;5031;996;2022;1007;390;443;353;576;379
73;2609;1822;477;832;469;1222;926;135;502
74;887;1379;1011;498;419;380;399;918;571
75;406;777;1017;414;777;777;272;660;927
76;1203;122;608;963;556;604;186;488;756
77;946;1452;959;421;153;564;581;461;184
78;942;419;511;2173;142;442;245;223;657
79;3329;924;500;688;706;666;358;742;245
80;2452;1764;1191;1306;824;909;869;930;1291
81;2668;1697;508;165;420;348;338;455;277
82;2372;1285;580;1064;413;118;439;621;514
83;1321;1325;116;1433;786;240;388;330;423
84;4016;405;634;267;520;546;1142;299;575
85;1822;980;509;256;493;847;419;679;494
86;698;768;1017;795;490;459;577;657;584
87;4229;296;4184;852;1047;808;761;576;458
88;2037;1613;1222;269;1097;649;403;657;626
89;1867;1283;1152;1999;88;386;737;478;863
90;2338;332;701;834;2105;1293;776;415;559
91;1156;808;639;234;534;385;629;179;269
92;3673;1294;956;284;817;471;526;543;428
93;845;961;664;1803;584;528;788;187;655
94;822;209;1304;431;486;681;280;1017;382
95;3502;1975;680;253;522;1652;558;956;1382
96;1723;1142;1011;878;966;877;221;571;182
97;2233;1339;63;318;685;325;284;530;259
98;3745;827;198;1464;1047;629;717;811;1057
99;335;254;1347;1129;506;324;670;611;311
100;2777;477;1352;482;957;735;775;459;440
101;2079;922;1793;972;517;539;498;336;686
102;1692;1360;891;839;417;902;664;290;352
103;710;569;819;1322;903;540;291;405;590
104;1127;1128;1111;743;392;528;540;77;384
105;4089;1424;911;1494;502;200;698;715;513
106;3509;1592;557;628;970;633;895;369;1212
107;1592;865;940;847;34;591;261;803;565
108;238;1597;566;677;254;327;205;455;270
109;1372;330;793;856;218;275;339;288;379
110;2645;950;818;1461;700;246;782;652;495
111;4925;1735;778;879;756;481;172;563;134
112;2692;464;576;700;614;492;285;625;287
113;4311;1179;1505;957;1281;422;681;1027;546
114;2217;769;422;485;284;498;358;654;525
115;2171;574;897;919;935;205;806;642;113
116;789;671;765;1101;933;660;622;450;577
117;1573;1632;456;509;613;285;248;689;603
118;4191;802;366;764;627;1029;403;878;425
119;2472;2320;756;1385;593;1657;679;563;546
120;4191;1208;1397;924;838;610;1525;877;803
121;530;672;1156;1132;382;1273;233;984;272
122;8490;1337;770;790;859;250;395;457;621
123;1519;1146;130;287;822;406;486;332;504
124;1046;861;707;1040;946;216;478;855;492
125;2268;1563;1423;893;653;461;261;2292;519
126;790;463;633;602;381;915;536;410;577
127;966;844;503;1325;1011;769;746;705;464
128;1177;483;1279;625;1350;469;136;499;510
129;1795;1735;1779;2073;228;643;708;339;940
130;3929;1295;800;547;1203;867;766;592;369
131;3171;2527;1297;856;598;1486;655;480;1038
132;2852;714;798;1099;659;682;376;627;441
133;2078;703;1450;1108;634;657;584;135;525
134;4280;997;722;759;470;969;656;555;652
135;4283;2467;2091;654;971;595;381;1450;702
136;1224;1074;1240;863;993;941;515;500;491
137;761;903;1009;994;520;396;271;451;323
138;3303;593;584;392;872;118;392;927;885
139;1931;770;991;654;531;299;1013;480;374
140;1887;2294;527;1098;587;706;688;844;226
141;3852;1144;382;713;137;1210;505;871;603
142;1565;567;758;785;591;588;581;1087;432
143;784;374;177;945;815;401;432;482;329
144;991;1150;1219;397;666;921;399;465;1001
145;1618;1434;568;926;471;436;357;269;472
146;824;1906;1072;1276;970;576;572;671;437
147;1875;580;865;1248;912;192;1028;441;657
148;2340;1470;685;567;1151;378;596;490;443
149;1583;872;1207;828;554;286;227;251;238
150;1456;257;411;1070;148;1538;621;1048;518
151;1910;818;1953;531;401;958;475;1075;556
152;1194;819;696;1059;239;647;577;393;499
153;4371;448;1401;611;1145;115;752;435;273
154;1898;1480;1591;702;622;261;362;292;262
155;480;645;2092;546;1196;865;414;325;351
156;1488;567;652;813;528;450;399;739;440
157;1369;1249;1338;477;546;490;605;728;606
158;2740;1684;1904;678;1377;426;1453;1025;1332
159;2374;1271;358;1496;1223;1238;1192;867;1055
160;1464;1388;161;949;185;681;226;409;656
161;1472;875;688;484;417;473;497;336;679
162;1114;1341;491;1265;215;826;649;281;408
163;2057;399;262;2647;1409;270;869;743;766
164;789;1334;321;548;577;163;294;353;325
165;1182;946;1085;888;683;452;626;949;380
166;3600;1501;1452;376;453;1001;200;285;297
167;3214;1715;1170;637;633;433;373;303;1022
168;1798;495;167;738;634;391;813;285;327
169;827;2291;2597;1928;487;477;818;718;492
170;1742;2044;364;856;668;469;541;330;199
171;760;2167;660;527;985;355;307;271;489
172;1127;420;1277;890;886;1378;621;630;748
173;1110;1954;814;509;500;652;220;192;783
174;962;801;1565;880;1009;459;561;523;259
175;2937;686;420;909;437;558;658;468;1590
176;1885;922;708;302;509;197;407;68;398
177;2388;1804;1139;310;293;489;662;945;312
178;503;794;655;788;248;945;215;631;850
179;3783;3358;466;540;490;781;396;1102;712
180;716;838;647;846;460;510;359;664;281
181;932;1987;244;1388;282;472;762;744;444
182;1551;685;796;797;678;1164;376;333;450
183;2271;1298;454;604;456;436;488;748;619
184;5188;1293;899;552;553;925;538;485;318
185;1382;1812;504;996;412;679;1069;365;432
186;856;987;320;593;592;863;324;492;1000
187;1417;406;771;1196;243;561;477;732;311
188;1425;726;1391;1303;897;415;456;280;921
189;3439;4053;803;886;1830;424;610;403;1082
190;2727;1250;1438;529;640;891;517;630;1293
191;2511;1317;887;430;294;900;409;664;471
192;2907;604;1702;782;1074;529;546;883;836
193;1847;607;413;1107;431;884;418;582;235
194;2201;650;1084;1011;737;975;1198;659;518
195;1575;410;1310;2624;774;660;836;463;1014
196;3197;294;1107;425;521;1108;702;153;397
197;1657;805;1013;407;611;394;1045;713;458
198;2927;1259;1941;2941;2482;771;1399;420;630
199;3228;1781;396;260;428;426;495;817;521
200;2271;1078;984;1240;295;436;413;573;320
