;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;740;6095;7915;139209;546;744;672
1;535;244;4087;15698;397;1062;981
2;488;1647;64328;66378;480;584;3096
3;368;5218;14084;6386;411;852;913
4;565;725;21491;6184;412;860;493
5;272;735;46751;40839;383;783;1323
6;158;109;7177;34930;656;470;1396
7;286;4773;15586;20980;692;535;1195
8;284;6088;38548;19837;401;1564;623
9;371;3000;5768;24976;341;755;1134
10;598;7500;8388;5002;377;946;1166
11;655;5249;1074;19176;1910;1056;436
12;330;10895;1688;106395;407;946;1393
13;430;1276;17888;20143;465;1294;1558
14;699;1973;36068;32799;855;626;1070
15;518;1066;4385;68436;852;436;880
16;448;7051;3630;8608;384;1563;1467
17;153;3688;54385;18589;419;688;590
18;176;128;21286;63557;419;592;545
19;623;2323;7408;5435;310;361;665
20;112;331;11242;1750;204;553;598
21;639;833;37656;4556;898;195;735
22;493;6056;3818;64989;243;502;971
23;118;5669;1318;15914;314;325;587
24;708;2959;16162;20750;497;285;720
25;378;6721;14400;8815;747;354;920
26;138;509;30385;83998;359;478;1407
27;465;621;5253;50568;356;884;708
28;197;2701;2405;2371;657;464;1972
29;445;3232;23862;18469;401;1581;1628
30;534;2277;17809;67937;465;239;1574
31;494;1047;34292;53038;535;775;577
32;563;3731;2290;19721;449;884;949
33;512;3265;3438;8170;650;1202;633
34;260;6509;4663;4533;204;843;1197
35;544;8138;44958;32114;951;1614;1518
36;367;743;13675;34337;644;1190;1253
37;564;4129;7121;8875;539;357;1195
38;302;2761;3925;7186;288;696;371
39;662;6607;42046;35585;528;530;794
40;575;2497;2119;23149;371;1100;768
41;466;1958;23761;4527;207;630;424
42;512;212;6459;7475;225;590;671
43;488;3278;1187;2020;498;522;921
44;146;2020;38549;190438;244;435;448
45;444;1257;5500;1306;787;600;1175
46;803;645;36934;44948;829;827;362
47;292;608;7978;47863;556;558;1187
48;155;2970;1747;14762;169;182;1271
49;281;1649;152;4362;496;464;885
50;279;4620;6155;13161;686;646;357
51;276;1068;3319;13564;225;769;1129
52;380;987;30924;5687;122;860;433
53;361;4484;51555;116285;396;1000;1106
54;413;15600;707;40844;1007;345;1876
55;278;542;20664;72086;359;620;2266
56;776;5089;124649;19072;453;990;1718
57;394;2211;2424;12244;285;799;600
58;316;1257;2803;39718;265;911;389
59;314;1252;25123;16293;522;1199;496
60;426;2599;1064;2230;628;551;712
61;464;7702;38808;5231;667;816;1450
62;291;848;34669;152319;934;879;954
63;413;8469;31497;43354;533;1350;2162
64;336;848;2786;20871;425;346;1507
65;461;4158;11673;81150;344;358;348
66;597;977;7207;289732;409;1908;992
67;423;902;17251;8140;947;582;304
68;792;4974;6388;28454;584;491;1200
69;377;3897;11496;141139;562;772;643
70;348;3212;24119;21189;1012;1111;1180
71;363;2016;4437;94652;844;941;795
72;481;3453;511;33351;695;608;1309
73;396;5476;12059;10726;283;204;691
74;529;1194;15743;30732;567;302;890
75;423;1055;7490;27824;359;1016;1289
76;410;1246;17075;19436;288;659;1413
77;411;1320;21558;51673;447;945;1080
78;306;6659;3099;94946;835;539;1589
79;913;420;49720;21900;777;1161;1078
80;293;4251;3670;33322;535;595;554
81;905;2573;3153;22802;928;782;1269
82;356;9731;12757;41337;268;964;1039
83;312;5556;7476;78286;379;1128;1857
84;559;1889;6943;52793;509;728;589
85;204;776;6968;41231;733;1292;972
86;689;3666;17848;53994;745;1372;1918
87;249;740;2404;103649;1119;125;1446
88;496;2061;13631;170951;497;1262;678
89;447;3622;37644;27699;1356;462;245
90;276;331;9217;46407;674;966;699
91;478;690;20064;43263;446;591;830
92;551;3724;7067;48481;709;553;333
93;473;3331;25108;80265;473;537;1302
94;472;3305;46540;38877;1630;1696;2667
95;589;3611;27824;21574;509;1622;643
96;365;2839;17237;124315;589;650;1340
97;467;5684;17159;34614;890;1329;936
98;459;1258;18783;71623;1018;984;1189
99;249;415;28198;103051;822;2394;626
100;121;2526;16308;151649;1067;693;541
101;343;1284;6167;73158;737;799;783
102;576;513;1631;61713;444;439;1470
103;464;2262;3593;20849;931;1485;1491
104;1046;5251;1147;178135;297;544;1786
105;675;1233;2998;51951;1080;652;787
106;695;1373;5622;20452;555;929;651
107;159;5141;41487;51819;483;1166;932
108;632;953;13480;159256;444;1001;3395
109;468;3461;974;25246;565;1998;824
110;227;1468;7895;65195;452;475;966
111;338;2510;29059;40236;248;1783;879
112;667;3339;19560;27781;181;463;1586
113;116;3688;21501;65345;243;254;432
114;573;411;5491;103371;691;759;856
115;197;1634;117;7203;574;635;1260
116;439;5437;30249;196791;779;996;768
117;543;831;7710;239;422;98;1026
118;464;979;3003;4686;225;665;679
119;340;3776;14164;34787;530;734;707
120;229;1333;12585;14557;216;647;576
121;402;1588;5418;52143;967;576;796
122;625;4744;38156;3855;908;759;550
123;384;2011;2735;1178;543;650;11
124;412;633;10234;46653;437;1005;1305
125;307;1047;4525;29073;518;474;1018
126;267;4892;18672;16980;935;644;157
127;393;4465;26439;289948;729;643;1994
128;304;2459;23406;2372;653;234;1256
129;430;388;4893;1058;443;717;450
130;335;766;6209;10108;737;414;1832
131;665;2572;29541;34953;565;621;745
132;359;379;550;11273;562;971;644
133;376;1661;11108;141289;287;886;963
134;392;4646;14029;61339;707;649;1433
135;399;8318;8892;3987;549;832;1462
136;347;1977;20802;10590;889;652;666
137;518;6876;2823;239621;640;1657;1493
138;268;777;12714;194024;352;1067;1462
139;228;1183;16248;8111;641;277;466
140;156;351;12070;46061;552;1173;1337
141;425;547;19052;72145;604;304;320
142;430;2834;2587;48197;457;1009;1461
143;271;1313;2216;9915;453;288;730
144;337;4469;2299;19063;437;847;701
145;190;3442;9822;747;550;1128;1261
146;675;4127;21290;5180;674;752;1493
147;333;3625;19965;76753;436;797;277
148;907;1013;11138;88180;581;160;1276
149;447;7328;65048;15901;396;811;1223
150;413;7073;549;58414;1207;567;419
151;375;13601;6922;21057;622;1905;747
