;RLS;EA;pmut3.25
;10000;10000;10000
;921030;921030;921030
0;79701;263404;126627
1;93803;218456;130424
2;96733;201681;180695
3;106080;218724;129027
4;101799;269668;159664
5;79465;208785;160705
6;74565;370854;121049
7;100012;221501;160846
8;86323;209713;129725
9;97950;220305;140965
10;77624;215237;183256
11;121186;225734;175539
12;99879;289107;126848
13;68783;244526;127145
14;88973;196403;151973
15;94313;274947;127575
16;68122;219370;129408
17;86047;246490;115475
18;88292;185193;140740
19;86586;204513;156601
20;77083;179547;204172
21;92782;187295;148339
22;76154;198605;156063
23;103268;250335;147451
24;96570;191369;161071
25;91820;188121;147687
26;77934;184141;123822
27;79871;210893;128092
28;112816;241719;159342
29;90689;305844;180749
30;89055;301242;219944
31;110401;202428;114203
32;78801;201530;127901
33;84139;251508;115857
34;84645;198693;146093
35;90208;248899;150544
36;94840;233660;178913
37;91912;244266;126629
38;70400;210097;121509
39;81105;240210;130364
40;88991;249150;187057
41;81575;224129;121514
42;89198;184478;118962
43;87817;213595;137119
44;69136;338941;169589
45;82606;169240;163835
46;95764;287104;120444
47;120264;216568;206547
48;84090;308264;135288
49;135448;274490;151096
50;93256;207255;118319
51;80885;333270;138049
52;75705;211873;182008
53;85262;222955;143570
54;81634;206408;123549
55;94701;207432;136987
56;82383;207167;128147
57;83572;255232;149845
58;76719;187253;148801
59;80271;200691;149717
60;95604;203491;138423
61;91019;342786;134712
62;79392;261815;130167
63;101370;202006;136126
64;76418;252898;152486
65;91370;248491;117100
66;85583;258942;148586
67;76474;225052;127918
68;109974;300047;122619
69;78697;206774;119494
70;73983;240398;128994
71;106134;219573;104910
72;82407;225937;139770
73;109058;230647;141381
74;106252;228577;135287
75;95967;216441;157970
76;81801;194422;176797
77;94907;190232;140382
78;88500;189147;138457
79;93644;220074;123671
80;117530;197516;157732
81;84920;206389;128883
82;104877;217130;174304
83;86102;281113;135127
84;83537;200492;144015
85;85747;196616;203607
86;93165;270539;145599
87;73579;188096;123545
88;75640;233405;114615
89;77348;263743;137122
90;83399;198409;113007
91;77946;245770;164937
92;88574;240230;184700
93;80047;361505;126613
94;91171;218943;143575
95;105892;246153;121055
96;86491;333538;175829
97;92800;229157;183102
98;108172;212714;155134
99;126813;209802;132978
100;89334;249054;119856
101;79652;340509;140604
102;76585;200485;142239
103;82586;237167;169852
104;96814;247231;132055
105;102213;314822;141365
106;74597;202426;140753
107;87608;236238;179600
108;89773;209539;118852
109;71172;305977;122609
110;78535;236317;140888
111;113289;312379;176831
112;94611;205345;144965
113;91624;208275;133471
114;80456;225784;135361
115;96419;248961;142859
116;71281;215160;134437
117;91051;277438;170743
118;88321;195250;141578
119;84712;277027;126915
120;89061;217322;175771
121;82466;257894;120341
122;87086;308551;180072
123;91967;253275;171134
124;86319;222300;133868
125;102155;272525;178745
126;70716;233253;197348
127;83736;225089;138787
128;73310;222012;147157
129;90017;253811;112794
130;118790;256758;195623
131;89815;208403;148559
132;100723;256900;128057
133;108158;213809;156016
134;93371;218030;145089
135;82481;227254;129166
136;82130;226140;140744
137;76758;285238;122831
138;81151;294796;199499
139;84791;175896;121996
140;90236;220852;130087
141;87925;221021;114641
142;103761;229433;114403
143;98842;235538;131554
144;70433;268780;164952
145;97064;217726;146442
146;97048;328578;102739
147;84622;259663;120823
148;77415;206138;117809
149;108916;208480;127333
150;65815;207048;146386
151;80275;213320;129661
152;90072;229909;118108
153;110895;348102;132413
154;93152;234414;165278
155;88136;233586;138506
156;73999;213793;125661
157;83482;225289;140582
158;85172;185034;153352
159;78035;228013;151818
160;87613;202503;124716
161;100211;236634;149281
162;106463;228064;153114
163;103716;218604;127991
164;102427;243585;118151
165;81093;201843;123868
166;96161;185207;110790
167;79874;271515;130976
168;78815;206764;136995
169;74885;182411;266376
170;105279;219150;145359
171;90760;283499;129045
172;80295;192477;138276
173;86541;191992;152124
174;98804;245807;150314
175;84630;298079;125156
176;90134;227942;170385
177;75006;270402;184291
178;109624;199620;200927
179;92199;289607;121513
180;84075;205969;147077
181;81552;261268;134231
182;84369;165283;164948
183;87480;235312;163084
184;94688;249694;114546
185;87699;248764;143273
186;91482;199268;112823
187;84317;251488;116796
188;77273;219174;161804
189;112085;265462;143819
190;81379;204837;136761
191;91926;256874;141739
192;81415;238223;154822
193;79275;221031;117551
194;89342;196384;115038
195;77661;238506;139518
196;80718;306404;146130
197;70300;192694;162732
198;85508;212772;123994
199;90699;187596;127149
200;82255;220326;145478
201;86312;189091;148174
202;125102;208979;173084
203;124480;240886;142661
204;83660;218464;118492
205;87275;227553;135677
206;75520;286572;116257
207;83376;200137;168605
208;130612;225236;124933
209;86187;212308;153686
210;99098;229304;146288
211;64140;159698;134391
212;104000;232107;169838
213;82449;200290;164678
214;86491;206083;114841
215;80608;211228;142067
216;99346;203717;122020
217;75737;239227;134330
218;101365;177499;126813
219;82995;213597;156972
220;83873;265357;165382
221;80751;189472;138030
222;85939;191052;133372
223;108526;233173;164314
224;91129;231899;153984
225;75583;254949;147157
226;99991;191410;156846
227;92050;209579;136443
228;78499;202036;154479
229;89216;204527;125032
230;86391;257212;148365
231;90325;224535;124421
232;110378;195394;120733
233;74126;257587;142854
234;146575;203375;169925
235;88230;199231;150269
236;103782;226254;134070
237;95541;208943;122863
238;91849;226322;127157
239;86915;200253;133801
240;78397;192749;118761
241;103807;282939;134475
242;75190;234100;207401
243;104761;232137;119000
244;107774;236148;131436
245;112137;256309;129937
246;84070;204462;138852
247;101613;189386;132221
248;99621;232908;121681
249;105446;185732;157799
250;97651;260655;135766
251;74437;213095;161727
252;104876;220359;181166
253;95963;231603;134956
254;82615;234628;141040
255;84022;220835;152451
256;83391;198299;144298
257;103335;250357;186609
258;88166;211600;110640
259;79583;318379;146668
260;81842;203356;137336
261;91238;225107;156636
262;88324;250012;134162
263;102731;182431;163884
264;86572;242162;128964
265;96306;222629;120865
266;76363;190840;153071
267;82310;218391;120969
268;117760;240938;157360
269;91847;284373;145923
270;68739;186900;142522
271;125051;225543;211054
272;87890;223658;136093
273;123301;172612;124706
274;104862;240062;106191
275;100514;206648;135076
276;88205;299730;165464
277;95886;239202;139866
278;87362;193997;139035
279;84792;227588;132465
280;127245;269518;161076
281;82953;227688;132270
282;76051;216780;199020
283;82575;226790;133208
284;92416;226463;163162
285;102275;279549;138950
286;123678;221150;154253
287;86495;235737;172497
288;97186;228062;178062
289;106657;235051;133450
290;71162;194205;147137
291;98507;240842;144216
292;89353;287545;127670
293;108075;280708;144057
294;101859;349527;129739
295;88487;198011;154994
296;98619;209395;151766
297;89749;255437;159632
298;95059;373910;141565
299;98879;237690;126039
300;88857;197379;124171
301;92239;245096;117399
302;88458;255491;121357
303;107072;309584;111089
304;113439;190726;125522
305;100943;234667;164742
306;109317;244044;138884
307;83403;216599;145318
308;87747;223224;140460
309;73618;218436;146668
310;71519;182497;136138
311;81406;186482;180181
312;87784;207170;169236
313;80258;213908;123199
314;98753;226392;127035
315;84973;199407;133070
316;82591;250155;188453
317;86459;254888;161417
318;94210;322058;123586
319;107366;220111;138891
320;76951;250426;124572
321;87081;333710;127901
322;93416;259824;122095
323;146252;213976;142375
324;86010;207811;161441
325;78316;268747;141472
326;87787;228729;134063
327;111622;200437;137257
328;90530;217140;114438
329;79974;233821;144228
330;76997;252921;145451
331;92765;202715;145291
332;74657;203782;117102
333;89361;256061;141551
334;80939;203212;127187
335;92726;195542;120201
336;78419;200619;139218
337;89382;223848;133654
338;93232;268157;129664
339;89063;228365;163411
340;87638;242388;130402
341;88963;226213;165179
342;127927;249946;149309
343;86624;266964;120349
344;96215;186161;132130
345;100306;227188;147152
346;83887;298600;145923
347;78254;168363;144648
348;107375;197929;163138
349;106104;223326;134400
350;75298;171772;122348
351;92775;242107;154501
352;82551;273140;147023
353;83678;195684;134164
354;112036;213981;129172
355;86095;229898;128408
356;105305;208361;153054
357;96990;216232;151151
358;80983;194524;141924
359;78509;236111;129728
360;93145;206096;152826
361;95008;340594;151185
362;89923;265165;116641
363;87409;237869;139049
364;138594;254709;150233
365;85016;193390;132115
366;87734;253783;158748
367;101009;201108;139406
368;87371;188754;129470
369;95800;214392;126177
370;68113;195889;144186
371;105133;233296;117496
372;71652;231517;158684
373;82831;290377;211053
374;90968;282419;141300
375;89135;200384;119939
376;78777;189232;128214
377;96696;296538;124761
378;89590;307317;139031
379;93883;202122;116539
380;85900;297972;169448
381;84065;231534;142277
382;94091;276102;134317
383;80362;226161;124758
384;101281;197061;131603
385;78256;220674;183599
386;99970;250209;121155
387;88619;213323;123772
388;100038;194789;125116
389;108683;244377;165307
390;99201;423604;125462
391;80288;267963;122998
392;82258;185173;131885
393;92846;190072;165244
394;86988;364869;119869
395;89226;256033;162577
396;91267;178626;181386
397;86690;250289;114873
398;83217;208546;132528
399;113713;318535;129499
400;83590;218048;111892
401;107015;211601;178985
402;93268;203992;119794
403;94397;213436;119702
404;94890;236211;131732
405;92927;317082;139717
406;78466;279102;130992
407;74622;208593;132959
408;106058;223034;134642
409;79058;285448;124726
410;91395;207474;129252
411;85655;187200;123909
412;84110;246030;126642
413;67189;205063;110918
414;88388;225286;145673
415;82495;207542;236747
416;95443;238818;243899
417;89503;266545;136997
418;97817;246658;112176
419;74694;207550;151910
420;88309;261580;147899
421;100255;206037;121698
422;77732;232247;147776
423;84723;234374;132444
424;90474;225011;150524
425;109456;216396;128209
426;82515;279701;140988
427;97880;204468;118474
428;81920;218673;156990
429;85869;232945;114564
430;95734;220529;138100
431;107616;216253;130611
432;130562;212015;141804
433;76393;204519;120392
434;74091;217682;157129
435;87404;229823;162772
436;124400;193290;120495
437;91993;208398;126062
438;81196;305190;157374
439;121248;231652;134108
440;81937;283181;234185
441;96937;222622;124403
442;109883;187508;142736
443;104075;394269;191453
444;82304;179596;157092
445;86228;211066;175946
446;77359;209661;177080
447;73272;266704;142417
448;95305;369096;135046
449;99069;254753;154029
450;107085;242248;206492
451;86880;217944;128938
452;89256;232853;121467
453;106555;257574;143965
454;67071;200142;169974
455;90806;208210;138316
456;77535;212671;153580
457;99668;246685;146846
458;86532;197933;138017
459;81883;247685;164666
460;90812;241651;174792
461;79366;277667;109766
462;91324;297573;136556
463;76991;185868;167506
464;106212;227452;167846
465;88096;280988;143340
466;92993;287519;128081
467;121142;220777;181774
468;79157;203718;138633
469;125272;218534;136154
470;68480;322840;141879
471;94399;202477;177903
472;79694;225888;120389
473;92552;230097;115875
474;74313;198903;142332
475;120883;224871;108893
476;94150;204582;124052
477;90101;193888;162870
478;83284;241792;154332
479;82398;211419;132996
480;72622;234692;138184
481;83150;229848;136855
482;92896;229227;131956
483;100898;217060;102509
484;93213;197919;146299
485;99176;205088;113211
486;92482;222580;134832
487;81840;169160;134559
488;95878;240901;141973
489;106643;237357;132126
490;113502;302731;133440
491;92994;202939;123369
492;114692;231086;150927
493;87108;290816;153096
494;84977;261858;109662
495;90256;196305;149505
496;113381;199779;107884
497;90803;213910;154955
498;91000;235574;135333
499;127309;169073;133673
500;93654;191369;130396
501;74278;214519;129163
502;89681;303675;157186
503;71475;273348;137516
504;80517;237978;128793
505;101880;267733;136117
506;87903;213659;149950
507;89333;193211;128527
508;89934;192585;134238
509;85845;219581;155560
510;66225;237817;138868
511;84640;260997;110610
512;90387;204844;136249
513;101992;177290;125438
514;99655;194124;145311
515;105164;208338;133062
516;85191;210645;130483
517;96316;211629;147441
518;77388;211958;136623
