;EA;EA2;EA3;EA4;EA5;EA10
;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030
0;255676;335953;427781;716198;fail;fail
1;199307;319449;587210;917750;fail;fail
2;251214;267447;389457;884659;fail;fail
3;201431;232605;460298;859672;fail;fail
4;193384;331433;477349;fail;fail;fail
5;177010;413983;594524;fail;fail;fail
6;315970;364334;465956;856072;fail;fail
7;231771;302134;463378;871594;fail;fail
8;279559;272208;474892;fail;fail;fail
9;213654;245680;458012;fail;fail;fail
10;228609;295154;444915;707266;fail;fail
11;222170;372809;510083;665986;fail;fail
12;275797;262584;484402;fail;fail;fail
13;254747;439982;463968;824028;fail;fail
14;242468;331939;451817;908637;fail;fail
15;287991;257687;591823;744912;fail;fail
16;211608;296123;823156;844267;fail;fail
17;208489;280837;430719;fail;fail;fail
18;252918;431512;549492;804818;fail;fail
19;261228;313293;539192;fail;fail;fail
20;267057;227896;385673;fail;fail;fail
21;270286;243338;552706;fail;fail;fail
22;245281;329157;501937;915912;fail;fail
23;223004;272269;450238;919096;fail;fail
24;216737;322963;475512;fail;fail;fail
25;189675;232532;394594;832918;fail;fail
26;246428;266443;483375;fail;fail;fail
27;275986;324210;481929;880319;fail;fail
28;215744;238987;533236;906716;fail;fail
29;255653;241949;560043;fail;fail;fail
30;248438;254566;488989;713667;fail;fail
31;197287;303326;514470;844920;fail;fail
32;230455;295833;423205;781638;fail;fail
33;303173;282466;336099;fail;fail;fail
34;186599;265043;524831;fail;fail;fail
35;190637;291815;547665;fail;fail;fail
36;251485;491104;407732;816767;fail;fail
37;240804;263078;546870;890705;fail;fail
38;215966;287797;398886;876285;fail;fail
39;234263;250192;519411;fail;fail;fail
40;278785;401240;435654;fail;fail;fail
41;205638;255528;327980;fail;fail;fail
42;226516;309653;557077;fail;fail;fail
43;236950;286379;503241;744085;fail;fail
44;188374;287144;600807;774226;fail;fail
45;213852;430555;514673;fail;fail;fail
46;236723;206190;534460;fail;fail;fail
47;264229;226887;477557;fail;fail;fail
