;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;705119;563616;452774;210870;185541;171436;156728;133130;107941
1;646993;534386;307493;187235;210882;178763;128328;144084;134573
2;619238;410319;274611;234395;370536;211669;183160;114272;137106
3;853281;457971;295341;176880;202635;209652;170375;131189;126326
4;739759;317281;294572;307624;208430;183464;133096;177414;139330
5;769533;388835;312535;235858;174694;212255;143658;193789;111627
6;806319;485014;260427;202227;174061;168903;203077;204104;138079
7;717354;360499;257224;299025;219997;177124;169242;159803;157663
8;790758;449311;264898;209190;185599;205844;165086;165051;140989
9;675874;427604;340349;282123;234386;169566;152814;145086;135312
10;739971;427053;240007;207160;227714;181313;176790;120792;172098
11;591288;372709;242244;228619;214403;184363;176550;136627;123451
12;672013;295187;309543;247450;213427;171378;146879;157761;139628
13;761932;397169;291956;279459;205152;146325;159089;131612;163340
14;776897;354829;381398;211566;225819;183743;174119;145388;142864
15;662331;442386;262912;326680;212677;231140;170327;153001;120650
16;603350;610550;278761;211829;179139;181085;150909;196901;117576
17;835665;384784;374661;184838;175203;171291;167841;143818;142566
18;727628;513153;262845;224799;185467;156162;164242;127237;115179
19;645774;481191;264354;190986;188443;156493;176529;129109;140854
20;771659;395378;285814;242773;218202;165690;141312;139687;122212
21;692666;317447;295284;212784;222249;192834;172399;227257;163102
22;624054;423592;222289;228534;196706;159496;144001;158576;135066
23;707626;522628;274373;250581;183716;223985;175002;147970;143117
24;656040;412958;285050;225072;212711;189171;177132;130285;154878
25;855240;403753;270881;217003;213797;165622;142991;175104;149131
26;590451;345765;301986;207091;205875;182106;164024;225161;135349
27;714607;385879;244225;229691;195391;170339;183716;117490;134898
28;703135;353506;310658;258025;190103;150233;178339;163470;163079
29;792963;394489;269507;267274;228784;146019;152557;149546;134214
30;575464;340255;291681;269214;203613;193870;143614;168319;158051
31;769115;499996;324560;245747;203306;159446;160205;172988;145900
32;730057;428336;308628;287513;300835;139294;150938;143655;125145
33;682437;369909;297436;214313;197485;154820;191531;157604;181922
34;715070;491484;312342;269224;200130;202195;171450;172299;144238
35;fail;453018;256240;258661;250011;171522;174517;117011;135423
36;873270;429102;349696;233004;237382;169791;140479;158204;169613
37;fail;364951;249973;258576;208667;150903;145753;212715;170467
38;879630;380418;252088;418545;228210;183741;171775;186111;133088
39;792495;409411;355926;216276;190637;165916;161592;140013;156376
40;604020;361687;298931;196665;162687;154065;197719;135589;135920
41;905076;339747;237534;266877;201599;226433;135515;146029;121768
42;609107;405327;334916;228630;191239;191714;206026;137869;133469
43;846807;563800;327105;379632;184113;247029;182645;132578;130796
44;692455;365951;297563;247348;177933;157211;184668;157744;113598
45;634572;417474;295713;383661;208316;247330;136584;152931;129253
46;fail;365104;281918;312690;169248;190250;144397;133013;131836
47;676692;339986;316065;199210;242327;167459;165980;154273;132440
48;709530;448448;274684;206636;319498;182201;167047;165629;147632
49;577575;412671;294003;258624;213977;202990;169499;138255;145097
50;610008;565477;264089;212453;179419;166406;181085;119121;152399
51;702402;469778;299401;212319;280012;167050;175608;125643;166386
52;699925;361033;273642;379787;209495;202630;198289;142813;138165
53;631847;435716;337566;317012;182971;144046;164238;152505;128260
54;559862;310587;282165;233864;191893;198559;149204;136223;129832
55;770286;370245;260307;265739;164468;239890;184570;132625;130357
56;867863;372630;354685;253024;205660;200184;126410;148507;124226
57;870690;416091;251143;268966;277393;176047;146563;143274;143327
58;773645;459392;282917;252857;223708;165951;170667;155180;124601
59;599465;359446;274216;281312;194942;161386;187597;135661;162323
60;684303;385206;302881;210466;214960;170985;222820;163071;147395
61;559664;508395;329154;198972;182709;182507;141070;207621;136516
62;fail;425219;320381;273314;220357;200765;172201;136437;164603
63;618144;456505;260261;222168;158880;186810;146864;174653;147102
64;767762;512521;276212;314569;213260;172410;141563;177709;177607
65;704152;347479;220606;326130;204766;159671;164871;137454;136723
66;634546;500869;275472;298018;204976;154891;161052;119624;170112
67;609624;407609;342499;213040;207432;182132;160228;182688;128642
68;676046;454363;267604;210080;186443;137320;167153;133480;157655
69;571017;371882;281061;243330;200834;211661;157964;138032;148999
70;738105;548572;276187;202307;167230;165525;209551;190336;141186
71;561176;340120;290948;226490;186127;157721;244684;243230;158364
72;fail;362885;271102;218997;195751;152597;198076;153516;147441
73;809857;406735;273537;199329;178321;163220;163701;188170;153612
74;828515;379654;349637;210133;190415;154827;145294;134917;163063
75;472464;511075;319677;203409;178459;193108;156777;135910;122119
76;707095;781299;276075;240401;228072;155378;171138;163762;118730
77;656451;330658;271371;252740;188464;191278;171177;164586;129469
78;580018;390261;315094;199652;219191;188476;177485;163475;217596
79;906391;378958;262253;281245;184127;192110;147180;135834;142358
80;627924;490369;343884;226605;180761;186610;122443;145548;148091
81;627838;433337;271467;312055;246887;159507;141623;145465;132745
82;891777;372580;258995;201399;168560;178089;153804;134625;125032
83;603378;333420;332933;231511;244618;243933;167062;131513;145180
84;558942;485400;252157;297614;189503;214924;164511;141559;144537
85;699947;423642;245074;196097;212476;164289;218936;169561;142467
86;669532;496756;234444;234098;376693;187291;152781;132937;108665
87;749016;400903;241838;234791;175798;174217;227171;128204;137119
88;748689;523289;317026;213148;184513;171653;150586;139845;128326
89;687576;564744;304909;227201;187845;168167;171435;134685;156511
90;679360;471442;329991;240851;214977;186714;141577;120778;262484
91;fail;388867;267920;220701;220894;185805;158520;133254;133171
92;616687;329904;353643;215372;212521;194316;193534;185517;136642
93;653730;366437;301165;255274;210621;248787;134209;155390;134955
94;578861;572462;271142;260914;192168;158826;153653;140715;148173
95;887560;409567;435761;284784;191307;162855;162430;185670;222939
96;769581;434601;351718;273759;250970;173342;172047;157500;119148
97;655210;426324;414837;350467;202941;203866;161399;131720;108475
98;679449;442747;389734;240812;189376;158137;224492;155058;155974
99;697502;297570;270504;251479;158496;187830;147473;143989;130186
100;633082;344066;364062;224476;200068;216492;275870;168749;145132
101;723082;330673;278329;251505;181571;160706;159908;170260;138488
102;616963;431973;275082;228421;252485;176643;142329;151056;141085
103;fail;372501;257174;224700;214674;171673;143866;145328;143275
104;634916;459815;233145;227837;199984;203700;149655;115705;142847
105;582265;389730;274482;211303;217555;162632;178744;158032;130293
106;621558;398719;300757;210905;194972;153653;158982;167288;159705
107;678957;406617;278455;270633;273854;179828;176920;142943;140069
108;846034;590403;362210;202599;204692;205245;123086;147885;137764
109;587313;599724;253413;223027;204027;161842;154019;168510;141895
110;775002;503475;234974;247382;219263;135597;148752;126789;139782
111;705139;374225;291032;281025;275166;187332;182654;157572;150090
112;731769;341788;345731;241284;196276;156101;186434;133894;104750
113;628074;381252;244805;288594;161994;197471;170871;130851;127986
114;776330;422296;341823;234506;217457;187147;158937;144294;141300
115;600592;440246;310892;328573;205312;165817;179209;158431;127296
116;690999;497637;311646;227950;261472;149262;190807;167208;155343
117;737325;490968;279302;307113;159188;168988;162908;120315;132806
118;657261;348656;313724;279429;180104;181349;205944;143903;112210
119;866136;550783;291266;233256;264873;157729;135591;153008;140585
120;671251;396136;263721;229621;316767;193489;178239;200115;152487
121;767371;345284;284818;231937;198246;183946;155579;160292;152633
122;699922;447452;254119;222176;179454;204497;158744;151033;193247
123;731968;442104;315484;254506;252783;204771;154669;165337;160656
124;583729;407208;331671;284641;240862;139767;223979;133348;123224
125;653572;375221;235333;173059;242305;175071;171118;185176;111357
126;593346;548483;274103;272778;202684;299252;245689;134251;140996
127;526680;419323;403615;278527;180022;196792;162958;134752;143396
128;727723;446438;344611;203058;162214;170081;248990;153362;140513
129;642552;383922;334808;241421;206813;166451;156667;139860;152995
130;573532;381203;257892;239569;189833;190146;158896;206335;133589
131;658539;355372;294186;203442;242668;184101;138785;183011;178379
132;655840;348711;274570;245541;168559;160063;167491;157274;158570
133;780356;500527;311475;244519;241782;161602;173036;126336;113412
134;689563;487217;251818;239371;279446;181730;122836;135906;143889
135;671492;390839;309264;261683;309139;191145;189845;137613;156943
136;662924;461911;228337;218909;242570;187689;183550;149925;144638
137;820924;508879;334518;277409;255131;170055;174121;153196;139814
138;726609;480922;306544;274222;241300;223512;128702;139659;138698
139;625222;360669;303953;202366;170660;196285;145484;140010;163384
140;760631;355823;252788;249709;207207;175097;123667;158985;174010
141;587015;359435;261853;264442;158511;222208;149389;160247;112360
142;673561;516634;291448;217415;213993;212847;156478;160618;140924
143;621704;405653;268881;204424;158335;205022;159700;152517;130809
144;648882;357981;365063;215754;237145;206826;162286;147137;166460
145;625157;422850;321109;365569;196856;164439;289072;141537;162937
146;724207;323328;263446;208927;202393;195527;142578;153012;128327
147;649647;319679;265332;286380;191079;181231;149886;170087;214911
148;644207;456070;404299;231941;237051;167698;132119;155818;113302
149;613089;400194;330300;198764;208692;224682;151595;177322;122993
150;715694;511352;384608;227438;229444;132939;166648;158508;127056
151;645603;424792;275301;252972;186391;181905;132304;160529;114015
152;548101;425124;315941;235969;363010;149854;179014;160913;115166
153;fail;453926;364242;249663;286642;173188;155593;171382;140858
154;642744;469251;269332;224190;181873;166479;174545;136003;158564
