;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;83138;fail;fail;fail;139797;274136;301597
1;101756;fail;fail;fail;158325;229733;296252
2;86306;fail;fail;fail;182025;209153;283017
3;97728;fail;fail;fail;192743;215672;296603
4;83582;fail;fail;fail;165705;231213;242247
5;81294;fail;fail;fail;180778;264408;285121
6;89837;fail;fail;fail;229165;219939;265724
7;98758;fail;fail;fail;161392;174022;311758
8;72977;fail;fail;fail;145295;255928;323824
9;91133;fail;fail;fail;157723;247772;304783
10;97201;fail;fail;fail;158430;260355;364493
11;83700;fail;fail;fail;160649;243763;345222
12;75967;fail;fail;fail;159711;233240;266670
13;116167;fail;fail;fail;250283;292194;266023
14;93910;fail;fail;fail;137892;251217;271489
15;95328;fail;fail;fail;171744;186995;384238
16;90121;fail;fail;fail;173149;206070;295096
17;88948;fail;fail;fail;184041;205625;294707
18;81468;fail;fail;fail;144390;287488;250093
19;97977;fail;fail;fail;136990;187530;311631
20;89281;fail;fail;fail;186371;298248;299315
21;90772;fail;fail;fail;174905;231842;278738
22;94668;fail;fail;fail;134453;264492;239473
23;73353;fail;fail;fail;147811;222131;340718
24;94645;fail;fail;fail;173252;200717;368065
25;88960;fail;fail;fail;185892;174920;289295
26;84040;fail;fail;fail;159530;267644;292427
27;83471;fail;fail;fail;160978;205024;360714
28;120096;fail;fail;fail;191652;246597;254230
29;75298;fail;fail;fail;155155;241075;253891
30;71761;fail;fail;fail;175555;225358;255398
31;101549;fail;fail;fail;158144;231633;291150
32;91215;fail;fail;fail;155663;223848;411012
33;80796;fail;fail;fail;138731;207023;353016
34;148691;fail;fail;fail;195508;216187;289963
35;85087;fail;fail;fail;149868;228986;268670
36;75121;fail;fail;fail;160068;234893;357168
37;92779;fail;fail;fail;152425;240170;240813
38;108755;fail;fail;fail;140585;182811;314074
39;99874;fail;fail;fail;174426;223181;331597
40;91592;fail;fail;fail;144554;348306;397413
41;91414;fail;fail;fail;145974;270064;283462
42;75130;fail;fail;fail;145688;300105;280323
43;89688;fail;fail;fail;173068;217221;301030
44;81891;fail;fail;fail;173913;209975;281996
45;93232;fail;fail;fail;179858;196159;355438
46;87126;fail;fail;fail;155586;350881;227080
47;93969;fail;fail;fail;185627;243207;231368
48;103183;fail;fail;fail;155830;223570;269165
49;78859;fail;fail;fail;147189;195609;295539
50;83643;fail;fail;fail;192714;213479;292150
51;86228;fail;fail;fail;179461;300505;274064
52;85269;fail;fail;fail;147775;195543;349759
53;79830;fail;fail;fail;164911;242082;295106
54;83137;fail;fail;fail;135670;337544;347338
55;88373;fail;fail;fail;172234;258992;304818
56;66020;fail;fail;fail;185884;267022;310817
57;108033;fail;fail;fail;195273;239132;323886
58;84854;fail;fail;fail;125880;288050;319400
59;89041;fail;fail;fail;185153;204083;363955
60;80786;fail;fail;fail;135682;287901;346490
61;88468;fail;fail;fail;169155;230705;379611
62;75167;fail;fail;fail;150364;238907;371840
63;113259;fail;fail;fail;173989;254022;422990
64;97599;fail;fail;fail;175265;283957;235831
65;72539;fail;fail;fail;165204;261261;428991
66;84393;fail;fail;fail;181027;257202;423325
67;95557;fail;fail;fail;142487;196873;359154
68;107959;fail;fail;fail;177013;248836;292968
69;78776;fail;fail;fail;162484;262058;307976
70;83190;fail;fail;fail;166449;237894;311499
71;81842;fail;fail;fail;246736;210909;274437
72;85450;fail;fail;fail;163492;289980;369170
73;90338;fail;fail;fail;195419;239190;304616
74;98934;fail;fail;fail;129174;224158;322177
75;102726;fail;fail;fail;167412;209051;270323
76;113759;fail;fail;fail;208051;193398;281303
77;112080;fail;fail;fail;156905;258038;274702
78;70804;fail;fail;fail;232583;262553;358446
79;103148;fail;fail;fail;165450;236565;265067
80;84501;fail;fail;fail;184710;267137;269748
81;82099;fail;fail;fail;160842;268656;285312
82;74902;fail;fail;fail;178000;215799;276301
83;92657;fail;fail;fail;140305;198205;313397
84;84819;fail;fail;fail;161849;257110;257473
85;78303;fail;fail;fail;192424;245976;278138
86;95182;fail;fail;fail;139760;231613;320465
87;81787;fail;fail;fail;147204;265039;466485
88;109596;fail;fail;fail;126256;253385;286926
89;80474;fail;fail;fail;118795;229963;287395
90;87876;fail;fail;fail;160171;199242;269648
91;83276;fail;fail;fail;162194;211586;236155
92;96895;fail;fail;fail;188060;222878;275046
93;95950;fail;fail;fail;169920;219195;291829
94;90299;fail;fail;fail;142292;202627;345226
95;91147;fail;fail;fail;172067;213865;262993
96;95501;fail;fail;fail;155671;180900;351791
97;89382;fail;fail;fail;183233;257670;277061
98;103780;fail;fail;fail;173955;196676;340182
99;79929;fail;fail;fail;128694;207251;256948
100;95527;fail;fail;fail;167829;271284;368321
101;102368;fail;fail;fail;185328;220273;331711
102;93204;fail;fail;fail;137057;193671;347162
103;96688;fail;fail;fail;148516;219391;332575
104;102368;fail;fail;fail;192566;197268;243734
105;74295;fail;fail;fail;210355;258722;308625
106;85722;fail;fail;fail;196438;197086;264824
107;82033;fail;fail;fail;125189;242067;305204
108;83706;fail;fail;fail;169029;298935;255068
109;120629;fail;fail;fail;152371;248474;328206
110;116262;fail;fail;fail;174026;208182;340027
111;86943;fail;fail;fail;220921;206542;517852
112;84256;fail;fail;fail;146790;255667;358443
113;107387;fail;fail;fail;165378;290371;364120
114;80412;fail;fail;fail;152717;231815;289376
115;88041;fail;fail;fail;178356;236759;264384
116;93057;fail;fail;fail;136652;203651;262447
117;86919;fail;fail;fail;169130;325900;314092
118;90649;fail;fail;fail;174063;357195;251982
119;91600;fail;fail;fail;142530;200023;419784
120;88179;fail;fail;fail;154663;192768;298259
121;98141;fail;fail;fail;159782;254130;299123
122;106340;fail;fail;fail;176933;265915;290299
123;109034;fail;fail;fail;152549;212160;262683
124;101974;fail;fail;fail;233798;239728;299366
125;91136;fail;fail;fail;187034;204851;271551
126;95010;fail;fail;fail;135863;213312;245898
127;104329;fail;fail;fail;164236;229087;367723
