id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
0;2;10;0,10;1000;0;2;0;743;0,743
1;2;100;0,10;1000;0;7;1;287;0,287
2;2;1000;0,10;1000;0;25;5;75;0,075
3;2;10000;0,10;1000;0;74;16;28;0,028
4;2;100000;0,10;1000;0;204;55;16;0,016
5;2;10;0,20;1000;0;3;0;610;0,610
6;2;100;0,20;1000;0;9;1;235;0,235
7;2;1000;0,20;1000;0;31;6;86;0,086
8;2;10000;0,20;1000;0;101;22;20;0,020
9;2;100000;0,20;1000;0;281;70;6;0,006
10;2;10;0,30;1000;0;3;0;539;0,539
11;2;100;0,30;1000;0;11;2;187;0,187
12;2;1000;0,30;1000;0;29;7;54;0,054
13;2;10000;0,30;1000;0;102;24;23;0,023
14;2;100000;0,30;1000;0;329;82;7;0,007
15;2;10;0,40;1000;0;3;0;472;0,472
16;2;100;0,40;1000;0;10;2;176;0,176
17;2;1000;0,40;1000;0;38;8;62;0,062
18;2;10000;0,40;1000;0;112;27;14;0,014
19;2;100000;0,40;1000;0;351;86;4;0,004
20;2;10;0,50;1000;0;3;0;520;0,520
21;2;100;0,50;1000;0;11;2;191;0,191
22;2;1000;0,50;1000;0;38;8;48;0,048
23;2;10000;0,50;1000;0;105;26;15;0,015
24;2;100000;0,50;1000;0;358;91;4;0,004
25;2;10;0,60;1000;0;3;0;519;0,519
26;2;100;0,60;1000;0;12;2;161;0,161
27;2;1000;0,60;1000;0;38;8;62;0,062
28;2;10000;0,60;1000;0;116;28;11;0,011
29;2;100000;0,60;1000;0;397;84;9;0,009
30;2;10;0,70;1000;0;3;0;524;0,524
31;2;100;0,70;1000;0;11;2;188;0,188
32;2;1000;0,70;1000;0;30;7;50;0,050
33;2;10000;0,70;1000;0;102;24;16;0,016
34;2;100000;0,70;1000;0;318;84;10;0,010
35;2;10;0,80;1000;0;3;0;591;0,591
36;2;100;0,80;1000;0;9;1;219;0,219
37;2;1000;0,80;1000;0;30;6;76;0,076
38;2;10000;0,80;1000;0;87;22;23;0,023
39;2;100000;0,80;1000;0;344;70;7;0,007
40;2;10;0,90;1000;0;2;0;733;0,733
41;2;100;0,90;1000;0;7;1;275;0,275
42;2;1000;0,90;1000;0;19;5;75;0,075
43;2;10000;0,90;1000;0;74;16;25;0,025
44;2;100000;0,90;1000;0;222;54;6;0,006
45;3;10;0,10;1000;0;2;0;822;0,822
46;3;100;0,10;1000;0;6;2;113;0,113
47;3;1000;0,10;1000;20;56;41;0;0,000
48;3;10000;0,10;1000;405;522;473;0;0,000
49;3;100000;0,10;1000;4744;5048;4918;0;0,000
50;3;10;0,20;1000;0;2;0;756;0,756
51;3;100;0,20;1000;0;12;6;8;0,008
52;3;1000;0,20;1000;66;107;89;0;0,000
53;3;10000;0,20;1000;873;1017;965;0;0,000
54;3;100000;0,20;1000;9608;10089;9890;0;0,000
55;3;10;0,30;1000;0;2;0;618;0,618
56;3;100;0,30;1000;2;18;10;0;0,000
57;3;1000;0,30;1000;99;155;137;0;0,000
58;3;10000;0,30;1000;1359;1533;1461;0;0,000
59;3;100000;0,30;1000;14595;15082;14871;0;0,000
60;3;10;0,40;1000;0;3;0;448;0,448
