;RLS-N2;EA4;pmut2.25
;10000;10000;10000
;921030;921030;921030
0;9162;30645;48909
1;1521;28873;11873
2;31123;10715;112720
3;34502;661;20820
4;32028;16442;4454
5;12698;10304;27268
6;1883;13044;43813
7;11778;2052;15886
8;14998;1261;23383
9;23204;5541;38442
10;15795;18692;16358
11;1892;16856;13051
12;12424;37686;43524
13;2405;53046;11651
14;9311;15242;822
15;1715;12742;90046
16;2286;21075;41910
17;27751;5669;43643
18;6392;7792;13496
19;6717;44032;3226
20;57698;31465;8409
21;12858;43853;6323
22;41881;9241;42439
23;9951;70926;16551
24;18762;69829;8162
25;48041;21709;6141
26;15281;46403;20874
27;78236;21627;33192
28;105492;65196;30513
29;70517;6146;5612
30;1463;50184;15707
31;3837;32600;8339
32;6124;59750;13288
33;701;6870;12136
34;64735;2239;22829
35;29749;15053;1182
36;4702;9281;36002
37;704;57813;9753
38;10871;90471;167588
39;14438;1667;3985
40;40087;51359;54664
41;32544;2597;65216
42;6903;41135;8684
43;8943;71179;629
44;1489;39330;51842
45;18808;24800;1081
46;11848;3319;5638
47;676;4877;36110
48;3336;18063;9226
49;11004;28234;32315
50;3147;17098;6744
51;16703;11529;20286
52;26704;95893;106209
53;6488;71962;15582
54;9845;4763;15575
55;25520;75000;14207
56;13574;4038;33146
57;2507;14254;40586
58;829;34052;86901
59;5733;29307;17544
60;989;37829;14472
61;767;12000;11802
62;18191;8349;17696
63;6694;8382;111614
64;3952;8444;1237
65;1231;70454;8260
66;44078;18571;3016
67;16726;57611;17437
68;21964;11866;29939
69;32959;22705;28446
70;39888;34711;18047
71;28005;53953;3097
72;32462;22255;9678
73;27422;6219;2288
74;8764;16469;28728
75;22452;2250;20919
76;5088;123333;89428
77;4560;34611;46169
78;20519;586;21596
79;200;26790;3662
80;25275;5303;10025
81;36104;16155;33254
82;40257;19621;13415
83;53155;58645;8358
84;40787;14238;7935
85;22589;26508;6683
86;13275;13928;42095
87;51974;26459;1666
88;10221;74471;37765
89;16950;16792;3315
90;10541;21342;6443
91;2452;97564;133103
92;2677;15333;15823
93;67032;9873;18694
94;10005;9526;7703
95;31342;28434;26095
96;1930;2380;1347
97;54761;2532;509
98;4301;9355;17484
99;1147;40246;14061
100;17567;78989;2506
101;47424;15998;30974
102;9517;22853;73210
103;6667;23971;25474
104;2603;13422;1571
105;16189;564;13397
106;4986;25531;62235
107;4038;19577;91707
108;43496;37610;30098
109;7628;36791;15049
110;7861;70850;18290
111;21777;6369;12100
112;2901;55138;4804
113;14116;3139;3292
114;51442;75925;3217
115;8181;12048;40042
116;9941;14176;1408
117;31193;12840;27453
118;14841;24590;59821
119;19846;3785;8392
120;5886;11587;4810
121;1671;22176;5700
122;20811;5347;74450
123;1897;9959;5734
124;343;2090;32168
125;25494;16982;1708
126;16105;47342;12720
127;9674;26395;35633
128;564;8535;9061
129;1939;80864;3354
130;46859;3980;9702
131;13226;2226;2107
132;23162;18934;18108
133;27201;149702;5244
134;20822;37844;19620
135;27884;23934;6771
136;1213;51726;12368
137;23194;51724;24221
138;3067;35794;148667
139;4753;87340;122007
140;2937;24231;4855
141;20897;54041;19036
142;96587;72822;3277
143;3335;35637;21686
144;51513;23099;5924
145;12531;25119;16513
146;32486;10184;2033
147;10758;6055;59004
148;5882;31983;29496
149;20787;29228;1800
150;26568;8058;46508
151;40331;1605;152722
152;4145;8374;15916
153;6167;1080;26682
154;47106;84014;37822
155;5313;44676;5543
156;20834;41382;13052
157;27202;26341;28905
158;106189;143795;88888
159;62967;132912;90202
160;22845;5308;212596
161;10910;56645;36117
162;11311;82173;29962
163;2579;63244;37728
164;13560;21110;1026
165;443;2694;7609
166;4768;64803;47957
167;12913;49891;799
168;20170;3314;44073
169;14586;61437;6259
170;20562;13271;16330
171;13985;22750;10994
172;7413;6846;27042
173;2576;48784;33480
174;22198;8313;5733
175;24601;5572;11427
176;16183;10076;2187
177;76485;7554;104131
178;7884;9472;32520
179;14939;20896;4965
180;1953;13479;11555
181;62103;21252;2848
182;44843;34162;6334
183;20295;19320;3040
184;29990;11459;20461
185;16828;7041;5422
186;1974;24392;18260
187;2207;46565;21716
188;13731;31999;12405
189;5747;18774;1065
190;1284;5273;1419
191;19075;1010;37390
192;12321;36311;20362
193;1807;8532;16198
194;13314;1994;5380
195;595;2040;3395
196;15767;67817;84038
197;13537;40665;16031
198;5021;18803;4016
199;9106;14511;6540
200;23037;37720;48672
201;10685;23354;36925
202;14672;25653;18808
203;22130;7781;16771
204;5183;4188;10947
205;1604;1934;17818
206;16318;64250;14623
207;13973;236154;81010
208;27134;22910;22134
209;9757;1942;2506
210;12696;5614;26645
211;13046;12257;3056
212;6872;8953;698
213;2370;50192;41808
214;9385;16491;1228
215;30948;27400;81944
216;25099;57436;2251
217;17059;8063;3500
218;35992;22971;5925
219;67936;5805;17614
220;19681;11212;10738
221;19206;12651;20637
222;6220;100621;41113
223;6547;9855;30463
224;30365;9150;8188
225;22837;19110;3973
226;47577;11134;1867
227;3435;21615;10965
228;15449;6576;84743
229;25818;41782;30996
230;48167;12485;7640
231;6770;31930;2954
232;11599;32316;46134
233;48121;22289;4274
234;22909;43135;22714
235;56996;40914;6072
236;32464;67684;57696
237;27661;2818;21944
238;43491;5590;69552
239;30253;3895;91938
240;21640;14072;25222
241;32411;50345;10741
242;868;14501;126484
243;32945;783;89201
244;9939;29519;179
245;16326;57037;11967
246;10878;23348;58066
247;1226;31713;2432
248;29889;3282;17503
249;3744;35419;13394
250;22009;10972;40676
251;13133;7903;40302
252;11521;3656;75862
253;41773;6098;41124
254;38155;9598;53990
255;261;46072;3306
256;7794;7111;24086
257;1361;31469;72367
258;1204;113068;26751
259;11618;11674;1765
260;99109;16820;43595
261;22663;17699;5648
262;26497;2698;30516
263;4430;24790;24780
264;4924;65270;18193
265;25405;1382;37277
266;1859;7687;104291
267;3729;31019;18943
268;53028;80903;27366
269;1667;63118;62691
270;32719;17965;3609
271;8705;27948;23636
272;16148;127920;14937
273;12147;29439;3342
274;23552;5761;101484
275;28223;72419;165060
276;1845;2108;25063
277;2067;79675;1401
278;7708;5417;14540
279;7665;5702;21546
280;32636;60924;18994
281;492;13115;5961
282;29700;9874;6400
283;747;36876;23044
284;31153;20270;8869
285;34857;65454;48629
286;6299;54811;13116
287;155;16351;42878
288;10466;13873;14942
289;5935;50425;6912
290;602;140127;29868
291;6019;2316;40973
292;40156;30741;26400
293;2331;57041;2327
294;13484;61784;6018
295;274;20130;807
296;38675;33206;9831
297;11618;33276;34708
298;17342;2584;9159
299;6610;18390;12108
300;10286;9741;14979
301;33005;15491;156477
302;50682;93523;31304
303;5499;1961;25733
304;6946;76949;50582
305;860;64429;61567
306;20674;18396;2145
307;35096;4453;22906
308;9310;25097;15614
309;6281;17735;17690
310;37170;21610;23148
311;10897;2086;15345
312;3384;143;5806
313;26363;32736;74696
314;9593;41751;8229
315;22144;133111;5081
316;25605;21697;23640
317;45462;44099;31713
318;40971;5979;4783
319;1752;23646;69642
320;16381;4057;5876
321;19516;18021;40089
322;6654;10465;91790
323;22784;29154;10945
324;11944;11996;4774
325;9489;71245;8399
326;19609;1197;1052
327;24068;8137;10737
328;7369;1885;1737
329;7314;13853;57771
330;22415;2933;17928
331;1969;1137;7894
332;16211;22311;2462
333;1246;7876;14198
334;4747;27152;11909
335;5601;51245;7925
336;6696;32661;23143
337;5365;13847;36319
338;31696;11293;28694
339;24080;855;2955
340;54171;7345;61881
341;20997;19261;20413
342;2759;14553;5652
343;16246;7412;37274
344;2387;87350;46190
345;8501;13338;4684
346;11744;34658;158183
347;41502;27366;12103
348;9565;5784;34161
349;4244;13246;18271
350;4914;13013;3409
351;997;14115;4001
352;26043;11966;67212
353;1513;37093;3856
354;21964;6035;17749
355;3382;4259;96614
356;11455;215;15660
357;10353;62681;14102
358;5518;19991;1043
359;29808;110150;4337
360;5557;1263;45624
361;49974;42401;7303
362;5081;36644;29206
363;6752;7150;29841
364;37093;7455;5026
365;4258;59120;6300
366;14051;17855;14192
367;20387;34781;23169
368;67249;16089;38666
369;2972;45853;18167
370;11657;6577;24611
371;17178;57210;5964
372;8253;23292;3282
373;16321;25357;11057
374;15423;17717;18936
375;5075;57733;22963
376;18896;10694;6242
377;7729;30451;12650
378;8675;21988;7716
379;21938;30975;89994
380;5672;7485;20239
381;4272;860;20739
382;61807;23309;7002
383;852;17854;5393
384;24911;36121;1101
385;12045;5903;1861
386;41447;11322;42205
387;12377;17497;6365
388;1368;9233;63337
389;9926;49422;30968
390;1467;32097;11826
391;15363;29201;15048
392;12244;14881;7751
393;5016;3690;58847
394;14637;13675;69582
395;12170;56979;2341
396;10456;10047;62222
397;15578;1486;24937
398;11456;28890;8583
399;18696;79956;126730
400;12720;150148;2144
401;27888;56974;10548
402;38022;34503;937
403;2059;10686;2751
404;14125;14766;7573
405;40659;21228;2697
406;48972;45218;14448
407;30698;40868;9432
408;6297;35862;41853
409;18227;23211;25558
410;12834;5692;19711
411;40541;9484;40490
412;12941;3512;12442
413;3295;56;26625
414;2439;13171;408
415;22694;53620;21789
416;2160;58409;19158
417;10733;67819;16758
418;16287;46045;7897
419;39009;53066;14366
420;46254;25895;12064
421;11281;17934;7874
422;9374;24124;2819
423;16831;26232;31126
424;4567;52495;107977
425;5510;14334;40744
426;4657;35163;35274
427;34488;82636;1552
428;1726;1177;26161
429;28261;17376;29307
430;93556;8910;5593
431;14473;21773;16813
432;26893;59861;17448
433;6251;30629;7280
434;6657;17689;14824
435;16912;11081;10938
436;40791;23533;46340
437;96549;18593;59148
438;1724;7141;54678
439;16346;7750;110242
440;15624;6246;20632
441;3260;38238;31740
442;45072;33862;14006
443;49306;25282;20973
444;58549;7438;38672
445;12236;67596;27474
446;8269;33871;16939
447;9029;28058;2951
448;10332;24228;4060
449;17749;59140;21556
450;21163;37710;108212
451;56065;16647;32169
452;22541;25651;5490
453;3600;17035;17969
454;5664;34071;9942
455;5866;6737;4377
456;16327;152115;48437
457;1971;30896;10465
458;2642;31476;11252
459;5112;37748;22328
460;4509;50688;145098
461;45162;12060;14618
462;34822;74408;60963
463;839;39130;13871
464;5807;10291;120948
465;15607;2352;4382
466;14097;72387;286
467;1896;186990;14545
468;22738;38915;59789
469;16924;25869;1761
470;16033;18229;26770
471;28762;3045;40310
472;17059;38779;43199
473;53;148037;54726
474;20549;62718;2824
475;15076;21774;11953
476;520;10183;19875
477;7220;8369;3738
478;19893;27505;40782
479;2625;16140;9756
480;50821;9453;1325
481;4068;46825;34726
482;48042;17435;29447
483;10396;3737;24503
484;11024;9465;9881
485;31312;38160;138741
486;7025;33448;7957
487;7655;9693;26780
488;87487;7931;1514
489;18264;24478;905
490;8244;52470;19081
491;44120;78659;67709
492;7654;3869;67855
493;7366;79566;33448
494;18153;10103;22794
495;19924;8440;94293
496;16128;6021;64052
497;39470;22995;44812
498;15837;58682;17001
499;1633;3757;627
500;1875;22559;49400
501;28628;12150;2801
502;6863;45349;27219
503;9112;25954;22623
504;30632;36182;4703
505;4601;11461;90472
506;405;15674;44037
507;2088;1924;21741
508;19199;43832;3559
509;1981;67249;19866
510;46683;7780;38785
511;32856;12493;16679
512;1030;13051;1575
513;32786;47966;79189
514;1795;1456;1966
515;64077;15265;145377
516;3660;61639;48963
517;6920;4137;49235
518;12861;4478;985
519;12048;40164;52964
520;17735;37453;17911
521;10382;26069;16368
522;27224;17386;74152
