id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
1000;2;100;0,10;1000;0;7;1;245;0,245
1001;2;200;0,10;1000;0;11;2;170;0,170
1002;2;300;0,10;1000;0;14;2;177;0,177
1003;2;400;0,10;1000;0;14;3;147;0,147
1004;2;500;0,10;1000;0;15;3;123;0,123
1005;2;1000;0,10;1000;0;22;5;87;0,087
1006;2;2000;0,10;1000;0;37;7;80;0,080
1007;2;5000;0,10;1000;0;51;11;36;0,036
1008;2;10000;0,10;1000;0;70;16;42;0,042
1009;2;20000;0,10;1000;0;114;24;21;0,021
1010;2;50000;0,10;1000;0;169;38;7;0,007
1011;2;100000;0,10;1000;0;222;53;9;0,009
1012;2;500000;0,10;1000;0;506;114;3;0,003
1013;2;50;0,20;1000;0;6;1;291;0,291
1014;2;100;0,20;1000;0;9;2;205;0,205
1015;2;150;0,20;1000;0;14;2;142;0,142
1016;2;200;0,20;1000;0;13;2;162;0,162
1017;2;250;0,20;1000;0;19;3;129;0,129
1018;2;500;0,20;1000;0;21;4;89;0,089
1019;2;1000;0,20;1000;0;30;6;78;0,078
1020;2;2500;0,20;1000;0;43;11;40;0,040
1021;2;5000;0,20;1000;0;61;15;32;0,032
1022;2;10000;0,20;1000;0;89;22;22;0,022
1023;2;25000;0,20;1000;0;185;36;11;0,011
1024;2;50000;0,20;1000;0;241;51;13;0,013
1025;2;250000;0,20;1000;0;517;113;2;0,002
1026;2;33;0,30;1000;0;7;1;323;0,323
1027;2;66;0,30;1000;0;10;1;235;0,235
1028;2;100;0,30;1000;0;11;2;182;0,182
1029;2;133;0,30;1000;0;12;2;161;0,161
1030;2;166;0,30;1000;0;15;3;133;0,133
1031;2;333;0,30;1000;0;24;4;101;0,101
1032;2;666;0,30;1000;0;28;6;75;0,075
1033;2;1666;0,30;1000;0;43;10;39;0,039
1034;2;3333;0,30;1000;0;59;14;38;0,038
1035;2;6666;0,30;1000;0;80;21;19;0,019
1036;2;16666;0,30;1000;0;130;32;11;0,011
1037;2;33333;0,30;1000;0;187;47;5;0,005
1038;2;166666;0,30;1000;0;495;101;4;0,004
1039;2;25;0,40;1000;0;5;1;308;0,308
1040;2;50;0,40;1000;0;8;1;248;0,248
1041;2;75;0,40;1000;0;10;2;190;0,190
1042;2;100;0,40;1000;0;12;2;162;0,162
1043;2;125;0,40;1000;0;14;2;138;0,138
1044;2;250;0,40;1000;0;18;4;116;0,116
1045;2;500;0,40;1000;0;24;5;75;0,075
1046;2;1250;0,40;1000;0;41;9;48;0,048
1047;2;2500;0,40;1000;0;54;13;30;0,030
1048;2;5000;0,40;1000;0;82;19;19;0,019
1049;2;12500;0,40;1000;0;123;30;10;0,010
1050;2;25000;0,40;1000;0;170;45;10;0,010
1051;2;125000;0,40;1000;0;409;92;4;0,004
1052;2;20;0,50;1000;0;4;0;385;0,385
1053;2;40;0,50;1000;0;6;1;285;0,285
1054;2;60;0,50;1000;0;10;1;207;0,207
1055;2;80;0,50;1000;0;10;2;194;0,194
1056;2;100;0,50;1000;0;12;2;162;0,162
1057;2;200;0,50;1000;0;16;3;115;0,115
1058;2;400;0,50;1000;0;21;5;93;0,093
1059;2;1000;0,50;1000;0;42;8;53;0,053
1060;2;2000;0,50;1000;0;59;12;38;0,038
1061;2;4000;0,50;1000;0;68;17;30;0,030
1062;2;10000;0,50;1000;0;142;27;15;0,015
1063;2;20000;0,50;1000;0;188;39;12;0,012
1064;2;100000;0,50;1000;0;374;89;7;0,007
1065;2;16;0,60;1000;0;4;0;414;0,414
1066;2;33;0,60;1000;0;6;1;318;0,318
1067;2;50;0,60;1000;0;9;1;255;0,255
1068;2;66;0,60;1000;0;9;1;205;0,205
1069;2;83;0,60;1000;0;10;2;204;0,204
1070;2;166;0,60;1000;0;16;3;112;0,112
1071;2;333;0,60;1000;0;22;4;93;0,093
1072;2;833;0,60;1000;0;36;7;64;0,064
1073;2;1666;0,60;1000;0;49;10;43;0,043
1074;2;3333;0,60;1000;0;66;15;35;0,035
1075;2;8333;0,60;1000;0;95;24;20;0,020
1076;2;16666;0,60;1000;0;151;36;17;0,017
1077;2;83333;0,60;1000;0;336;79;7;0,007
1078;2;14;0,70;1000;0;4;0;489;0,489
1079;2;28;0,70;1000;0;6;1;346;0,346
1080;2;42;0,70;1000;0;7;1;264;0,264
1081;2;57;0,70;1000;0;7;1;240;0,240
1082;2;71;0,70;1000;0;9;1;234;0,234
1083;2;142;0,70;1000;0;13;2;164;0,164
1084;2;285;0,70;1000;0;19;4;97;0,097
1085;2;714;0,70;1000;0;31;6;68;0,068
1086;2;1428;0,70;1000;0;45;9;43;0,043
1087;2;2857;0,70;1000;0;56;13;33;0,033
1088;2;7142;0,70;1000;0;95;22;22;0,022
1089;2;14285;0,70;1000;0;115;31;14;0,014
1090;2;71428;0,70;1000;0;322;68;6;0,006
1091;2;12;0,80;1000;0;3;0;586;0,586
1092;2;25;0,80;1000;0;5;0;387;0,387
1093;2;37;0,80;1000;0;6;1;318;0,318
1094;2;50;0,80;1000;0;8;1;301;0,301
1095;2;62;0,80;1000;0;7;1;248;0,248
1096;2;125;0,80;1000;0;9;2;203;0,203
1097;2;250;0,80;1000;0;14;3;120;0,120
1098;2;625;0,80;1000;0;27;5;92;0,092
1099;2;1250;0,80;1000;0;33;8;58;0,058
1100;2;2500;0,80;1000;0;54;10;32;0,032
1101;2;6250;0,80;1000;0;74;17;27;0,027
1102;2;12500;0,80;1000;0;101;24;22;0,022
1103;2;62500;0,80;1000;0;229;55;12;0,012
1104;2;11;0,90;1000;0;2;0;724;0,724
1105;2;22;0,90;1000;0;3;0;604;0,604
1106;2;33;0,90;1000;0;4;0;451;0,451
1107;2;44;0,90;1000;0;4;0;401;0,401
1108;2;55;0,90;1000;0;6;0;359;0,359
1109;2;111;0,90;1000;0;7;1;263;0,263
1110;2;222;0,90;1000;0;10;2;196;0,196
1111;2;555;0,90;1000;0;17;3;117;0,117
1112;2;1111;0,90;1000;0;22;5;90;0,090
1113;2;2222;0,90;1000;0;35;7;69;0,069
1114;2;5555;0,90;1000;0;51;12;41;0,041
1115;2;11111;0,90;1000;0;80;18;28;0,028
1116;2;55555;0,90;1000;0;162;40;12;0,012
1117;4;100;0,10;1000;0;4;0;465;0,465
1118;4;200;0,10;1000;0;7;1;355;0,355
1119;4;300;0,10;1000;0;9;1;297;0,297
1120;4;400;0,10;1000;0;9;1;262;0,262
1121;4;500;0,10;1000;0;14;2;236;0,236
1122;4;1000;0,10;1000;0;14;2;182;0,182
1123;4;2000;0,10;1000;0;27;4;129;0,129
1124;4;5000;0,10;1000;0;39;6;92;0,092
1125;4;10000;0,10;1000;0;54;9;63;0,063
1126;4;20000;0,10;1000;0;66;13;40;0,040
1127;4;50000;0,10;1000;0;111;22;22;0,022
1128;4;100000;0,10;1000;0;165;31;15;0,015
1129;4;500000;0,10;1000;0;366;70;5;0,005
1130;4;50;0,20;1000;0;4;0;476;0,476
1131;4;100;0,20;1000;0;7;1;370;0,370
1132;4;150;0,20;1000;0;9;1;331;0,331
1133;4;200;0,20;1000;0;12;1;265;0,265
1134;4;250;0,20;1000;0;10;1;282;0,282
1135;4;500;0,20;1000;0;13;2;190;0,190
1136;4;1000;0,20;1000;0;18;4;134;0,134
1137;4;2500;0,20;1000;0;35;6;69;0,069
1138;4;5000;0,20;1000;0;49;9;64;0,064
1139;4;10000;0,20;1000;0;69;13;41;0,041
1140;4;25000;0,20;1000;0;136;20;34;0,034
1141;4;50000;0,20;1000;0;155;30;18;0,018
1142;4;250000;0,20;1000;0;337;67;13;0,013
1143;4;33;0,30;1000;0;4;0;528;0,528
1144;4;66;0,30;1000;0;6;1;412;0,412
1145;4;100;0,30;1000;0;7;1;340;0,340
1146;4;133;0,30;1000;0;10;1;299;0,299
1147;4;166;0,30;1000;0;11;1;275;0,275
1148;4;333;0,30;1000;0;15;2;210;0,210
1149;4;666;0,30;1000;0;23;3;137;0,137
1150;4;1666;0,30;1000;0;33;6;83;0,083
1151;4;3333;0,30;1000;0;54;8;56;0,056
1152;4;6666;0,30;1000;0;64;11;56;0,056
1153;4;16666;0,30;1000;0;93;19;25;0,025
1154;4;33333;0,30;1000;0;136;26;19;0,019
1155;4;166666;0,30;1000;0;514;60;15;0,015
1156;4;25;0,40;1000;0;3;0;545;0,545
1157;4;50;0,40;1000;0;5;0;384;0,384
1158;4;75;0,40;1000;0;6;1;351;0,351
1159;4;100;0,40;1000;0;7;1;319;0,319
1160;4;125;0,40;1000;0;10;1;302;0,302
1161;4;250;0,40;1000;0;12;2;211;0,211
1162;4;500;0,40;1000;0;19;3;153;0,153
1163;4;1250;0,40;1000;0;32;5;90;0,090
1164;4;2500;0,40;1000;0;38;7;74;0,074
1165;4;5000;0,40;1000;0;68;11;49;0,049
1166;4;12500;0,40;1000;0;83;18;35;0,035
1167;4;25000;0,40;1000;0;172;26;17;0,017
1168;4;125000;0,40;1000;0;335;55;12;0,012
1169;4;20;0,50;1000;0;3;0;589;0,589
1170;4;40;0,50;1000;0;5;0;434;0,434
1171;4;60;0,50;1000;0;5;1;396;0,396
1172;4;80;0,50;1000;0;7;1;351;0,351
1173;4;100;0,50;1000;0;7;1;307;0,307
1174;4;200;0,50;1000;0;12;2;248;0,248
1175;4;400;0,50;1000;0;16;3;178;0,178
1176;4;1000;0,50;1000;0;22;5;107;0,107
1177;4;2000;0,50;1000;0;41;7;81;0,081
1178;4;4000;0,50;1000;0;67;10;45;0,045
1179;4;10000;0,50;1000;0;94;15;45;0,045
1180;4;20000;0,50;1000;0;123;23;20;0,020
1181;4;100000;0,50;1000;0;275;54;16;0,016
1182;4;16;0,60;1000;0;3;0;637;0,637
1183;4;33;0,60;1000;0;5;0;508;0,508
1184;4;50;0,60;1000;0;6;0;396;0,396
1185;4;66;0,60;1000;0;6;1;385;0,385
1186;4;83;0,60;1000;0;7;1;357;0,357
1187;4;166;0,60;1000;0;11;1;247;0,247
1188;4;333;0,60;1000;0;14;2;179;0,179
1189;4;833;0,60;1000;0;23;4;112;0,112
1190;4;1666;0,60;1000;0;33;6;90;0,090
1191;4;3333;0,60;1000;0;49;9;65;0,065
1192;4;8333;0,60;1000;0;90;14;46;0,046
1193;4;16666;0,60;1000;0;105;21;29;0,029
1194;4;83333;0,60;1000;0;274;49;18;0,018
1195;4;14;0,70;1000;0;3;0;695;0,695
1196;4;28;0,70;1000;0;4;0;569;0,569
1197;4;42;0,70;1000;0;4;0;473;0,473
1198;4;57;0,70;1000;0;5;0;417;0,417
1199;4;71;0,70;1000;0;6;1;375;0,375
1200;4;142;0,70;1000;0;10;1;282;0,282
1201;4;285;0,70;1000;0;14;2;220;0,220
1202;4;714;0,70;1000;0;18;3;138;0,138
1203;4;1428;0,70;1000;0;32;5;110;0,110
1204;4;2857;0,70;1000;0;43;7;74;0,074
1205;4;7142;0,70;1000;0;70;12;58;0,058
1206;4;14285;0,70;1000;0;89;17;31;0,031
1207;4;71428;0,70;1000;0;223;42;14;0,014
1208;4;12;0,80;1000;0;2;0;776;0,776
