;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030
0;102990;34832;48739;62373;14137;51257;334333;156139
1;130076;176400;3952;65009;81045;89009;51304;43829
2;15748;1160;11161;3013;20460;87722;9826;64285
3;5384;7117;11599;7728;33378;48578;104090;73853
4;57235;30883;13221;45160;7190;85111;177684;76002
5;169888;15751;5819;106150;23552;138178;128648;11595
6;112290;95440;30131;52036;82224;50304;33467;116229
7;11302;82306;16939;27772;9137;30014;108183;233683
8;51510;33089;51354;1663;17482;93337;158208;97975
9;5247;36031;56367;1935;24694;58466;93119;241658
10;8290;12244;13381;2447;54190;19765;50652;27152
11;39050;17978;60731;3400;2818;39200;42226;61087
12;53286;4957;23129;5180;119277;42036;155604;114948
13;3082;6457;5581;2981;6339;8437;114456;53827
14;30001;144274;4385;19510;51550;16703;172634;175456
15;42647;21144;36447;50718;13027;18057;33248;337554
16;21693;14717;7363;17595;5660;118285;120083;231960
17;74833;799;98145;33648;31434;33890;20782;72144
18;7318;35927;17778;21925;24915;150844;34316;220159
19;32164;21740;11683;212;50196;61077;18751;208960
20;13846;27078;19864;37784;23476;2693;132333;107540
21;453;18179;4074;28257;4255;82073;9522;180467
22;846;31078;4190;11623;29401;41073;365019;103702
23;3825;80503;30297;12464;47448;24755;399017;369127
24;45150;11532;64734;5241;17732;8882;282368;41338
25;63543;4792;41312;32870;18033;204592;52383;71779
26;3152;7825;8989;7520;16167;54348;40207;333293
27;8526;33688;5321;5547;4162;107641;18914;87302
28;4454;6644;3423;6478;21221;39263;25698;7998
29;31809;11984;3785;2428;30338;68586;307488;320057
30;7983;105240;55882;5971;3943;28915;99279;185290
31;1950;1110;15285;2071;39086;4006;51938;17650
32;14666;859;107083;1107;34331;31240;16614;28983
33;12080;61700;2419;41951;9533;49257;125808;128796
34;18098;30570;14560;17148;16984;2781;225334;101994
35;9324;40414;23824;28496;10003;2525;62176;31566
36;3680;4005;7732;11460;17630;38631;16964;308874
37;4797;36259;49913;10419;3114;133955;110376;74300
38;44346;260;20842;54607;269;25361;145691;69983
39;8932;66978;26944;6671;5811;436;62859;35031
40;6267;7620;11206;12541;17596;97484;112491;13567
41;113005;5101;31126;13518;1651;32599;26587;499871
42;72992;35049;17817;1739;2486;42103;374659;49322
43;71342;11974;57627;14671;73271;8558;284326;104557
44;104873;15762;20238;468;82780;472;60895;498587
45;50737;52978;13919;19603;59824;25217;8654;208680
46;1710;17302;387;16879;11979;160787;89732;219969
47;4309;55537;27127;85391;49837;28798;37804;572452
48;15542;27588;49516;28309;75184;10952;172671;68642
49;186519;10297;2401;7511;30302;3225;64365;262802
50;33063;18453;22905;56088;13614;48938;36274;3294
51;17140;31488;15549;5273;21782;5724;1263;77319
52;119739;12367;8079;23694;7033;27803;143423;113414
53;14538;10461;32494;17582;50389;77335;16453;58592
54;28904;3719;12104;4162;49746;17373;62160;174975
55;50322;399;74524;5500;32068;105295;37709;99954
56;2163;3900;1029;152158;1320;31986;121200;76454
57;19537;4400;7440;71929;4116;51794;16159;198725
58;30905;19983;29423;32898;32374;24908;132260;174098
59;46581;44463;4780;10651;59676;24699;299872;84372
60;9164;7209;66261;45991;743;8489;56131;116096
61;7084;45991;37255;26562;74873;59110;204576;244262
62;21973;10457;2320;12212;47170;17242;88492;254908
63;107601;36317;2265;41022;33701;96682;99295;146719
64;37599;120779;11136;38962;59094;25536;299759;71161
65;297819;16847;14539;14472;14600;8990;126783;184566
66;10119;8869;15228;16845;194553;216669;41374;83617
67;35449;41267;4170;38486;16615;19760;96242;124984
68;1674;5775;16564;24898;47316;55614;254528;108483
69;53811;17812;6833;4315;1046;59283;69342;120287
70;6291;72760;69182;43801;39701;46333;94603;34448
71;9230;20818;12706;32535;5368;76834;236569;146819
72;26181;5750;18048;11289;14398;25714;88166;171526
73;52951;33204;86470;17377;53461;11496;39937;49135
74;25721;23162;2165;30166;35073;53220;88296;180522
75;3429;17767;16706;14536;3211;2871;76861;30179
