;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;31229;15237;2830;195746;7622;3754;53533;11969;119057
1;55221;10078;9284;10150;20495;24233;17835;10653;39694
2;125637;15728;21679;8225;18001;42674;27850;33268;15251
3;671;18430;51715;1811;40562;21830;2258;9159;47785
4;3093;6997;7092;5851;8419;54313;8311;707;6560
5;8422;27782;38625;21443;13626;774;53066;28637;3025
6;88550;13955;7864;25923;62865;2156;41066;51790;14762
7;8688;69958;54311;24662;25465;733;5491;647;26103
8;10235;16266;36965;9554;8500;672;33426;14016;2462
9;13539;115015;23237;10354;21192;720;16048;9893;11984
10;5573;6922;2225;303274;4375;19878;29091;15623;1823
11;99904;14666;27677;19776;9370;29332;4329;65637;110210
12;70950;6578;34686;8723;11857;238988;26766;93351;3200
13;6534;20123;16724;2642;98552;56029;13165;14750;25002
14;40255;135199;13834;17131;1226;35046;24808;6610;30675
15;23957;1560;14065;19770;10558;155920;94784;32617;10122
16;5214;66689;3550;33629;253;5393;463;48286;182112
17;8211;26573;36223;63546;18744;3114;59400;4243;1851
18;8036;11257;78862;20220;6965;75627;26481;12188;19637
19;66451;22440;21670;10926;7088;2232;83811;101853;1778
20;849;17777;89552;11943;18422;16022;27076;313;11664
21;29134;25968;24251;15131;311;4724;19901;17564;21620
22;26632;66658;98600;11812;5737;4363;186848;38340;17502
23;14963;31527;2390;64247;16638;24267;33242;14245;7147
24;11816;2279;11976;5831;5916;10830;32255;10076;15973
25;66436;29823;30100;3514;8376;33436;28805;44333;16934
26;11530;106089;16991;5057;1105;20822;6888;20262;23111
27;124542;12235;25462;45234;33916;3911;2039;10457;32362
28;5773;6081;17366;7168;3225;13465;89459;51086;13163
29;39722;33433;47715;13005;24325;4640;1088;68184;71127
30;940;40767;12679;48683;492;3865;23024;13529;38804
31;4412;37526;10873;104255;2873;1256;7277;15138;14993
32;108445;26651;4759;19719;20461;40863;10061;4946;21517
33;14598;750;605;1336;62;55017;50183;13103;27524
34;17141;21308;15083;13907;11425;7333;6146;23232;709
35;2015;14787;67775;304;29324;26737;7108;15997;3695
36;8883;1763;22589;9136;4990;15727;8864;715;7711
37;2994;34088;2189;49927;11696;30810;27895;48836;4009
38;62156;8435;22389;27730;26889;5778;46903;18594;35982
39;61059;80510;94276;27539;30003;19866;2638;122786;63992
40;5337;110774;8773;29210;7521;10604;14196;3707;32549
41;9949;6922;54796;31794;4207;33927;29092;36430;193075
42;14125;116165;51183;18958;26743;5566;5491;19570;4008
43;615;26774;3015;1692;4240;84929;5982;19021;99621
44;31946;74210;77359;7292;39075;130167;53980;20948;61274
45;946;27286;17186;7207;14232;9100;41023;16042;104825
46;21542;6703;47633;2338;2289;40679;220433;9856;32600
47;69518;28453;2374;4202;33442;2944;6711;23297;89901
48;60990;9744;32715;1834;172;65482;5321;22920;15165
49;26441;106987;4534;2076;8491;20399;47761;79048;44034
50;13324;13304;34353;88458;79527;16240;7468;52906;9839
51;32859;27391;5147;2733;34626;1495;96283;110664;2219
52;69705;8324;4543;187944;8898;1334;10557;8128;49920
53;18170;198360;19763;25907;103744;4199;3360;5897;2187
54;33001;22209;49537;13559;6255;47546;94144;46118;28962
55;33788;6655;21304;3980;24998;3233;143428;15292;2252
56;29137;27663;20278;530;34823;16185;2162;26325;5519
57;7529;6291;15418;280;17345;29887;29091;35243;3545
58;19805;2361;11686;46702;8649;51456;8778;37114;33437
59;29386;39417;85482;36164;5932;45761;6394;71413;11407
60;4608;18180;17466;8020;14762;13084;25466;8869;19467
61;60937;90353;29969;16595;19137;7661;141089;82217;11053
62;111763;78866;11797;4033;14559;5694;27205;8783;58864
63;45697;32284;1169;2454;723;83810;8105;55835;44396
64;10318;23878;116674;17649;12117;15017;14747;33609;6180
65;70094;32385;75657;34704;38968;24012;35775;2842;32650
66;2285;12067;25769;8813;3652;109533;14327;212024;33102
67;6387;49066;31005;11798;15252;1583;6639;8568;14533
68;73700;14792;123;42003;29014;67359;156384;3245;52943
69;6864;7530;1819;10238;4819;9709;20217;31398;11449
70;9654;6454;2817;6923;11029;24147;2258;8569;19843
71;38979;40029;86809;74133;22015;29471;6762;35227;8221
72;29550;12788;44361;589;18840;200413;9314;75112;4496
73;3387;10590;5758;12343;4361;11538;45765;39809;11681
74;54472;68044;6063;9350;26451;12686;44855;19808;23371
75;61628;15641;7570;31122;83446;207401;2631;6935;14607
76;20265;1827;8402;8487;2322;50683;1120;83472;12963
77;17457;2423;5671;28915;18901;6277;8773;121710;3523
78;49939;31783;31027;5986;28689;7237;31430;30448;39768
79;34022;52365;6931;47754;75362;9799;41590;537;8567
80;52138;66351;85189;9664;2187;35923;23057;54007;14304
81;19921;25763;54793;16448;181448;21429;30255;12332;12138
82;8427;39637;13119;1608;8060;6518;241;4449;35635
83;33244;78875;24316;30093;6530;50811;89804;4475;88425
84;23775;6824;36092;21485;8376;17823;130285;3810;1591
85;3167;33846;5695;53025;20871;7534;12211;1479;12155
86;6142;2742;41863;32222;893;19249;20710;161755;20434
87;68883;74387;10403;7321;68648;29811;2009;95303;61784
88;7456;50674;57677;37491;11892;36871;27793;18508;1722
89;3346;3340;1806;5731;2560;20950;13721;12006;16784
90;147324;8487;8383;7466;32170;18223;13075;14659;44922
91;29591;1733;6557;3443;3709;11618;153528;4596;18881
92;31107;44330;64758;25968;6612;25934;28933;7409;5277
93;93474;19254;52008;1777;7758;6104;21947;17231;15659
94;8485;3207;7431;38896;13752;80337;15067;14151;19866
95;8980;3825;30015;26951;33077;791;3482;2515;5489
96;23566;15818;16946;8183;26169;18291;10563;39790;31045
97;786;44897;5760;35276;18601;6053;16135;9109;265325
98;17674;12778;7779;26204;81000;76398;14651;97160;14629
99;15470;17551;80252;62634;32359;44565;17394;49580;6808
100;5015;19638;37997;22076;4265;9400;64388;4438;46680
101;93728;12554;8773;46259;35226;79360;13613;25246;2740
102;27264;14459;15105;1945;21645;4563;7246;15271;19457
103;33668;42849;28380;157727;386;28851;49767;10467;33834
104;4707;50806;19177;91592;29442;5214;14665;3677;103239
105;21700;9110;29319;563;8446;29030;17927;2453;201972
106;5417;11399;42629;28715;55380;14381;23268;10523;35995
107;3478;41623;69562;12553;12439;9889;41864;2596;933
108;55576;33068;6302;46216;22050;2970;1400;30022;19408
109;10737;5842;46359;42560;3412;108416;183459;7201;8641
110;40465;18727;108697;2662;6232;59006;29390;4949;29823
111;32480;6821;3773;50343;12289;44223;371;16708;36725
112;96964;3419;3290;3879;646;26619;26629;6791;253750
113;155712;19705;7334;4294;4416;10832;7640;95641;21815
114;17938;2007;6931;32869;1853;40146;55040;28517;45168
115;33925;1831;26124;124144;30977;132718;1387;237516;15356
116;158242;40415;11127;1126;49180;36293;50148;25242;24927
117;115614;20812;16290;11873;26260;145648;18532;4160;29680
118;92107;4636;10597;13727;1597;23797;6075;39730;127907
119;33169;4995;1198;1446;54632;16499;6427;101151;48480
120;5344;35183;86274;190712;8657;33476;23704;632;4320
121;44553;37100;8220;3705;45802;27667;401;35039;40515
122;21228;134637;34911;592;46625;2302;9326;55061;20155
123;23696;2019;158416;12469;42256;4061;39653;76426;6488
124;2009;10232;2347;42154;41289;22631;20647;61259;7565
125;18819;662;61199;1591;36401;6755;26756;25200;19332
126;102670;2516;32244;593;43673;11250;98509;22237;16174
127;6108;27446;7884;14424;16265;13608;80663;31081;72873
128;87163;20890;45003;273507;37892;31776;44806;11102;51955
129;74556;75130;58056;15971;7703;21884;9524;79282;47382
130;7858;2161;3675;6416;4285;49099;964;17028;17421
131;15818;152110;21760;67238;765;2424;8110;84025;69383
132;34181;17028;72232;856;452;1290;17439;819;3719
133;39867;17793;64830;791;10832;2810;41105;11229;7864
134;24853;7906;21283;23567;2046;26712;19990;3594;31353
135;20359;21695;11206;5051;215;22564;71946;12524;5343
136;48442;35832;66831;19934;4709;34909;1922;39847;13137
137;35751;45752;21893;14759;34953;1574;14959;13670;19951
138;64579;13632;3971;6150;38364;88550;19395;12163;12371
139;5007;42942;38242;16646;13531;48120;53552;7144;10894
140;3696;22081;3103;222;20121;10138;10377;5146;27372
141;13582;20611;2246;2154;20640;57265;155332;11037;6328
142;37177;11646;34448;3074;538;829;15678;89786;794
143;10055;2016;63566;83972;5130;24899;3056;259;28234
144;51159;16201;7352;8904;4523;14650;2509;13095;47026
145;70301;16552;16918;7101;3741;62325;1540;51838;6785
146;15826;2536;1696;38850;19862;4862;14259;27223;24966
147;88766;76101;30189;6452;26989;154;1318;9441;77692
148;11479;35382;1079;4806;33424;69150;9740;12308;10039
149;185741;45208;6991;5393;1966;9962;63701;31683;111737
150;753;36747;15889;73374;76721;67476;16090;1580;4829
151;28771;34027;72115;128024;690;29499;35453;3456;161432
152;4446;68324;9160;14346;815;3872;200;138149;10941
153;10875;11283;24607;968;5130;24897;25612;11960;81628
154;203149;34279;34954;27535;3026;8776;15715;17666;24896
155;12677;11598;283;6149;43113;155317;24884;3925;26528
156;101985;68700;23528;3618;26749;12357;15186;5890;3078
157;147985;67602;1307;68867;9736;73604;17777;9396;728
