;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;612;49342;22426;6214;91322;724;15328
1;fail;12108;6853;45217;3619;17592;18201
2;fail;9012;46949;2913;4283;14678;4818
3;4259;71469;33623;1885;71400;16146;39233
4;fail;26363;93808;4055;15512;31998;7876
5;12555;10466;5145;78161;3847;108110;17430
6;46630;8994;46477;11813;20234;20266;1648
7;fail;12275;9529;43214;14097;9086;14080
8;3261;39548;183800;1650;2881;41975;8124
9;fail;7776;6856;52719;62381;6770;1067
10;3954;40299;31015;14652;37997;43039;4497
11;10532;9463;30067;14750;140;3745;1942
12;4913;9235;25401;96942;11244;247;51549
13;8631;61135;11225;48428;5296;5614;7141
14;fail;18392;6797;13062;116667;4305;27414
15;2644;61938;105715;1596;11032;10855;573
16;fail;9012;55947;7775;2198;779;44887
17;33308;16896;38493;33734;1015;25672;20358
18;14671;52805;6274;6515;3107;6652;2567
19;3281;3141;8172;70243;3986;3582;53619
20;1295;6926;5951;33914;93737;26632;6648
21;27992;31371;9554;86260;26970;5105;37179
22;15814;18513;41773;12082;159499;93699;10325
23;fail;1051;16970;63453;26348;20546;21146
24;3440;12787;2764;4320;305;14021;29240
25;fail;307;45143;32064;46872;56282;3391
26;fail;6000;5840;2937;768;10871;33287
27;502;12015;10792;24820;12877;35574;21271
28;4472;6574;38893;66637;6925;1269;12383
29;13995;77777;72441;18701;69670;18246;8096
30;15923;10678;287;24318;35144;16637;47806
31;11145;5129;722;372;36986;82;86116
32;fail;21559;9189;44790;8940;61745;90522
33;14961;8327;13762;10660;42634;98157;10343
34;3811;5268;6916;43987;19137;22321;109577
35;4827;28633;20607;31154;8964;22178;646
36;17415;10559;177160;13666;14710;25172;6630
37;fail;804;4264;3960;2703;10923;16934
38;fail;34312;24828;65496;37064;40437;16493
39;13720;9264;38354;44535;3861;38832;11657
40;fail;9403;8377;2260;58209;5698;11726
41;2100;4456;17369;15851;90163;38338;13725
42;15736;31785;20770;10014;19617;13474;16815
43;6483;10727;5106;37582;316;4220;60957
44;fail;43321;42628;66010;46348;7282;13515
45;fail;642;21874;124083;17506;17788;4673
46;780;4038;41887;60748;23540;1448;39826
47;fail;7767;58;37031;11915;6020;9417
48;4143;1515;2625;6396;48150;67517;10893
49;fail;45;15849;25940;72737;13954;2750
50;fail;1329;327;41374;44019;24791;2237
51;fail;26739;5693;5176;14996;69201;4365
52;7764;12300;39867;17463;11513;72069;29908
53;8524;79699;25008;28939;29318;139430;1171
54;5493;60664;27468;7877;20937;15175;12677
55;29466;32570;64552;24424;36980;27914;7613
56;10271;7812;44225;55022;8240;21633;25286
57;fail;44150;12828;7766;3471;10295;13162
58;fail;95606;16345;7079;76748;3051;66096
59;5779;4993;2184;15598;1299;10938;2550
60;fail;12881;3974;2833;7285;31475;8196
61;fail;7418;50594;15126;42310;3631;12681
62;7116;28119;11167;12579;12200;27987;4548
63;21526;2059;6644;31606;39752;31554;50110
64;2694;12702;4076;5120;892;109912;18672
65;fail;26176;5579;9325;10012;11196;1423
66;2179;19491;16541;11819;14529;9255;13060
67;4475;24252;48648;60505;1744;22317;28946
68;fail;30533;6449;3944;330;10845;12587
69;fail;4098;1919;131714;3545;11089;11848
70;fail;19955;72465;2437;2391;1718;13350
71;24082;6146;69008;4921;29441;3206;42043
72;12812;13905;34422;12104;4250;58721;11543
73;13592;13057;75717;9100;23301;59089;11459
74;25238;2059;20203;27538;5268;13072;9922
75;fail;10168;6506;70088;3387;9849;17955
76;fail;7176;9117;25324;112098;6000;18782
77;4755;28701;67914;6396;19231;5708;46633
78;4116;10563;18013;50281;16299;13570;11319
79;fail;2473;14981;14440;5872;15726;734
80;1469;7234;34525;50334;4494;31112;29794
81;fail;11933;5121;5216;6532;4755;12633
82;13674;6768;11282;13467;51459;2148;2959
83;fail;13419;13455;71726;11052;414;5579
84;fail;18003;54368;3905;46333;13041;13363
85;2075;16431;12003;18273;7264;152386;1523
86;30853;13675;20183;15235;12813;7761;26615
87;fail;8415;541;2455;42047;5467;24991
88;fail;7102;29210;13792;67643;59389;12720
89;fail;15774;23894;31502;7029;20230;7259
90;13817;43525;16253;10827;2237;17314;423
91;fail;26478;46995;29965;4377;9019;27524
92;fail;16192;9324;17771;2744;4447;94878
93;44275;898;3337;4370;42461;27199;39982
94;3791;28781;17522;36864;58387;8842;12326
95;fail;10058;49953;7861;7061;7516;7089
96;1295;9853;2559;28342;1638;49576;39131
97;769;28997;3608;72938;9383;482;402
98;11268;17520;2115;3820;7436;4268;19641
99;6311;47675;28775;49592;14968;1246;3760
100;fail;1800;43402;29288;25826;10875;6021
101;25964;3772;28246;3504;13868;13077;9027
102;fail;25117;13532;11902;12841;11012;13885
103;fail;25232;158;22042;17947;656;7969
104;17881;7197;67993;4472;43284;20912;38551
105;fail;4697;4764;7592;3047;32814;47964
106;1497;21863;59508;8047;4820;12366;25470
107;fail;11299;581;27167;39614;1883;4902
108;8848;4178;32853;24962;20793;37018;9197
109;5389;16724;8251;51797;1756;2272;34696
110;1881;11209;1138;26615;26628;2432;811
111;fail;14743;3303;22661;12023;14456;7224
112;8322;4064;22323;15752;23061;14732;29568
113;9026;27823;6891;25400;12698;62390;46791
114;39070;8528;3819;121199;24162;67459;9341
115;34388;2867;5622;79265;12378;18889;10249
116;913;27943;35034;8207;4063;18866;9380
117;fail;18140;14563;32002;403;7557;1342
118;fail;2554;11716;5899;39107;1222;33534
119;2863;49023;17858;7031;12924;101435;34354
120;fail;10110;1126;3545;102759;17066;91
121;fail;13831;28981;52364;25702;143208;20406
122;1274;29057;66888;6461;20914;10478;10781
123;14547;11596;5437;15002;45522;77882;15229
124;fail;9552;28783;7085;12816;85382;11921
125;33349;10977;66547;49150;48656;9380;7133
126;fail;3144;6204;15958;16600;733;23907
127;fail;4003;45690;66061;12824;38590;285
128;10348;9385;8708;3018;16503;21630;27748
129;2535;40380;8233;54005;22843;16926;29661
