;RLS-N2;EA2;pmut2.75
;10000;10000;10000
;921030;921030;921030
0;98137;63766;111567
1;84277;324425;274149
2;323879;462437;360393
3;47027;96470;87559
4;217918;9346;106253
5;177049;20663;57333
6;3664;207587;33173
7;24795;185256;126148
8;7389;254705;129677
9;114031;52560;170893
10;64134;27639;27297
11;27383;112904;151321
12;68959;132167;6992
13;39825;167175;667639
14;53528;698901;4001
15;170164;234326;46078
16;37347;625232;114821
17;24348;249079;40743
18;161104;391634;441680
19;118693;186338;209566
20;200903;444582;235784
21;36190;8457;136066
22;44325;19291;32811
23;38816;51390;fail
24;69465;313918;639646
25;92261;fail;14080
26;210182;155775;208191
27;14988;6750;604743
28;46452;169255;590506
29;207354;118507;157508
30;42103;191884;346391
31;99729;26509;38308
32;35862;395442;27343
