;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;fail;37497;3806;64471;132771;71935;19156
1;fail;198834;94164;22609;91455;135977;38306
2;fail;13263;101512;8325;113538;33702;30087
3;fail;7880;82503;51920;117775;15996;44398
4;fail;17873;135317;220066;250332;63614;56423
5;fail;12887;28033;11452;13144;83677;89753
6;fail;2287;92702;38069;47975;132755;5705
7;fail;33509;182859;69118;182448;81268;23395
8;fail;5455;116015;149305;3399;100710;132001
9;fail;46583;39750;9389;233990;50149;281695
10;fail;377691;465183;83119;408039;3065;86606
11;fail;57266;57742;174473;152998;8850;18758
12;fail;64336;294251;102103;47153;3130;118361
13;fail;209358;24292;55859;197542;231551;17951
14;fail;17119;8148;60644;40521;23353;31718
15;fail;140498;56393;26293;168239;85605;13314
16;fail;152873;53015;4704;32945;201339;106317
17;fail;237066;152562;117369;260026;39715;48913
18;fail;52308;95409;107138;18005;107605;136647
19;fail;94962;651039;34098;148875;74938;241707
20;fail;110478;150189;16409;161912;17225;39884
21;fail;44390;129255;139495;544123;322672;271767
22;fail;19037;77069;71365;192969;407858;24022
23;fail;31801;7027;8558;165304;778346;79072
24;fail;96579;91551;18086;122949;8758;121875
25;fail;113734;125817;12191;226238;105051;2036
26;fail;7446;25467;107073;50347;51941;218583
27;fail;8536;72039;38356;193056;14994;19261
28;fail;6132;127597;34244;114313;47361;17056
29;fail;81758;710286;37117;57129;430;164125
30;fail;144677;210766;103828;42650;174619;11447
31;fail;108471;262008;116556;43115;342231;31440
32;fail;65932;122733;399154;177621;181505;11360
33;fail;180382;18303;275712;283445;316687;112974
34;fail;15815;40265;52908;542072;259989;66634
35;fail;28878;6795;16900;85860;2667;1845
36;fail;16394;38482;151461;31681;126924;8744
37;fail;66919;31817;137321;360640;236381;46066
38;fail;264981;32967;79452;914797;350462;132502
39;fail;23854;16551;32569;82702;184551;24460
40;fail;10759;260586;452002;90364;419725;30370
41;fail;48956;75041;312236;63198;29727;12107
42;fail;7520;78407;127304;38852;5592;27325
43;fail;64277;204073;67477;176088;141026;569449
44;fail;311802;13593;109770;256314;129212;94754
45;fail;138571;15690;12648;203243;18724;10584
46;fail;21459;82336;13342;70130;125935;266794
47;fail;37506;274060;135765;36178;45372;3353
48;fail;59452;28055;72106;58000;219550;185290
49;fail;336591;5504;217674;128869;126103;137584
50;fail;533184;430281;12896;124156;fail;199829
51;fail;41458;2504;12062;103272;145892;29753
52;fail;2415;78625;262049;117646;141988;167898
53;fail;55947;151216;99139;438268;25867;427846
54;fail;119283;268025;561801;141870;8346;90914
55;fail;50276;25346;50143;223222;9399;53992
56;fail;113129;129422;16787;80504;27397;119227
57;fail;316764;599246;20931;241721;223284;39456
58;fail;54007;37927;13112;616271;416213;125308
59;fail;108499;70950;128072;227214;24029;186
60;fail;63664;34525;83708;128379;174052;98450
61;fail;41250;482600;33425;189663;52359;75204
62;fail;64880;27638;30366;67616;256633;43185
63;fail;19139;40741;12488;242812;229340;150661
64;fail;37512;2515;43952;123958;89490;349445
65;fail;1787;17181;90414;52624;6083;28308
66;fail;152960;209676;41649;144520;525884;160788
67;fail;7478;122609;154822;76544;153001;180863
68;fail;192558;135784;68238;445496;116354;74824
69;fail;15075;85248;76415;339046;2549;227020
70;fail;100784;805135;26493;143096;3050;495551
71;fail;33290;28633;40787;31122;136382;46624
72;fail;1140;40698;75507;69646;11626;211110
73;fail;42906;18299;90753;268127;197912;84465
74;fail;11994;12461;65754;538927;233062;153825
75;fail;26848;3796;87086;37135;379627;62769
76;fail;18305;41063;54528;65606;22211;98183
77;fail;95659;409462;393423;80274;590489;488680
78;fail;46882;91010;172495;275114;422621;63331
79;fail;25801;38944;3063;14918;7025;36670
80;fail;78111;279606;97422;23910;58575;553823
81;fail;52629;69440;96291;123132;149881;241939
82;fail;1773;64381;90893;117005;42043;6274
83;fail;132199;6726;65718;92250;222305;38756
84;fail;140223;65636;346498;33332;15647;45098
85;fail;168959;33161;282621;44792;107047;31183
86;fail;40784;299427;260961;68904;28546;37942
87;fail;173478;31316;41822;41992;39333;62115
88;fail;54888;14098;186314;69332;14978;3084
89;fail;20919;15126;25159;45114;332858;241545
90;fail;10687;9685;7104;19769;191794;100142
91;fail;28107;285640;150896;247399;235676;88485
92;fail;4111;114421;62699;6910;67121;286053
93;fail;185737;1631;88338;7851;181829;84608
94;fail;56717;51504;241205;3779;2326;162799
95;fail;7819;33591;32592;13613;411759;121110
96;fail;90986;10699;165150;292118;54790;232649
97;fail;48189;139214;8203;273840;375263;275476
98;fail;256516;251654;570988;29057;235269;201950
99;fail;54467;27251;190925;90612;154284;432151
100;fail;5807;94769;247904;161969;12581;225187
101;fail;6130;117579;72059;43656;44263;44040
102;fail;28151;60805;176120;56755;217064;28714
103;fail;106122;37316;69547;35041;547311;63049
104;fail;48978;43448;33757;344236;21948;185443
105;fail;48652;93693;75596;231448;85491;25398
106;fail;107629;78919;6922;222535;37929;74661
107;fail;36900;37519;84417;141837;7749;173219
108;fail;14776;250684;117925;188947;56976;142215
