;RLS-N4;EA100;pmut1.25
;10000;10000;10000
;921030;921030;921030
0;1000;130;33
1;10039;22;35
2;2593;74;55
3;2175;99;41
4;6926;24;22
5;16;10;19
6;1228;21;31
7;8;90;57
8;96;13;37
9;607;12;41
10;20303;31;4
11;171;96;23
12;1652;9;22
13;3332;32;78
14;3;6;32
15;4814;25;136
16;1838;142;23
17;1923;307;67
18;74;160;19
19;188;35;19
20;7183;40;34
21;30;68;270
22;1044;13;48
23;23;121;49
24;3944;82;56
25;4448;11;38
26;3578;51;44
27;6443;97;91
28;5469;30;20
29;2395;44;11
30;10551;62;129
31;147;29;34
32;142;22;37
33;31;17;29
34;5026;54;46
35;7;38;50
36;3;225;19
37;140;112;22
38;1986;66;46
39;75;30;16
40;15175;3;106
41;5890;104;22
42;9992;46;3
43;747;51;73
44;0;51;45
45;11262;115;18
46;29;68;46
47;20;83;70
48;5942;18;64
49;1870;53;44
50;70;140;54
51;21;78;35
52;48;55;48
53;1;39;40
54;20336;36;48
55;134;273;50
56;9788;13;35
57;2285;142;43
58;2773;116;22
59;3035;27;60
60;4813;21;33
61;353;53;35
62;3662;134;38
63;13277;44;48
64;7578;19;58
65;30;50;53
66;265;40;31
67;3309;102;31
68;337;58;120
69;3243;21;35
70;4420;33;11
71;98;77;23
72;3165;38;78
73;10;253;31
74;5442;149;39
75;848;188;79
76;1797;27;25
77;21;21;18
78;1897;32;89
79;4134;176;18
80;9508;62;19
81;138;93;10
82;1116;45;14
83;2890;23;31
84;2547;15;43
85;515;194;94
86;1112;94;21
87;6381;122;53
88;1073;93;40
89;2313;21;44
90;31;115;72
91;10092;13;71
92;54;18;73
93;778;6;48
94;49;9;32
95;4;52;32
96;3064;46;15
97;7234;58;46
98;8683;32;55
99;1253;89;10
100;1758;35;62
101;4009;59;18
102;34;26;58
103;1994;36;34
104;14;38;26
105;8663;16;52
106;43;58;54
107;7801;8;40
108;16034;10;47
109;4367;48;46
110;8172;31;51
111;2209;4;46
112;14067;76;27
113;4193;36;13
114;298;30;117
115;114;161;37
116;1005;29;15
117;6114;17;29
118;1315;71;96
119;2587;50;41
120;2898;34;22
121;4526;69;21
122;50;4;21
123;3432;82;68
124;1;62;17
125;1;67;61
126;812;104;13
127;9213;74;31
128;9343;24;58
129;4078;56;44
130;1765;105;14
131;7494;184;14
132;1458;12;48
133;4319;64;136
134;3448;100;39
135;551;96;72
136;92;29;5
137;6088;249;24
138;7687;10;17
139;3182;11;55
140;1601;152;15
141;3063;42;64
142;28;57;94
143;577;112;47
144;11981;64;47
145;1367;42;43
146;13968;34;11
147;1430;82;168
148;464;67;11
149;11;25;24
150;362;155;41
151;31;25;13
152;7793;13;38
153;109;35;61
154;196;314;47
155;3193;37;52
156;14440;118;28
157;6735;19;50
158;3371;203;31
159;43;36;23
160;16;25;11
161;27527;88;16
162;2488;72;10
163;1675;70;6
164;390;55;58
165;8286;26;18
166;4;19;8
167;2515;213;45
168;18;62;14
169;20;57;32
170;2306;90;19
171;6394;24;21
172;62;59;25
173;4810;17;50
174;120;24;18
175;1432;232;10
176;606;35;29
177;6307;19;73
178;14;22;19
179;243;145;133
180;2294;136;20
181;17;4;66
182;8;30;36
183;2436;159;21
184;5982;41;108
185;91;20;43
186;25;76;21
187;5561;10;32
188;4945;14;27
189;7974;39;21
190;5360;23;55
191;1209;13;23
192;668;45;149
193;31;28;14
194;2637;34;16
195;11306;41;23
196;499;14;25
197;4;205;82
198;84;4;51
199;7950;110;29
200;120;106;27
201;711;26;28
202;9803;13;52
203;745;87;10
204;3748;14;2
205;10;30;56
206;12;167;37
207;16740;84;84
208;6412;35;41
209;19;58;32
210;8715;127;57
211;408;20;36
212;888;150;48
213;821;138;52
214;131;75;29
215;17758;17;11
216;16478;108;23
217;1482;68;15
218;22360;9;35
219;3181;87;69
220;1447;68;23
221;3861;98;75
222;5093;105;44
223;4945;0;24
224;2297;25;80
225;717;6;52
226;2099;21;11
227;968;38;25
228;6154;14;29
229;25;23;21
230;9396;61;22
231;26883;106;13
232;8024;19;15
233;1887;146;62
234;1668;41;24
235;39;180;72
236;6713;28;65
237;545;18;109
238;3930;15;17
239;7459;58;26
240;268;72;18
241;23;11;35
242;2566;87;67
243;3508;58;13
244;951;59;34
245;1251;273;33
246;4155;8;34
247;9065;45;95
248;2061;134;84
249;1470;42;92
250;4022;29;26
251;138;34;20
252;4652;18;24
253;24709;27;4
254;128;57;40
255;1908;30;13
256;6284;116;61
257;16651;15;25
258;4357;71;31
259;19669;141;13
260;96;29;37
261;52;94;25
262;2835;140;43
263;9;110;103
264;1689;87;24
265;36;84;3
266;27;67;50
267;3735;112;44
268;8137;27;143
269;188;32;47
270;20464;127;24
271;2013;66;35
272;583;61;36
273;2654;15;61
274;314;13;37
275;135;75;50
276;2141;68;23
277;1460;15;32
278;6762;27;17
279;3167;3;54
280;1820;11;127
281;9533;38;39
282;4797;48;46
283;8;58;48
284;1225;35;35
285;3128;112;76
286;8899;57;22
287;913;26;85
288;941;31;2
289;59;132;32
290;3624;106;18
291;1585;50;22
292;3336;222;59
293;3696;98;20
294;2264;6;19
295;1276;318;45
296;280;38;51
297;2824;109;23
298;46;294;18
299;40;119;36
300;29;213;40
301;9990;59;24
302;1199;69;61
303;1674;44;25
304;9876;124;54
305;1151;96;11
306;17;108;29
307;1175;9;49
308;17431;46;13
309;5715;96;145
310;1184;25;34
311;4393;89;81
312;17;43;74
313;1385;423;12
314;6194;34;14
315;20328;22;40
316;194;12;18
317;102;264;39
318;13360;50;11
319;80;47;53
320;84;60;40
321;3708;40;32
322;54;16;38
323;5077;85;35
324;1963;98;17
325;14834;47;12
326;15723;36;13
327;22039;75;36
328;20;11;132
329;6;52;23
330;56;67;51
331;16869;18;75
332;3530;28;51
333;13724;37;24
334;8602;95;27
335;927;107;98
336;918;31;6
337;917;10;5
338;8438;70;25
339;2403;33;82
340;9434;185;22
341;296;190;96
342;11233;219;55
343;1527;26;18
344;785;46;102
345;14173;46;69
346;2266;45;23
347;8772;42;2
348;6693;44;16
349;2214;4;16
350;2545;7;12
351;1940;25;24
352;59;64;7
353;30;9;133
354;81;34;24
355;6776;88;7
356;4097;13;53
357;226;77;29
358;9;25;31
359;743;115;101
360;832;35;38
361;2585;14;2
362;41;112;88
363;12;30;63
364;23942;2;45
365;28;30;33
366;718;89;33
367;30;154;36
368;6608;74;60
369;1441;17;51
370;11466;44;41
371;3613;280;95
372;18813;78;39
373;7589;128;38
374;37;92;84
375;1021;133;24
376;9340;201;28
377;1130;12;98
378;10;74;55
379;25;26;58
380;2031;23;25
381;11225;18;32
382;3284;31;88
383;1952;143;32
384;599;19;53
385;10;56;48
386;1832;64;39
387;35985;12;44
388;32107;102;15
389;4486;168;65
390;8353;69;18
391;62;104;36
392;35;63;31
393;3369;11;28
394;2684;152;34
395;51;64;38
396;19945;46;41
397;2508;23;92
398;5566;193;5
399;3846;53;38
400;1550;44;97
401;5917;178;112
402;2775;108;42
403;5063;44;23
404;105;19;46
405;19;26;12
406;1655;122;6
407;23889;167;31
408;10483;7;141
409;158;28;83
410;7890;43;18
411;4935;77;49
412;4586;46;31
413;1059;85;24
414;3160;56;34
415;21;45;46
416;101;53;29
417;4675;29;82
418;1892;23;3
419;2517;40;96
420;3014;14;81
421;21231;149;19
422;449;178;26
423;23011;29;117
424;524;11;57
425;12421;197;35
426;1485;80;117
427;101;190;74
428;2009;49;31
429;9860;17;97
430;5489;49;11
431;1916;4;5
432;3392;23;16
433;13;111;83
434;6048;168;48
435;30;68;69
436;4211;58;17
437;9010;29;70
438;46817;46;94
439;2957;37;3
440;8029;36;20
441;4307;47;24
442;1233;11;63
443;2415;163;55
444;3928;48;33
445;3719;151;9
446;4739;55;5
447;1546;201;30
448;3390;25;20
449;433;47;20
450;1037;9;37
451;41;14;32
452;92;161;23
453;1991;86;17
454;16461;42;15
455;6825;34;70
456;70;17;61
457;561;54;74
458;45;118;15
459;19;154;29
460;2183;29;25
461;1205;219;14
462;7583;116;86
463;2170;19;27
464;3970;31;46
465;6409;52;18
466;7371;95;42
467;1876;12;18
468;5653;45;25
469;3062;29;9
470;18;174;19
471;8030;73;58
472;5362;47;6
473;9465;69;16
474;24;8;5
475;613;17;16
476;157;19;8
477;4911;28;26
478;3240;24;30
479;13873;394;9
480;24;63;30
481;11;21;43
482;1385;100;180
483;4157;179;52
484;146;4;27
485;18;10;23
486;6889;19;31
487;9093;58;2
488;2870;31;16
489;3942;341;38
490;548;89;23
491;62;81;44
492;788;9;34
493;2634;32;45
494;10;15;31
495;20;99;68
496;129;257;21
497;8191;2;99
498;175;68;41
499;4799;327;44
500;5412;6;42
501;9888;177;32
502;2025;86;74
503;25;3;62
504;208;23;13
505;52;39;24
506;3354;19;3
507;7671;67;81
508;3143;12;33
509;4435;32;30
510;17;22;40
511;168;69;11
512;4539;248;19
513;17;56;47
514;5064;11;66
515;151;24;32
516;2141;15;31
517;89;77;87
518;7196;23;14
519;15208;9;15
520;12349;106;153
521;79;39;7
522;2575;36;23
523;2895;39;91
524;5044;26;24
525;5507;209;45
526;15881;102;76
527;2415;29;79
528;17;137;10
529;4072;7;18
530;5149;53;41
531;439;78;28
532;5446;33;26
533;2155;84;35
534;6899;261;9
535;2974;42;50
536;37;172;35
537;829;77;76
538;650;109;46
539;38;61;37
540;101;6;32
541;17;33;22
542;68;3;34
543;3473;27;43
544;72;75;174
545;8136;153;70
546;3755;10;28
547;45;116;64
548;10882;87;75
549;695;98;40
550;4761;28;14
551;32;72;61
552;3762;36;20
553;80;8;34
554;137;26;25
555;30;16;30
556;93;37;47
557;11522;103;28
558;4925;7;34
559;1934;33;30
560;2109;13;13
561;3471;127;62
562;890;48;91
563;2709;18;11
564;3142;17;3
565;4847;227;16
566;413;10;39
567;5616;20;26
568;55;32;26
569;72;52;179
570;19;28;80
571;2778;5;35
572;3438;116;27
573;12;17;61
574;2716;18;10
575;874;30;18
576;16273;125;9
577;3507;16;0
578;3317;30;14
579;61;188;102
580;161;22;52
581;8134;122;61
582;1628;51;42
583;2194;20;67
584;7866;53;104
585;1163;175;62
586;28640;42;18
587;355;84;47
588;2693;13;23
589;774;151;100
590;21;142;36
591;1805;36;51
592;6157;18;10
593;113;16;25
594;3061;115;43
595;1181;201;200
596;5669;119;46
597;8175;3;48
598;3205;36;176
599;3577;26;17
600;2077;127;53
601;833;8;167
602;7050;49;26
603;915;79;38
604;10940;50;19
605;3263;158;36
606;83;67;26
607;1396;52;23
608;3696;111;65
609;16;15;20
610;76;51;63
611;22;24;12
612;14401;2;23
613;2815;102;5
614;62;44;24
615;24;10;68
616;14815;75;31
617;42;130;101
618;121;44;31
619;912;18;57
620;5325;6;5
621;821;136;16
622;42;48;31
623;1987;55;12
624;8244;52;46
625;2936;59;72
626;4285;106;4
627;932;93;148
628;2154;144;24
629;4;374;31
630;9070;34;98
631;146;66;24
632;1415;44;42
633;72;23;90
634;45;17;69
635;5785;18;31
636;4125;29;44
637;43;12;17
638;4749;61;19
639;1180;56;63
640;3124;81;13
641;784;41;41
642;5920;105;6
643;982;39;7
644;2201;9;37
645;4613;42;10
646;1010;87;26
647;12;90;38
648;33361;74;123
649;984;9;60
650;15025;117;29
651;39;10;7
652;7562;56;29
653;3104;112;52
654;936;15;40
655;22417;18;29
656;431;97;47
657;209;54;33
658;5206;90;64
659;15304;11;79
660;1834;31;14
661;3626;41;32
