;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030
0;4288;4669;86;1518;2581;33;28;10
1;179;51;45;28;20;113;32;14
2;32;33;211;62;13;47;37;234
3;67;10848;71;5902;91;29;9;88
4;199;5267;117;62;98;8;78;151
5;184;124;23;195;66;687;7;40
6;6467;105;185;73;28;61;82;32
7;145;1686;133;41;83;26;195;9
8;2282;60;13;44;1686;35;81;16
9;12577;2076;50;2354;4852;33;115;6
10;fail;2626;70;15;5128;64;158;96
11;112;12;85;107;74;900;61;14
12;fail;5605;3115;1518;26;1121;32;26
13;767;1465;1532;141;51;28;94;38
14;16;4345;1039;62;38;54;59;79
15;26;137;106;9545;87;385;9;106
16;226;10444;1;82;122;649;311;45
17;5882;7867;91;9;86;13;43;5
18;92;18;29;1504;266;1569;67;5
19;244;35;264;961;1766;15;18;3
20;4187;697;21;3100;150;1081;5;14
21;205;3555;0;70;515;411;109;30
22;186;599;13;31;46;79;432;16
23;10282;1930;342;87;857;4;180;33
24;10928;12;6;4;2002;693;21;84
25;274;190;658;1365;749;285;32;36
26;17052;10;2309;152;799;885;76;38
27;12399;161;15;63;591;2462;7;83
28;3040;58;3278;119;158;32;158;69
29;5463;107;41;109;2279;1251;42;10
30;10020;5464;76;1826;22;1053;86;115
31;79;8343;2205;411;312;838;335;21
32;947;2648;71;62;33;32;206;31
33;235;31;131;53;214;669;17;43
34;1380;fail;5111;29;2075;22;17;77
35;2829;6859;44;4381;16;26;33;42
36;38;87;44;56;611;2273;149;23
37;4073;5127;1944;48;166;50;117;42
38;43;27;92;81;1;706;18;92
39;119;4186;4839;1786;20;1115;18;9
40;17425;120;6;2139;2247;786;129;35
41;204;34;110;61;143;630;104;44
42;4751;1;152;195;78;45;52;94
43;1;33;70;229;82;23;73;354
44;16634;2609;699;67;1581;57;66;12
45;178;30;2;133;292;47;59;13
46;2396;2897;31;27;1;375;131;139
47;191;1107;8;25;32;50;18;300
48;8835;104;718;5817;399;2;164;22
49;8467;40;2547;167;593;439;617;4
50;2063;3771;54;79;2162;1143;186;23
51;123;2557;1399;44;4;74;47;44
52;8351;102;36;865;1036;36;140;78
53;12;156;155;64;106;40;1;201
54;82;8434;4152;52;731;179;19;25
