;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
;20;20;20;50;50;50;100;100;100;500;500;500;1000;1000;1000;5000;5000;5000;10000;10000;10000;50000;50000;50000
;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;100000;425860;425860;425860;921030;921030;921030;5409890;5409890;5409890
0;7;3;6;39;16;6;13;42;20;25;10;48;1329;60;0;2695;9;17;1537;51;57;55098;157;26
1;53;29;0;43;21;13;0;91;38;8;16;33;99;123;17;1099;47;28;24;3;30;25397;860;71
2;7;5;2;13;13;5;14;49;16;32;8;52;45;19;26;45;106;53;2920;79;24;13291;13;13
3;1;17;38;2;21;5;35;12;3;494;6;37;1249;19;50;2170;88;11;2175;89;37;49673;334;95
4;1;10;8;116;3;0;25;3;8;144;38;15;2765;37;20;4175;18;29;4818;62;32;46;802;24
5;35;2;5;0;19;2;1;25;5;99;1;21;732;84;12;528;48;26;37;150;55;42947;28;17
6;0;20;9;2;22;5;178;40;15;454;54;33;4;5;8;84;41;0;197;98;29;25994;908;62
7;2;6;1;8;5;9;47;5;13;150;38;16;783;4;17;1067;111;5;23;103;59;18620;413;47
8;0;1;5;9;41;3;6;16;6;78;8;12;26;36;36;3;19;45;7745;57;26;911;551;117
9;6;3;13;26;6;8;28;33;43;430;28;6;519;0;15;38;96;7;25;20;31;29298;196;131
10;4;40;9;97;28;2;2;29;14;251;6;4;166;58;21;2700;68;8;5580;47;28;131499;130;177
11;15;10;4;63;13;3;30;35;5;40;71;3;145;15;27;81;38;13;3624;64;21;3495;870;30
12;63;5;5;1;7;11;9;15;13;27;3;37;62;21;67;1785;46;6;3083;167;102;19684;67;150
13;10;1;4;1;10;10;0;20;10;354;26;6;234;85;21;956;27;65;1919;162;42;0;483;63
14;2;13;2;8;87;11;30;10;19;8;24;9;564;22;58;495;32;7;358;226;45;124034;76;87
15;4;6;6;31;20;8;28;10;28;6;64;22;15;70;18;36;52;64;9095;2;30;131;451;32
16;0;0;1;15;26;30;4;17;32;183;7;6;31;14;17;6834;12;56;453;160;26;5636;193;17
17;6;19;3;15;2;15;22;1;1;535;57;4;136;2;21;154;33;44;5490;20;13;2369;36;49
18;16;0;8;16;7;1;22;13;5;0;46;26;873;8;65;494;23;22;1143;62;48;12445;136;1
19;37;10;9;86;18;3;4;6;6;12;10;20;1134;40;16;2094;70;38;6803;15;41;27957;1164;35
20;2;2;2;20;0;13;30;3;21;21;41;19;1524;10;3;8717;122;29;17663;161;35;7440;14;53
21;4;16;2;58;10;23;1;10;14;51;49;19;192;107;17;808;12;56;7;38;124;244;337;79
22;12;6;3;4;4;4;40;35;9;269;24;2;319;1;18;38;24;14;2105;45;24;9356;28;26
23;0;20;7;50;13;6;63;17;0;388;6;17;227;35;17;1698;43;26;103;5;62;97;476;7
24;15;26;7;17;7;11;7;16;20;95;26;0;381;104;23;649;9;19;2663;13;43;3718;24;13
25;25;5;6;31;3;3;1;2;31;425;12;20;1175;50;19;45;14;42;4977;37;30;158;21;81
26;27;0;9;15;11;0;4;7;7;302;10;32;1209;17;25;96;58;72;11526;100;36;13900;51;15
27;36;15;5;1;53;1;81;38;3;1159;87;26;248;32;13;2367;8;16;3522;24;66;14431;72;167
28;1;2;2;28;32;21;15;0;12;193;132;13;599;8;16;1953;97;33;6385;148;34;4906;396;200
29;60;15;3;84;38;35;35;2;12;20;67;20;6;52;32;565;74;37;13;24;31;55307;304;28
30;6;20;5;39;24;4;24;0;1;42;40;16;73;0;30;7165;12;28;1934;26;18;34761;68;64
31;0;2;1;35;40;6;2;63;3;60;36;61;249;12;22;136;56;28;642;98;41;85086;224;30
32;5;0;4;38;22;3;9;3;18;118;53;9;45;15;5;3;71;22;49;274;30;31982;61;0
33;22;8;7;14;3;7;65;86;19;14;6;8;0;32;11;1086;114;21;2474;33;5;278;54;142
34;7;5;18;96;21;15;55;12;16;6;22;9;18;6;32;1211;130;3;10089;12;13;14758;702;125
35;1;21;6;42;11;0;179;21;0;1;22;22;395;9;23;2329;44;40;546;41;65;8019;267;77
36;0;4;14;6;25;3;6;17;47;114;36;10;207;102;23;1140;88;54;117;227;10;23063;66;75
37;0;7;0;1;4;9;28;10;7;253;20;18;308;102;79;1293;101;76;2334;16;25;8057;33;101
38;21;0;5;11;4;8;75;2;17;141;10;12;2963;8;34;67;78;18;3676;22;9;167649;8;58
39;20;0;1;0;6;6;6;8;11;155;25;13;626;99;20;825;86;29;66;7;33;85882;76;37
