;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;231;112;29;633;32;87;211;fail;22
1;206;170;384;42;2758;153;5568;4495;88
2;34;4;266;29;30;21;45;20;133
3;47;9;176;47;2327;18;108;727;2466
4;31;86;117;114;127;2046;3162;1949;524
5;40;45;36;2814;38;1635;fail;74;154
6;36;167;16;91;1519;27;6;1105;7590
7;51;85;47;2132;82;6153;336;174;3550
8;31;40;74;315;777;6;4054;77;3760
9;3;156;69;14;4;34;55;61;1601
10;59;5;437;768;101;3368;147;3828;83
11;27;24;682;173;904;4105;4021;43;47
12;40;37;23;119;956;10;52;97;45
13;36;208;46;0;4204;37;4971;0;34
14;42;21;84;1304;81;18;2103;4696;30
15;24;31;78;926;949;779;1425;7344;10
16;101;195;1012;115;3522;7;68;3500;38
17;26;152;44;2039;1;320;133;12;77
18;30;17;19;117;1968;32;2999;25;2931
19;67;121;1151;1632;57;1733;10158;1272;34
20;53;31;424;426;1001;13;3011;115;20
21;49;188;95;2057;112;79;56;47;5628
22;52;73;94;4;0;fail;53;5776;88
23;14;12;864;25;3436;45;71;121;7926
24;25;14;89;37;42;85;5643;171;3729
25;26;109;329;35;481;3301;2811;46;109
26;66;20;129;42;36;696;4163;2722;83
27;168;11;65;2171;93;145;117;78;1478
28;42;95;685;291;126;1537;1;4;8
29;99;42;72;426;52;1425;3763;8501;1427
30;31;210;51;1302;2641;67;138;24;252
31;47;292;32;58;1009;77;6727;98;147
32;18;80;571;885;83;26;17;2126;110
33;47;5;803;1182;24;79;172;129;426
34;37;237;97;113;1784;242;4027;95;33
35;34;123;11;94;1521;2972;8928;3642;9515
36;55;43;44;12;4160;20;2216;4430;55
37;9;56;75;194;110;21;27;224;100
38;32;21;622;89;847;1664;3316;6634;fail
39;33;23;127;942;19;63;3686;fail;83
40;47;131;363;872;233;34;35;4255;0
41;14;404;271;6;94;14;15;6511;131
42;118;24;60;21;467;83;7;8412;5771
43;10;553;398;753;606;33;32;7213;3473
44;72;10;12;1439;89;82;206;29;25
45;72;33;90;258;3377;13;2652;fail;72
46;41;259;147;709;73;71;1;18;101
47;88;13;156;28;2776;26;93;128;10
48;41;23;26;98;113;81;1729;2513;42
49;78;94;54;712;74;815;30;28;fail
50;124;24;17;45;35;1621;9551;684;3060
51;20;18;14;1058;85;67;29;91;5173
52;60;86;41;263;5803;6568;2;27;168
53;137;173;279;1178;1932;50;19;82;63
54;147;57;1104;553;69;104;67;2919;127
55;27;82;401;2095;1;1513;61;123;2352
56;58;27;43;73;5441;3387;6130;4961;2003
57;95;316;98;6;709;2365;3702;119;60
58;44;41;77;114;36;430;66;25;2586
59;25;49;21;26;21;141;336;3262;5
60;102;176;29;2051;42;1413;41;2178;11
61;27;2;34;110;1805;9;2532;352;23
62;21;293;7;879;140;51;46;3034;34
63;44;258;86;1013;1053;106;3452;6070;3435
64;12;39;331;1;1099;2967;6;24;4411
65;32;94;93;829;2431;3583;102;fail;60
66;19;29;49;290;78;63;2;30;1923
67;32;26;22;123;2509;25;36;370;5677
68;73;7;222;47;2209;3440;5032;1750;211
69;64;36;222;41;0;62;2033;3096;186
70;43;85;1683;1194;62;7245;72;4233;13
71;19;64;110;1036;145;14;469;5680;3414
72;123;109;455;44;60;36;1442;2468;8497
73;29;82;1317;24;111;1244;7694;1231;60
74;46;178;36;339;9;67;3120;2813;82
75;62;63;605;1265;77;4197;68;6520;65
76;61;140;50;1680;263;208;58;7359;1375
77;60;47;19;100;835;916298;106;5492;18
78;79;72;68;29;638;18;6206;113;204
79;28;43;13;964;669;202;9942;10978;82
80;102;161;128;110;381;693;4602;4268;2650
81;48;6;1102;514;75;179;67;3375;6048
82;30;35;730;9;1183;94;1754;2760;0
83;43;64;16;50;2633;90;3840;125;6
84;32;70;36;111;27;23;4525;0;6080
85;77;26;91;82;50;97;6442;62;49
86;12;20;165;118;2063;65;48;10;40
87;78;46;707;40;3033;66;4457;4026;107
88;68;499;103;34;72;259;66;20;6127
89;10;13;13;237;1427;3163;174;57;124
90;30;28;237;84;2861;2180;5266;3157;5681
91;100;97;74;27;166;92;59;150;6624
92;44;12;242;61;12;3577;78;32;40
93;65;175;3;66;3159;1542;158;116;283
94;18;115;32;6;23;143;67;161;866
95;104;12;9;55;3024;75;18;91;10
96;47;30;59;18;3560;99;25;2606;71
97;59;69;81;16;272;16;37;2602;109
98;40;31;57;60;69;123;6;5366;6
99;56;31;30;769;13;33;692;16;1778
100;4;4;728;28;24;3215;51;137;56
101;4;74;5;1893;504;5256;1232;5731;189
102;15;116;218;746;39;1016;76;1342;51
103;23;23;2;95;219;124;4290;119;953
104;8;75;32;44;1568;1728;23;3887;63
105;53;179;118;980;23;77;34;145;69
106;20;21;87;26;158;4783;7027;54;987
107;62;26;12;813;494;139;17;1072;162
108;33;25;377;42;828;8746;6427;5275;21
109;49;26;11;69;2031;2580;62;26;6628
110;66;24;83;63;18;78;1931;4462;6493
111;59;74;98;53;126;3;89;110;120
112;25;30;19;3;692;1135;30;2645;4806
113;56;60;31;122;136;68;23;79;2151
114;11;79;156;2248;31;940;43;452;4661
115;22;211;56;405;3;743;1;606;855
116;44;51;343;10;56;606;14;212;2918
117;21;9;14;835;62;63;184;5;3
118;11;61;818;71;17;360;158;58;1805
119;39;30;258;364;16;112;3785;54;26
120;16;92;172;46;7250;5261;5897;68;39
121;15;31;133;61;49;133;72;7;7262
122;39;51;45;1231;1710;2200;2142;2005;2112
123;12;13;501;1366;516;1738;7487;61;10
124;60;67;23;106;1505;26;140;1994;3329
125;43;45;133;6;117;24;81;81;11
126;47;79;713;988;10;85;6633;54;30
127;13;47;26;321;17;20;57;123;5024
128;16;31;87;66;4020;907;5778;19;30
129;51;38;364;13;59;54;4896;2810;7131
130;76;32;1238;1181;79;87;358;19;73
131;17;44;17;28;82;25;2990;16;657
132;19;34;14;109;81;40;3142;5326;7451
133;46;34;42;43;2;2632;1403;33;109
134;44;71;13;3086;1525;99;5;34;113
135;67;44;175;1004;49;1526;5549;53;52
136;66;29;127;420;65;8;4363;1772;7766
137;19;19;701;523;346;13;2092;66;140
138;11;57;53;923;46;54;7318;3;248
139;45;26;50;49;45;3210;31;67;66
140;58;177;52;280;84;41;10644;27;26
141;67;8;413;132;49;4621;157;14;5558
142;66;37;119;2377;15;10;6;172;1697
143;55;231;275;2917;35;311;95;35;699
144;38;94;565;414;78;135;158;95;6707
145;71;39;330;103;12;4945;298;5684;478
146;5;130;77;22;61;20;79;97;70
147;17;134;525;1997;51;1373;172;1173;18
148;79;96;553;26;17;9;7552;102;9002
149;21;15;29;54;21;77;46;117;207
150;24;81;73;1042;318;103;1691;3316;fail
151;16;37;5;76;251;159;23;3846;179
152;24;14;42;27;297;0;64;72;2626
153;25;62;15;105;96;255;80;3953;865
154;12;65;567;283;89;109;4902;105;2341
155;21;27;99;868;21;2370;563;1404;5885
156;61;12;82;13;34;10162;2529;57;2049
157;36;40;547;30;1740;73;8545;119;40
158;33;31;863;237;332;5427;47;9;177
159;74;309;48;204;0;4634;52;2431;124
160;20;76;89;6;5;40;282;fail;3728
161;29;68;129;56;182;58;261;2023;24
162;73;59;560;748;150;11;fail;3995;1684
163;46;26;23;36;627;2753;32;24;2312
164;54;67;47;26;864;1379;131;63;28
165;32;52;53;16;2417;70;1904;8185;109
166;33;525;838;135;1290;137;1839;17;6148
167;4;42;19;1425;2538;4078;993;73;69
168;12;26;774;585;50;2902;3839;1271;28
169;23;36;82;474;17;6396;45;2013;6929
170;10;64;19;1741;34;134;3952;1113;11
171;20;94;462;52;67;26;1550;1650;2996
172;4;5;1463;11;2;67;145;107;8276
173;36;145;61;1874;2341;2104;4866;168;3859
174;46;292;105;132;39;528;1712;4190;50
175;26;31;39;788;94;24;3253;fail;46
176;66;40;38;29;149;3609;3543;3;1850
177;25;312;1090;22;126;82;5646;72;66
178;20;29;36;66;1527;7972;30;98;9694
179;37;47;471;463;42;1709;74;5069;1855
180;36;36;8;68;103;1769;27;29;53
181;43;50;206;79;30;91;41;60;2100
182;139;36;27;87;118;168;4176;3391;10301
183;26;36;67;41;71;1871;2521;157;32
184;11;73;1339;1612;16;5465;126;89;35
185;53;196;62;487;3153;7776;573;0;3029
186;94;60;566;36;588;124;4474;54;131
187;53;68;39;1490;740;2784;33;1674;6005
188;19;97;40;232;59;119;167;111;150
189;66;98;419;891;476;6519;1902;4189;11
190;9;27;451;12;114;758;7196;90;64
191;20;57;63;94;675;47;1232;46;3899
192;10;15;37;30;1241;7;73;120;9396
193;84;44;442;519;1087;983;108;3618;1880
194;33;133;16;278;43;9;4821;fail;37
195;32;525;120;301;31;37;27;3113;5841
196;92;332;869;1410;37;4802;165;5162;7134
197;108;268;25;948;24;124;5553;362;94
198;87;28;228;603;42;8255;2107;14;1679
199;6;19;678;0;30;122;66;22;8846
200;101;7;818;10;1639;2362;144;1366;702
201;30;326;106;81;3998;1679;170;6923;103
202;57;138;42;454;13;2946;15;1967;109
203;62;115;25;49;5429;4;216;8980;55
