;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;34;84;2855;1322;12165;6678;61
1;1572;14942;107;622;4420;7800;25
2;164;80;1453;81;45;27;3346
3;10361;13;1237;7272;4911;99;4046
4;223;2893;4037;5302;100;7152;11
5;59;4265;552;18;45;5461;103
6;92;163;3711;24827;130;8351;951
7;3397;5163;58;6155;50;144;353
8;11004;20968;18;2423;fail;910;723
9;62;7064;5636;2110;2559;8;39
10;114;10566;6274;8196;526;98;30
11;8125;102;149;6689;80;10179;1506
12;6299;23;707;2395;140;945;20
13;434;3200;61;705;95;1314;2266
14;130;40;6093;35;1857;56;249
15;5736;112;20;4054;674;14;561
16;28;7416;130;85;fail;7518;128
17;fail;3631;10;39;57;5148;2340
18;5011;19557;19;2201;916;2001;29
19;8763;17297;42;48;159;267;9
20;51;257;679;4839;11;1981;15
21;1259;22024;109;6627;8899;37;2000
22;76;4052;41;6919;46;56;127
23;fail;1306;7;4049;1740;4143;61
24;61;135;2972;110;1246;29;13
25;82;10614;1179;9768;3331;1680;119
26;4145;5426;53;29;67;57;57
27;79;681;65;8385;82;fail;15
28;fail;2049;37;818;12503;26;4310
29;7898;5510;7;1996;73;10054;42
30;6;453;6;4856;6278;81;1061
31;5337;28160;80;2956;214;54;33
32;2389;6661;185;19;762;56;72
33;11393;8113;91;57;6764;200;11085
34;104;4373;19;3690;4967;93;1377
35;fail;8055;55;4943;62;34;3922
36;162;10909;45;1523;116;31;4138
37;3992;1054;6892;270;57;4297;22
38;fail;15350;4065;852;601;85;6
39;39;18794;3;399;fail;115;4655
40;2083;29;40;4074;8190;852;2036
41;62;41374;4275;16221;458;fail;2079
42;fail;233;2053;148;5;507;3381
43;263;5206;40;2721;8661;1825;4820
44;fail;2719;65;22467;104;8;47
45;5758;1888;3464;2745;7626;162;16
46;63;19305;59;5721;3249;173;135
47;fail;865;103;9611;1494;9888;44
48;20;90;67;9518;1742;131;82
49;13;7760;34;7229;127;359;83
50;1898;5348;2751;2405;4655;113;77
51;10829;6192;3662;11044;3045;1323;3102
52;8221;1801;16;6207;12258;78;1302
53;58;9507;129;4997;15;8110;2026
54;225;5503;23;16;12375;185;8383
55;fail;10691;99;74;253;2377;2777
56;96;16241;1218;14;7971;1556;11
57;1053;53;31;2126;125;113;68
58;135;23;4398;16;181;3817;14
59;48;8139;63;82;11413;1414;7453
60;3976;23;619;29;7522;39;1918
61;81;42;5;1453;8;3133;fail
62;10762;3053;11;83;58;9;3032
63;222;22796;72;2823;48;16;123
64;61;7625;74;3529;5447;53;11
65;164;3;13;11;115;56;4048
66;5750;8604;21;2075;1409;11282;41
67;24;87;19;2924;107;2555;60
68;55;21348;3193;79;2;2290;142
69;118;10208;51;48;111;47;7450
70;fail;21064;41;33;3776;27;112
71;fail;744;13;9278;5812;1705;142
72;10408;1887;16;130;172;48;70
73;9360;95;771;22;89;2940;2822
74;3957;19981;56;13582;255;24;122
75;203;18884;3754;13;73;74;1770
76;5378;120;26;19;1;152;109
77;fail;4778;0;19;3788;116;46
78;5;23;45;134;8;20;79
79;19;77;971;342;347;5033;2293
80;100;1782;785;6057;75;8;36
81;fail;13723;34;50;128;183;418
82;137;7710;1412;27;3661;1559;56
83;44;4418;682;167;12592;5770;138
84;98;29545;27;14383;59;25;21
85;10518;1678;71;88;7650;198;4252
86;49;92;38;3421;95;537;137
87;9520;20148;7315;1792;64;69;26
88;1778;212;109;699;2654;734;30
89;80;1478;33;8653;50;148;122
90;4;2344;383;591;fail;406;2572
91;23;42;1726;3161;1784;5;641
92;84;3831;28;106;41;1350;1653
93;2466;29;15;8861;11495;52;6056
94;51;4801;2724;7461;12823;fail;64
95;53;1833;557;12178;81;3106;75
96;8584;6884;39;16;2739;9279;2675
97;3233;7663;987;669;10;8604;3245
98;127;13460;50;9998;2792;18;23
99;155;496;183;27;12;212;1919
100;8946;0;10;10752;11;3929;206
101;19;2864;44;1902;83;11180;2
102;75;197;58;38;55;196;2205
103;12;13;1983;2868;108;90;618
104;71;6132;3132;152;71;10323;3464
105;143;2071;7;4100;8;112;8
106;103;2932;26;1175;8608;95;46
107;3777;120;1764;1324;296;5417;2111
108;44;7;12;18;3638;287;135
109;fail;4762;101;5027;3435;7147;57
110;2280;6026;22;2819;83;1;186
111;545;15722;2291;8880;11177;140;65
112;102;7454;2433;1289;7375;4565;69
113;65;13503;4172;3225;22;fail;81
114;3043;217;270;2021;55;16;1190
115;340;fail;821;1802;1055;180;463
116;85;19959;4043;3277;3776;9226;25
117;140;2545;88;119;35;487;64
118;5766;106;8;5347;1375;10;2320
119;1741;3547;3018;688;24;74;31
120;50;19575;13;2;3;4634;96
121;3074;13071;68;10467;851;147;982
122;3217;11522;4777;3392;61;37;82
123;4268;26463;123;2890;4401;260;22
124;10567;4796;1735;82;2710;1467;8653
125;121;38812;19;18043;62;1376;1129
126;1244;354;830;160;111;495;131
127;52;7;1942;1033;57;2661;953
128;3166;142;50;2639;46;4680;92
129;fail;2008;275;2957;1372;2517;547
130;4653;8208;25;1919;10;64;218
131;7456;223;2746;21837;153;3507;189
132;5724;21186;3;13038;94;4521;15
133;1150;7655;907;3775;110;fail;6978
134;5;66;1030;10487;7390;5416;1141
135;59;27156;61;9417;89;6446;3190
136;24;2175;3038;9292;199;3204;79
137;202;12908;3416;1211;1021;185;39
138;98;7393;20;779;58;3561;14
139;fail;19548;5447;11850;4727;36;4176
140;33;8794;47;94;4;1832;62
141;6959;2259;1257;4233;114;5642;2209
142;5322;32508;1719;25;601;7670;69
143;32;35032;35;4820;171;1714;38
144;62;4714;2430;30478;443;68;1035
145;8486;17882;102;2643;2979;83;fail
146;413;8329;12;1296;66;90;51
147;1;22545;4528;73;3606;142;3868
148;11322;592;14;6764;137;1815;13
149;fail;33088;2;2;fail;12;85
150;45;1448;5643;1742;121;80;22
151;70;10460;69;15626;9955;4897;6
152;fail;2385;570;9651;11157;75;4271
