;RLS-N2;EA3;pmut2.0
;10000;10000;10000
;921030;921030;921030
0;125390;123309;83004
1;120407;44347;55341
2;50439;30059;198354
3;124445;41002;151908
4;62549;43505;310362
5;83542;1305;98122
6;22063;6968;71537
7;98983;9592;302772
8;5315;24691;226915
9;35758;37900;50113
10;2973;27172;21499
11;18861;289237;40186
12;57859;19274;144302
13;37809;96451;166753
14;72173;126556;319984
15;55125;99871;41296
16;10056;16772;294263
17;8057;42049;7305
18;20938;298518;44002
19;22685;17801;48324
20;40311;9956;2312
21;3885;212728;125553
22;73022;716514;468676
23;62826;21236;33478
24;12709;127567;12141
25;11016;20920;18218
26;34074;207640;6712
27;43787;164798;109236
28;1357;81851;114221
29;60319;63032;155944
30;20791;33702;26315
31;29097;42483;52805
32;83583;210797;37197
33;16596;16734;28934
34;65330;349291;749631
35;4506;592194;154807
36;41622;41757;51952
37;21847;83408;168848
38;55326;204823;600724
39;136944;36266;25043
40;81795;190810;1592
41;98687;21247;203724
42;44239;23938;33576
43;137356;197149;78353
44;54679;90570;330538
45;52318;224054;103735
46;21579;20652;82954
47;35208;307792;205043
48;96728;330959;121978
49;5822;79049;11411
50;631510;117617;85212
51;41392;121679;41729
52;4979;324321;17110
53;10713;376203;281791
54;67878;87293;34228
55;6404;50208;71026
56;7011;46443;62335
57;212223;57520;127078
58;131537;243506;420908
59;53923;85113;30458
60;65624;138255;231907
61;78317;11630;17014
62;32275;13501;60590
63;14431;47820;24031
64;89078;15496;118624
65;82879;30491;47486
66;152276;277065;405460
67;267764;12115;129021
68;3999;33541;121871
69;17689;50450;13300
70;25620;6546;121877
71;586;49318;212999
72;45114;229048;68830
73;8110;187494;31674
74;1744;74818;6868
75;51166;32582;99855
76;31013;42355;89947
77;150273;1690;121784
78;94555;189230;10364
79;145393;384245;33478
80;36759;11099;268793
81;31111;5903;291498
82;4253;fail;241738
83;8904;130678;80629
84;43728;3610;603110
85;68489;101177;139113
86;1325;185980;4413
87;20990;258548;63372
88;70406;47057;324914
89;59112;106720;225685
90;116604;523113;103543
91;7998;11051;154836
92;66202;79182;257448
93;208794;248762;89814
94;18762;194084;5018
95;5069;35184;54595
96;60627;167830;11456
97;80691;130966;52967
98;189152;710343;119074
99;89720;52547;44370
100;4802;30344;60880
101;68634;63492;2274
102;19540;71073;86583
103;87829;104354;276500
104;238393;21282;356800
105;3155;159726;281364
106;42079;217398;57505
107;5427;191158;296020
108;199252;107478;354884
109;40297;30738;344675
110;10231;3897;40158
111;59087;10741;70475
112;1357;416277;108626
113;52104;117746;100639
114;8630;58959;32880
115;17380;27627;66620
116;2399;127994;70024
117;27212;82654;328027
118;8555;762;199775
119;42085;109454;20013
120;16888;79550;105448
121;15907;361897;104664
122;18962;310143;28678
123;166836;221577;265885
124;249535;449368;131236
125;67839;33814;27029
126;109029;6754;71192
127;207978;359868;128579
128;104774;131439;165632
129;115204;781;39045
130;37582;80815;19210
131;68080;51477;113932
132;310832;322180;214379
133;310;683911;56004
134;179811;29031;50950
135;39561;29443;121713
136;18101;146142;2541
137;4683;94965;16416
138;10882;35184;59885
139;71300;74100;5655
140;17249;8911;100044
141;18600;302368;195199
142;24246;13792;88976
143;31124;557750;118432
144;10666;510905;125076
145;39508;301153;207711
146;80985;225351;4266
147;46525;67411;267605
148;34440;396757;108304
149;167783;70663;84720
150;4311;366526;103529
151;10398;22917;11553
152;53135;30629;66646
153;33157;1548;47287
154;10487;24576;178104
155;64688;21055;52443
156;44216;555962;459160
157;23883;298613;1407
158;13222;69121;62626
159;115151;602705;34325
160;226079;91843;146786
161;50187;334448;2101
162;18625;24890;113052
163;31387;32697;34695
164;7593;56632;136676
165;18916;22488;64684
166;22803;514807;120675
167;46823;60493;38954
168;96698;112810;220143
169;12986;21844;168895
170;57789;258209;204883
171;79373;125258;145091
172;54448;812970;31655
173;9294;97047;40621
174;13241;135755;201922
175;3864;216765;55444
176;62848;50540;4857
177;114196;405703;282205
178;7940;22699;311334
179;402868;67835;204577
180;20797;58752;283120
181;296349;288097;297571
182;88006;13816;244966
183;6431;60993;114827
184;38325;594806;81696
185;30952;322902;60711
186;46289;63623;38898
187;89947;194156;64981
188;73079;64857;213700
189;21125;13522;41576
190;67064;62328;59658
191;6946;161806;75079
192;24579;214324;13565
193;3928;3450;102731
194;87649;63332;159074
195;3649;61324;2063
196;68332;20652;86468
197;66468;104285;360661
198;25950;10060;170719
199;9059;1447;3084
200;53729;1974;42058
201;10169;451128;503950
202;85810;18960;80956
203;57735;97972;116835
204;85407;46440;96992
205;10058;107396;113021
206;150225;217008;41004
207;179126;78901;1181
208;46815;130121;508882
209;73095;27257;32163
210;36750;42227;25776
211;2458;99936;326072
212;10151;10604;513988
213;115251;39870;133554
214;61649;224141;9439
215;31554;76275;412290
216;89188;387100;259360
217;42019;15377;202769
218;39145;53007;10647
219;60961;166434;757314
220;19595;489790;529350
221;51946;359800;48875
222;7127;54928;296478
223;77023;218863;63774
224;112063;817199;218924
225;88724;30399;107150
226;37854;23924;95886
227;38305;54029;30719
228;8135;6991;374977
229;9822;494273;360296
230;21666;118733;60514
231;59338;80441;53106
232;42274;78132;27612
233;3576;203943;264336
234;19170;5143;22170
235;120498;55921;33392
236;26332;384979;146590
237;8898;11962;217135
238;167314;167654;128162
239;268;246874;30139
240;58487;28823;9475
241;64270;92032;9809
242;10845;30940;78491
243;119331;5812;131024
244;132262;52634;122175
245;1172;67976;22302
246;141246;24066;6763
247;3651;86557;14237
248;53618;123984;193654
249;39225;56379;159344
250;30827;39132;49441
251;155863;28699;96191
252;68925;3047;93503
253;17026;13478;142238
254;5707;153418;153105
255;39470;638009;61959
256;55882;35310;170923
257;43258;185872;255755
258;39383;145661;153123
259;43041;1305;61545
260;6268;37464;22296
261;7604;3943;128419
262;154809;21662;45426
263;82677;51974;248978
264;86019;337175;239409
265;29780;100012;3630
266;144193;8176;24492
267;115171;110039;71228
268;142445;9442;104951
269;39238;48925;97091
270;17303;103322;29445
271;43545;20223;36558
272;46775;31897;144310
273;39409;81991;17151
274;3334;91462;43718
275;133187;108250;76635
276;58374;110855;44905
277;89538;4936;49036
278;117287;243211;7312
279;165316;179778;20514
280;69687;28686;205743
281;359935;140889;34600
282;41128;586113;7528
283;76699;525887;59995
284;57103;61340;293760
285;21769;13842;154193
286;3185;60408;70644
287;19197;236204;37503
288;9406;182432;46049
289;14449;129873;83496
290;6490;180862;64564
291;7417;438962;518162
292;14889;132159;42473
293;266177;162983;295550
294;1980;71412;185639
295;49647;157006;604224
296;154541;172975;49044
297;119616;136398;94273
298;56432;34579;24547
299;61887;221728;198679
300;5064;595639;190950
301;68898;224099;184165
302;12725;2782;65700
303;311030;185067;233326
304;367765;341869;216199
305;26990;365998;73112
306;38724;176291;144104
307;3976;5644;37095
308;27460;312185;100203
309;20835;110978;42999
310;74564;1580;26178
311;32810;102930;54027
312;119007;141445;39037
313;32105;236880;206584
314;6040;131235;73348
315;35156;82968;24800
316;37322;167375;16719
317;10951;66380;121448
318;29813;175150;108414
319;297462;50227;272854
320;17268;329571;586865
321;28808;110776;555492
322;87605;82356;165983
323;145682;157869;28055
324;31365;227367;151971
325;32072;177029;63274
326;24699;91570;101896
327;11202;111384;183202
328;15643;531278;466109
329;76349;1402;91834
330;29469;22517;63086
331;3478;37447;242481
332;74988;22409;203770
333;11174;31431;413866
334;34475;143188;22899
335;88157;49958;122928
336;101744;12008;12364
337;161795;118787;843
338;95679;106758;42383
339;39904;159882;103113
340;118670;237213;124700
341;63564;140680;71478
342;20759;51802;5552
343;114259;70867;303015
344;22078;7151;34895
345;25996;60550;124569
346;39982;26260;190084
347;106807;24141;89054
348;15806;92140;282739
349;566;551852;60491
350;10280;49117;124851
351;22598;4734;114743
352;13531;127572;163355
353;155406;40591;375682
354;175548;160751;93083
355;177746;33438;fail
356;92257;234013;56772
357;371;91913;61804
358;144484;112473;109899
359;185508;18708;94779
360;387385;71922;6430
361;14580;41878;502854
362;27438;68764;299167
363;38206;6260;45485
364;6463;134923;88848
365;29648;30675;171983
366;65415;39309;16575
367;3761;283169;50747
368;131107;79182;90896
369;7936;65187;27632
370;24651;19286;93860
371;45986;140703;23334
372;4597;14639;14023
373;13661;1621;663374
374;10213;169836;77077
375;173758;81105;201264
376;50360;76858;12937
377;174061;74033;264624
378;15335;430248;405677
379;22451;558273;627688
380;37290;140303;277732
381;13327;3797;24410
382;48793;194333;45759
383;50168;146374;74694
384;127029;838408;77376
385;93186;68135;193665
386;122134;181581;173408
387;31990;283127;158453
388;5221;226189;50585
389;120515;214626;121112
390;45975;145412;131567
391;15962;785770;469465
392;115779;30525;39074
393;167206;410524;380696
394;38490;166835;30189
395;224516;297435;252747
396;6197;3203;68851
397;39058;78972;18272
398;71920;51833;116299
399;46144;314307;322598
400;344652;250051;101331
401;7687;575748;8891
402;97925;1955;209715
403;135061;388047;26978
404;63022;245150;184158
405;48961;88611;157886
406;9296;83300;1913
407;87960;328649;175893
408;96019;90582;100956
409;71690;105202;34402
410;33629;4333;79189
411;194784;52948;114164
412;17482;283245;146216
413;468;74563;140756
414;66173;21064;457
415;28074;51670;50529
416;24204;58360;246094
417;26433;296451;189739
418;154095;97477;114162
419;216575;4790;73855
420;142299;23277;153849
421;34849;114968;31946
422;87729;231719;40270
423;138902;60129;77234
424;30726;74277;695756
425;32322;46881;32608
426;64517;11632;264
427;88502;159792;271905
428;69404;70068;35575
429;101816;39176;71970
430;226;74123;11177
431;5187;11194;21579
432;3688;21119;210025
433;125990;498531;509685
434;121439;67476;448804
435;16096;48055;286172
436;81021;34499;198729
437;43959;37729;388328
438;4640;5917;10142
439;13982;204770;20695
440;38362;692860;165997
441;52367;16265;204220
442;90062;35036;143553
443;57657;79375;91376
444;42784;9674;55452
445;91977;432263;447495
446;70627;375482;134522
447;25798;162107;86087
448;14320;54576;236910
449;3903;263740;7918
450;24477;169047;26832
451;125507;219859;586108
452;158273;11044;40101
453;78439;21151;22733
454;33001;10755;3508
455;31799;99393;24356
456;8348;24344;45020
457;80325;286593;137274
458;57371;433347;443682
459;4314;284074;92226
460;22809;215233;126118
461;74498;82100;104855
462;22750;303953;312122
463;66704;373299;974
464;93365;44612;109291
465;47569;230470;241837
466;48129;28626;28760
467;66497;30484;30263
468;24617;72435;380647
469;4184;290210;397878
470;36053;146723;44144
471;23477;214984;413374
472;74744;129166;9161
473;33819;7105;64186
474;49216;823752;35389
475;55627;715149;69777
476;53605;8472;3808
477;95057;14576;67586
478;744;203827;60791
479;34480;138265;32747
480;143554;185966;72028
481;83435;31843;42502
482;34035;25111;60462
483;170812;391926;142835
484;95304;48131;30565
485;131242;47414;53695
486;10007;475764;143513
487;2085;72277;70593
488;46750;60092;25505
489;126948;184700;23990
490;97273;519014;21582
491;42398;254654;140178
492;23493;68115;5120
493;143341;141295;82236
494;37282;170185;53530
495;118064;17847;43068
496;65574;100016;121361
497;139719;76844;198669
498;4362;36307;202042
499;7605;56028;196554
500;4661;25765;80620
501;27052;171135;111096
502;116226;4821;132152
503;68825;174924;11477
504;108988;649691;166454
505;2431;170140;163140
506;55266;126403;131409
507;85175;83629;52358
508;76157;116861;363053
509;3935;244218;4352
510;137648;30742;37429
511;105414;163429;322739
512;67636;18817;87712
513;134351;162509;217079
514;251559;101605;573057
515;77581;116897;352034
516;85316;108570;180915
517;24236;99332;279188
518;97951;34130;67503
519;5746;228562;368044
