;EA;EA2;EA3;EA4;EA5;EA10
;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030
0;123056;12665;6339;206259;36312;407299
1;fail;599412;13876;299276;107272;160418
2;148350;44529;4227;27216;103911;32473
3;65391;147678;68429;640501;190530;89548
4;fail;615391;132737;328262;118858;55425
5;663017;59855;161295;245726;7385;11278
6;152210;30002;105888;67606;254702;92848
7;82592;314430;100872;96516;79138;696525
8;538792;312200;45072;316667;3940;221698
9;458576;117016;4448;74355;34911;236326
10;20865;70240;181739;169576;4514;45813
11;177812;168985;293386;131915;740137;76361
12;56474;411072;171130;25905;24162;14407
13;622618;62780;110131;48141;123071;7306
14;623823;292013;514690;26216;11770;89559
15;12435;87983;159136;229981;88134;366997
16;403768;189083;50022;57899;158546;82849
17;38800;300663;38989;139827;84901;117279
18;321678;85343;67942;124878;64117;133946
19;362065;205140;216923;136427;92430;217929
20;193048;391786;183269;110786;324297;587905
21;383068;68710;80616;54914;104681;4661
22;77643;20863;33717;62879;16992;20645
23;15811;26359;84418;160713;144540;25489
24;441754;139635;28446;296340;288574;137365
25;370823;46710;342615;62143;20340;349325
26;242763;431069;16472;620311;159984;916657
27;518692;125329;104095;154633;32814;1216
28;162077;77506;7659;41233;368256;253465
29;183248;106984;15619;3828;28691;143300
30;508067;5910;50191;23252;421139;565503
31;374218;137528;47642;105796;110967;127114
32;116045;118638;384318;80004;26437;241025
33;645284;213828;82395;391573;35434;134981
34;19928;90997;98387;78177;8899;65746
35;113160;6302;62235;33918;121792;61803
36;95649;167176;220823;29678;270594;94925
37;fail;548370;170718;383203;67994;101274
38;270507;55880;42079;1618;127339;126515
39;39523;66857;24121;179177;105861;69111
40;189413;145747;123442;85702;3613;322432
41;15703;29917;25494;222184;295738;133852
42;221150;125614;52999;98661;7074;124440
43;81895;123813;88268;517701;28003;179249
44;359488;fail;11123;19274;300237;128840
45;299477;66599;6985;43554;23293;88836
46;300497;183441;16723;59151;374963;350077
47;155500;399950;14159;223615;311130;66751
