;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;10000;10000;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030;921030;921030
0;44594;62596;29615;7784;259566;563503;165317;319907;275683
1;24442;29565;19175;192110;291647;133449;34195;185675;36759
2;72708;86551;176580;62305;18393;13343;329728;4334;236667
3;505236;51030;83226;70629;95788;26141;11014;132337;63664
4;252421;127483;361623;587669;48174;146033;85108;84571;285451
5;76841;71238;311506;46192;11770;5038;24923;265677;81199
6;83400;380;47172;262083;76125;109317;3303;161676;161493
7;110356;168743;18894;120539;62446;22203;200173;8980;249133
8;343806;13507;62802;75745;55103;158038;19914;12349;420509
9;fail;15107;93711;147134;40690;448185;30497;149220;116666
10;31286;679072;32305;223794;604505;200031;fail;101523;261854
11;209143;194763;297338;452453;2001;101525;642341;427131;133668
12;80642;28455;34179;247795;30659;236611;34935;21542;42284
13;476052;320054;81265;50211;33923;612777;828531;237113;319672
14;18037;120866;221877;24193;9704;6473;34201;91394;612994
15;274300;160004;235813;793168;23982;459940;414709;57459;320385
16;285597;906;570812;10411;20833;43403;162174;222321;91398
17;73908;40992;60567;200378;63663;515286;86394;76607;107071
18;238175;7125;103146;23940;93766;20395;289885;259254;89623
19;104696;36726;6688;27591;6441;29226;170404;92401;54311
20;469471;20998;367865;95160;22994;104299;110980;59007;52830
21;785730;94843;654116;210631;fail;391423;116693;26899;120637
22;344356;25130;3562;69210;41055;11874;47295;191197;101769
23;432794;52808;254051;475207;207164;41457;824883;92741;657123
24;46372;43546;137532;20394;7345;19900;167713;455856;821286
25;80793;215378;194423;20818;82524;62136;426392;814381;94700
26;56673;30284;330552;124844;638146;64420;126373;208707;97756
27;121977;483402;232509;56404;438974;21409;fail;507024;79824
28;847891;143668;118732;28864;fail;521437;116096;391807;13626
29;27914;65954;12329;3444;93610;52649;132945;7123;115876
30;34788;176259;16221;136792;136980;68059;24613;195265;12447
31;83111;70663;33557;34971;255770;64730;214511;13176;881
32;20209;9045;53238;24716;31161;48210;124494;21243;304
33;211656;90266;20750;19797;33391;156500;186725;159657;437800
34;242368;516759;217416;213144;16042;31101;233601;46336;144424
35;163219;129023;216970;48685;26548;81513;36495;22011;39305
36;108153;26018;19150;30383;18233;57867;15776;397551;90550
37;157112;251876;168883;137934;18826;143643;182150;81023;35894
38;58624;101188;46679;120506;106381;213343;39065;220416;31859
39;471426;79484;162367;80414;401774;144787;203241;662714;226572
40;479090;269274;403391;220392;81197;4027;126632;145229;fail
41;125634;763496;13038;84741;158052;104860;307982;270383;498110
42;66030;11508;47569;49858;5838;438996;107936;3508;43716
43;73458;28009;72840;43491;99380;107091;49091;136821;5139
44;31472;83763;20015;14049;18309;71275;132267;145659;175511
45;44377;97421;306976;129771;329046;78152;85308;5709;94973
46;42339;126239;18476;36670;177507;65132;43445;32089;105240
47;123389;376663;93067;54221;10277;123372;103067;44285;24483
48;585390;148168;37064;127237;457490;123397;253420;10410;168731
49;121761;433522;16626;337170;11914;fail;54787;132440;389861
50;106042;84213;109112;405405;154727;15777;2718;140195;14402
51;192712;31338;55299;130830;9315;48769;324806;112683;114716
52;43198;356688;67366;180864;165420;433171;459293;560703;443221
53;25208;5660;349823;18594;280977;170363;62960;20344;18654
54;14485;170620;288470;130019;521355;91985;16497;215529;3299
55;346986;50124;163143;111859;56646;25261;597620;196393;144795
56;34546;66541;117659;90419;260407;130106;23866;118483;165158
57;107606;222656;71072;8516;27457;166962;6682;574921;54851
58;116997;122817;328031;360285;133237;38082;653645;148739;24039
59;118764;86255;319050;116290;445935;100345;110439;1788;230342
60;193061;57888;122638;351416;174718;23554;207815;195661;138916
61;210925;766583;172365;254774;fail;118689;418612;263660;80494
62;35517;378635;64035;3931;17800;175475;213540;55865;200736
63;573824;81491;71091;139306;131414;36600;157573;294412;13197
64;365137;43283;207884;93634;11242;50652;172363;210584;73089
65;31317;36719;274301;71387;4767;230412;6903;359138;53050
66;208539;18156;23013;63783;39994;11723;80440;170426;195338
67;359661;56047;127971;394756;232903;374878;48841;315137;157058
68;167193;200098;10447;8665;263802;58842;392285;17377;72494
69;133905;105590;193050;11057;79493;124039;1282;287730;143551
70;53029;134217;267151;32306;47948;96140;15198;52772;167487
71;285703;30752;133612;273421;255351;116004;16699;52651;396608
72;2692;22556;27306;31315;34092;14637;19159;16154;305129
73;279844;233435;85216;111601;174565;102310;61236;284095;20281
74;126952;14724;30007;41667;18246;90490;310922;662302;197071
75;217004;88941;444205;38751;73134;861024;106129;11563;82299
76;166705;27548;502777;191096;72898;23512;10894;31962;92390
77;259440;107664;1164;220122;26602;105433;26738;288716;26353
78;36604;140410;190101;424692;fail;370129;321337;73197;79649
79;257492;100570;170331;6683;71752;66462;7623;554885;17319
80;169689;107113;64006;38367;315662;502783;351581;101468;247634
81;153668;178975;161335;71723;1610;89316;108510;61609;452844
82;104269;269982;204733;108978;159236;503673;261137;97695;87892
83;121249;150787;90743;6287;19304;161112;16425;33816;482776
84;257;220845;51639;117118;30739;149875;270577;98242;28081
85;40885;103450;91677;20101;43957;97926;165552;35270;54529
86;141076;120507;241961;124480;151047;3045;189797;200390;6646
87;249068;181362;74492;26347;62598;95284;62543;25580;495900
88;387671;333449;71718;191369;49638;861099;81722;301325;124746
89;205741;47465;197648;407980;241725;19613;10444;17781;104945
90;71913;46543;102170;86955;49772;106376;264644;139194;112215
91;277850;254966;99364;9777;187965;256811;101575;3342;26694
92;52911;83295;25764;24179;40222;138814;74396;170510;94564
93;136081;46572;20692;3730;140412;2030;95976;40478;123436
94;657134;223854;188123;85415;345451;315265;235593;84231;343149
95;717021;50257;172033;403328;679627;218804;81638;61679;fail
96;332050;31988;148818;275434;9252;143632;16991;63194;3084
97;280700;304365;42449;146754;4603;502436;fail;161999;522911
98;649963;396696;103188;117820;66426;650049;212486;504478;197568
99;25752;21735;10799;84834;60545;7524;13819;71931;536491
100;27679;219114;108347;14356;9925;455135;31653;339695;30306
101;388932;205503;364034;68869;116331;205123;7400;86384;299724
102;19553;79440;36026;236777;150310;23154;95540;58798;12008
103;767050;32350;179264;117374;476574;97456;3977;161592;66673
104;47158;20228;50471;130694;321184;226910;35695;15324;257509
105;362732;46280;316328;107097;121505;233247;162091;128745;108690
106;21190;30321;60837;116370;89926;326200;80597;104132;59629
107;119834;98567;3494;296039;20363;158581;80878;147219;144980
108;261680;545030;484045;182128;99590;56457;50264;747021;388304
109;348751;119546;26567;356392;5749;96648;15111;354493;267768
110;320681;37783;137734;31724;65462;49967;21935;22849;135116
111;123106;39346;35384;24143;12490;22448;82401;92569;853406
112;174712;414135;33497;183937;15546;76381;543298;59360;220169
113;79220;96165;77085;359898;122141;4404;24897;26813;84773
114;115072;218653;131123;41482;178040;110424;11481;205217;13235
115;135064;226518;212533;119577;384605;35815;345861;11174;51139
116;fail;6705;74951;100661;423632;27389;615578;45826;140650
117;57319;341287;75391;486640;447942;240389;120130;202528;413947
118;121584;22237;37291;43184;4636;44888;27777;114876;369716
119;322090;62490;39918;261268;372186;9962;42914;17647;20428
120;148443;86707;477184;158228;78969;42478;50950;fail;52877
121;16203;168030;36592;239174;65806;56803;111710;248350;19743
122;56980;144178;43653;67193;118764;22909;171334;93072;42820
123;131013;949;118859;79827;178696;142782;4366;102694;84272
124;733436;104565;102973;253387;197207;209208;146483;159396;246092
125;69327;5696;18857;24720;42882;54850;21150;235932;457705
126;289795;42957;fail;56054;132718;54588;159226;24342;524000
127;41028;95903;348230;210395;120035;58785;58702;151822;206346
128;97406;106479;216335;62520;374874;105881;1602;119364;95030
129;30262;51637;111324;164255;37150;56760;31757;392186;291482
130;12694;78390;6874;11927;4903;19056;19428;41044;fail
131;38170;302156;214567;27497;323364;305113;64857;369977;75173
132;82755;173242;449164;593234;203280;169314;101460;177487;33488
133;28906;78017;10884;9572;38356;116042;386970;191127;138482
134;50747;28492;287872;102657;218006;182625;23533;82292;21501
135;184850;fail;385946;552761;581664;295670;44697;277397;166068
136;74978;200404;138366;56308;189416;11477;3825;8429;54867
137;135732;329164;156040;2325;98873;343469;104547;11343;11215
138;227904;254683;570820;68878;121821;68395;61924;93433;258469
139;147305;290908;28036;142584;96557;441149;275730;472;133592
140;93786;81936;544111;321430;502555;56414;704270;134327;615198
141;262543;90687;23946;127793;7739;8025;16650;4222;9453
142;28187;13826;127303;19924;3019;626330;58466;122295;193185
143;78497;271301;18591;90306;78772;72433;17395;47230;153543
144;fail;311277;25465;92239;225562;106240;72546;147312;8289
145;237266;88354;28317;42652;111087;119800;179534;67328;91943
146;276256;414703;155350;66157;134220;27085;784893;377511;231149
147;265317;64211;171847;153014;326499;168419;34431;150934;67254
148;182454;29293;56905;522439;38190;652575;144790;715394;57380
149;385134;124314;115533;53745;175788;14941;80539;1666;185332
150;220807;80940;90976;133906;75280;123725;176395;84323;113272
151;321501;107753;63255;88263;29975;69356;39605;100979;90670
152;21229;121156;31116;60477;64003;38044;92501;59441;7449
153;170283;19122;125387;186305;73235;103838;99606;122429;238186
154;550267;1946;61817;13370;78615;29120;17127;93904;15671
155;68383;60489;45170;66688;55815;63272;4078;68723;239857
