;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
;50000;50000;50000;50000;50000;50000;50000;50000;50000
;5409890;5409890;5409890;5409890;5409890;5409890;5409890;5409890;5409890
0;259513;275114;129302;166761;283471;569;24564;194987;129972
1;207159;878967;127846;108588;259466;392969;125968;20487;40556
2;190305;9877;237;61328;420501;60586;61364;20422;115260
3;1001;325353;170728;12861;284252;726391;67328;7777;65439
4;6574;142156;199233;59649;6386;109;6887;40923;13088
5;122459;303200;82635;38563;39651;251531;672832;277482;78905
6;330298;393709;144328;52319;60900;8286;31754;45302;56789
7;64259;105840;29729;12667;9341;207260;14254;121900;74441
8;2703;33841;205917;21086;114160;68588;158422;201150;34246
9;21739;98275;145666;23013;1326;186803;409433;1847;153402
10;169635;130381;173816;101029;104846;94180;4228;64444;315393
11;23328;143793;71290;8397;315548;3771;314161;43543;303214
12;171644;71200;71728;140042;685721;100995;8076;174529;219792
13;14092;5199;91038;32480;44722;39708;60794;14059;349843
14;29615;113748;1771;236730;67526;23960;215605;22654;6323
15;140104;288855;54877;117946;52883;7305;25020;206520;52519
16;756259;97441;65891;161752;151126;79722;20312;34249;40622
17;15278;3003;112871;17321;60889;91847;5461;117740;106022
18;76912;5593;177257;235825;196701;14480;222549;228922;120463
19;450713;11563;488;509524;134975;254740;77144;213307;3493
20;113162;14190;55683;84961;38984;4743;116047;95130;20479
21;388513;36975;20212;52450;32488;51353;82305;25009;912293
22;140087;4484;74484;20166;21665;102841;102427;8704;114262
23;148750;40892;103897;55838;27755;158233;108310;260597;96299
24;205038;89265;71004;61400;21925;35061;38324;59492;665
25;627323;392158;89622;155009;304869;80931;105389;34334;136139
26;73168;177998;294892;29660;75040;117263;44819;48525;63415
27;65854;314808;31964;2009;7671;15336;27517;52021;1051
28;27067;338004;18031;120052;35294;12887;59574;6628;35741
29;426120;573773;481635;47305;426110;89970;17334;166032;11643
30;56820;6084;23894;40763;34790;58489;57541;39716;88536
31;204949;320871;50506;26731;11664;54818;76598;28282;12270
32;126707;1223;18036;13959;166321;23857;30504;111683;75785
33;57110;67347;102210;2491;814092;52145;94234;18491;150491
34;61478;23544;271507;4482;3972;10319;620;73417;134599
35;90896;65926;18337;60179;25484;27037;221670;1568;140345
36;15787;26347;9433;41416;47306;64204;22418;41516;97662
37;42938;185971;180670;396193;31624;297966;13734;428799;13502
38;177844;99604;307647;3562;39211;229797;56478;4683;96058
39;56014;64820;36255;4092;38880;8802;23219;54744;208994
40;213774;22640;106398;32521;22797;110668;27665;1675031;19896
41;683276;54486;45775;1378;11860;482786;41858;122236;210804
42;365970;168392;41539;51945;164236;230016;155836;150823;35819
43;125292;240611;184437;23916;71378;789533;938158;500217;391985
44;205273;124363;31287;529295;19942;242621;115877;249845;22460
45;220661;31883;223;15830;12949;159675;13576;101848;77511
46;553069;20492;126663;13991;21813;39535;40290;1315;126432
47;79257;34679;22629;83669;20802;38169;38479;62911;37287
48;156549;42789;425;39744;77786;33433;59973;24815;5663
49;278001;18328;29557;33262;7637;42258;325018;15832;134889
50;58900;15282;72958;140997;153345;500254;19372;9092;11605
51;81373;27405;22386;50683;12832;18236;52510;47751;46621
52;710786;202299;23725;7269;135390;265852;110122;31299;7827
53;67135;19416;25875;13063;20100;9082;135523;26125;19945
54;2703;55649;671345;224371;49381;555993;36856;127504;31627
55;34338;83609;294542;76536;53592;30038;18860;42273;19238
56;65182;4924;2580;60179;152483;5309;42507;21010;159088
57;34338;361704;434222;55934;293915;107534;23380;65547;16354
58;198280;52233;35582;43137;95635;74418;23833;25789;61295
59;101055;70944;226108;79770;135606;275004;170184;114654;107660
60;38459;21590;209304;146663;1332;320661;151685;48404;526171
61;87911;8482;50952;241135;76461;58268;47389;41883;8453
62;30702;231337;70663;99417;50494;15936;72602;370457;107453
63;55575;42251;6596;27332;7013;19732;58090;60216;12662
64;71575;322233;9871;95366;13115;14624;14491;8510;18000
65;147035;54710;38037;243415;367683;529883;3938;187867;21636
66;161854;64215;21542;22283;143816;8038;113959;17782;26302
67;101302;676107;126213;94732;243874;534212;27985;54820;356394
68;17426;129942;167844;78288;81106;39635;84399;219319;945
69;42143;113148;165730;4821;96861;300642;2231;72737;128249
70;193765;422344;29623;318918;37855;362017;562933;148646;72131
71;110347;207237;30764;243000;87421;14741;121000;198120;484846
72;252926;16883;13666;1468480;375543;14778;167533;181896;51280
73;423566;51056;88682;297602;54825;59419;1588457;96123;73932
74;239821;47587;79792;12792;261596;59700;9169;171235;239762
75;106657;356552;5141;64544;98616;12294;21811;80307;107325
76;125767;38476;87579;42232;63515;101961;253457;91862;44733
77;189745;69985;47074;50724;46430;23739;22501;26434;69464
78;22837;40647;70219;86408;170613;80032;78596;1198812;471400
79;257421;32306;288105;47185;421837;784715;411729;190631;284987
80;389690;16005;79613;42834;7193;142214;486870;107375;31102
81;251042;109676;335387;138168;33993;32024;92673;77847;113490
82;40151;66269;43970;80170;21840;78505;19644;5344;17006
83;41986;100296;121206;66264;120448;437749;64216;22485;37722
84;98277;108707;57474;1789;208517;32748;3753;116171;10394
85;459447;423543;3716;209969;169014;162618;14243;62509;330478
86;3993;240810;14361;261300;81047;45520;16502;237871;140869
87;199735;37055;290275;36832;27869;21576;99791;208563;6892
88;58528;4133;19822;37049;4732;19762;22671;66228;168199
89;58934;82931;130373;607037;27409;23749;233621;7832;92159
90;224932;23193;133677;37580;164148;246196;64183;504201;533347
91;75613;125473;106068;57688;171674;47466;46675;3147;19679
92;13022;59231;6881;219316;306961;23505;112350;89276;29187
93;176761;40650;245376;573912;8304;177462;527023;861924;90780
94;51348;170033;363148;45848;135752;41453;4459;124246;917
95;53114;26523;205716;7133;307482;17539;19001;121975;180347
96;156094;106956;104573;31924;87813;12804;1562;199264;20524
97;167419;114329;584;131392;204430;199595;79787;6662;20439
98;62029;365644;85782;51673;12720;196167;326114;18398;12259
99;74009;169420;12965;143590;67396;25228;326362;12531;45076
100;3468;104660;33509;19202;45343;8745;44604;28675;132971
101;151532;72785;113342;16503;34928;8596;480977;875;7013
102;100635;32853;5754;25227;108281;22936;24697;16935;1791
103;15555;44519;13943;58629;65562;8084;136683;3260;53090
104;114772;148565;37272;336483;61670;9920;129789;367298;183232
105;20419;3207;144277;66066;141344;17200;43298;26692;145107
106;69792;196811;89677;441;105334;87952;56342;71571;15835
107;18968;22931;52176;139189;1464;3220;24534;10467;59007
108;114688;529430;76205;52746;132886;317931;245058;54594;186166
109;14469;156732;259656;49634;136773;3734;40631;45004;133717
110;69944;113632;89448;30899;100710;19435;58912;19749;23614
111;176170;49616;109617;179;566515;48215;1027;42532;81470
112;11056;473484;59805;40924;78161;86276;91047;13288;3581
113;78583;131114;85983;447842;133037;120538;51141;48702;167265
114;49282;59193;52913;145149;69238;214659;1156;559510;27068
115;236314;505790;133170;33938;61001;19552;203685;43807;13769
116;436534;57015;4342;12062;3122;33515;142213;40576;235040
117;12272;729;54667;445265;21315;408452;458555;92274;340140
118;45912;60424;363801;35348;19209;215587;156824;1529;86676
119;56288;1942;42121;22044;137761;52589;68327;80509;52676
