;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
;10000;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030;921030
0;fail;91051;443723;67180;42003;37015;fail
1;fail;5305;190146;224429;162245;248321;63270
2;fail;3296;23362;138016;173751;74733;15007
3;fail;8221;382491;42563;37477;42310;40276
4;fail;9757;56855;70161;151195;175229;84162
5;fail;42761;294740;65398;132746;103493;4837
6;fail;32692;2669;181835;41706;165405;45349
7;fail;44134;32584;52997;73263;103576;15217
8;fail;15956;68675;469936;147807;1498;503015
9;fail;17971;214039;67355;4943;8778;76094
10;fail;59745;94121;8531;4244;101190;63835
11;fail;32749;109135;14768;277525;8044;49511
12;fail;10916;530711;431618;28256;298068;260891
13;fail;5476;535868;15091;39556;44265;432064
14;fail;245092;76100;41088;131903;101853;26093
15;fail;55374;74777;168220;23931;227097;20845
16;fail;84573;167186;141540;110745;70826;534197
17;fail;9302;67469;30066;44979;77403;151341
18;fail;6442;39302;102994;198956;80714;12015
19;fail;152621;170574;163351;247310;240080;267949
20;fail;68129;19938;144082;1363;12537;16689
21;fail;9593;2762;62084;54199;50701;7821
22;fail;29781;955;19278;26435;89667;325812
23;fail;108944;96752;45760;37525;181581;499686
24;fail;255877;101515;289356;21132;36641;99331
25;fail;227053;164736;88124;232479;8936;177922
26;fail;32198;828;25525;53380;211391;37950
27;fail;2517;385189;145962;629360;202603;218955
28;fail;116498;48319;48348;109672;26019;48313
29;fail;60561;125175;28739;106737;11265;165586
30;fail;65359;110739;92570;118314;14523;3942
31;fail;857;59098;23943;46338;57608;70704
32;fail;24706;20183;139739;176667;93710;119497
33;fail;19702;69632;25416;101520;611474;16187
34;fail;48247;111000;170300;33459;361199;49668
35;fail;67680;31287;3359;76645;176244;49387
36;fail;9333;243921;26405;162609;94546;45242
37;fail;47619;196303;201474;5668;29873;104405
38;fail;389;11863;58830;58780;54594;13328
39;fail;41776;71035;4450;40684;63792;53826
40;fail;3134;388521;112492;112935;96294;4162
41;fail;16600;56668;33423;83351;27503;145076
42;fail;187803;53390;673303;93462;66077;86553
43;fail;8455;6239;34457;130616;51915;59025
44;fail;44179;56093;96740;1872;63153;1105
45;fail;29467;54848;235858;39982;520996;9647
46;fail;24160;64320;127384;213915;162388;585711
47;fail;25021;305817;68816;200731;56327;426576
48;fail;23271;7438;32033;69451;91412;61817
49;fail;17521;136894;46805;47863;83496;159863
50;fail;51987;65520;130230;25944;29961;18757
51;fail;32317;291923;76770;26122;95397;75984
52;fail;16364;22794;151578;13440;14823;82675
53;fail;352513;211153;17898;143011;355870;46570
54;fail;5673;145144;48458;47433;123668;53597
55;fail;68277;85212;95494;17980;39494;24956
56;fail;47674;17207;163800;29413;14652;179912
57;fail;138;138502;74873;7551;44165;42697
58;fail;156034;288739;158733;121080;690587;30260
59;fail;27442;126054;13288;66869;118568;16516
60;fail;1003;283462;8355;380001;121445;180531
61;fail;32320;793117;23303;23353;189953;23131
62;fail;90442;23318;149200;100455;9228;66993
63;fail;73420;388443;189773;138203;36328;65351
64;fail;168015;44104;213323;115193;38061;84841
65;fail;37234;110826;11612;111410;fail;165875
66;fail;5503;6425;120397;117772;59048;159480
67;fail;54245;271046;92945;77960;503061;19186
68;fail;15525;4705;3482;145155;215451;33333
69;fail;4884;37441;209422;61227;93472;206392
70;fail;254413;149325;66301;87018;609438;248420
71;fail;50410;98637;4287;90777;254;28617
72;fail;10274;100711;240043;46049;251415;355633
73;fail;76948;109763;159499;115824;82365;176493
74;fail;43098;34760;41845;141623;88258;165820
75;fail;3476;88188;28733;22903;16088;3610
76;fail;2629;200632;154;15730;63220;109568
77;fail;229449;208744;169958;16172;32795;78610
78;fail;30819;88791;31223;737649;76798;763249
79;fail;50413;31926;110662;4247;22644;52491
80;fail;42363;140342;66073;5907;30668;13682
81;fail;208385;86420;96840;1710;77527;28164
82;fail;63521;22656;207474;99489;123680;7096
83;fail;27008;67674;18721;125075;785;3844
84;fail;75272;14032;187222;17665;348321;107841
85;fail;38333;408710;164727;108482;14042;18129
86;fail;57062;71;37221;41366;10251;61873
87;fail;9710;113931;249039;234857;49566;311694
88;fail;21902;9304;104474;92607;160009;706938
89;fail;6325;285092;63849;13425;25904;69482
90;fail;75343;190736;2383;78320;55904;104136
91;fail;76670;112462;197769;93167;133043;15356
92;fail;7383;420445;129743;16364;53629;663846
93;fail;48700;21655;47207;797983;103053;67375
94;fail;87084;41243;219571;108894;132010;78982
95;fail;92588;461490;591635;101815;22182;36433
96;fail;15301;40380;68614;70804;11253;33788
97;fail;52056;90340;57516;187219;99823;134116
98;fail;95612;27453;59439;184447;52526;77470
99;fail;67240;225495;66632;51139;58149;118057
100;fail;1481;7920;18726;66795;11392;40812
101;fail;147319;61165;8881;207776;75825;14181
102;fail;7367;24585;31904;37836;14847;6429
103;fail;15462;184933;28116;187177;75033;146615
104;fail;19911;4830;128326;23962;61289;11189
105;fail;50116;96318;72816;14700;18032;148557
106;fail;15876;101875;48752;46979;180086;14445
107;fail;44027;93163;64966;90929;79847;68811
108;fail;3771;2991;937;97853;190811;42041
109;fail;37453;193487;33968;41195;52849;71072
110;fail;84652;91865;10274;107599;257188;91478
111;fail;29336;184215;97793;21734;169429;286478
112;fail;11479;10414;111677;32225;95283;255420
113;fail;333231;2881;239002;52679;107206;224071
114;fail;44287;355071;57228;206213;206855;328073
115;fail;76138;18814;28577;35696;175161;50020
116;fail;182617;579151;121062;144550;26430;167784
117;fail;44702;196668;522477;157577;80753;38641
118;fail;93449;218311;152358;176433;271435;325644
119;fail;4285;15322;62862;62202;78260;146693
120;fail;68931;114315;121617;3066;167872;88855
121;fail;175456;75215;218289;91249;21125;261499
122;fail;7402;67238;41241;180801;90709;17146
123;fail;106074;299590;2470;81988;21237;30461
124;fail;159308;193776;134936;199164;172508;39455
125;fail;965;186684;164110;283705;486010;64155
126;fail;14652;150563;5922;259216;172565;37429
127;fail;167270;98710;5441;34535;69032;48781
128;fail;128909;14145;123923;62513;254330;24176
