;20;50;100;500;1000;5000;10000;50000
RLS;0;0;0;0;0;0;0;0
(1+1) EA (1/n);0;0;0;0;0;0;0;0
pmut (-3.25);0;0;0;0;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS;56;188;453;3053;6771;42137;90743;531449
(1+1) EA (1/n);132;461;1100;7686;17316;108408;236934;1397076
pmut (-3.25);82;283;690;4737;10555;67020;146387;860731

;20;50;100;500;1000;5000;10000;50000
RLS;56;188;453;3053;6771;42137;90743;531449
(1+1) EA (1/n);132;461;1100;7686;17316;108408;236934;1397076
pmut (-3.25);82;283;690;4737;10555;67020;146387;860731

